Year,Id,NGL,Pt,DCO,DBO5,MES,site_name,SIRET_code,discharge_environment,lat_site,long_site,code_epsg,code_ape,libelle_ape,code_eprtr,libelle_eprtr
2004,0007000991,NA,NA,340000,190000,NA,HERTA,31104319400647,water (indirect),653731,7032000000000,2154,1013A,Préparation industrielle de produits à base de viande,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2004,0007001004,NA,NA,570000,100000,380000,INOVA OPERATIONS SAS,66203217600163,water (indirect),690145,7036878000000,2154,3821Z,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
2004,0007001038,NA,5000,280000,91000,NA,Jean CABY,44037204300040,water (indirect),650600,2630348,27572,1013A,Préparation industrielle de produits à base de viande,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2004,0007001044,NA,NA,920000,NA,320000,LNUF Marques - Cuincy,35006338400027,water (indirect),702841,7031276000000,2154,1051A,Fabrication de lait liquide et de produits frais,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
2004,0007001045,65000,NA,1300000,530000,310000,CARGILL HAUBOURDIN SAS,31758690700022,water (indirect),698919,7056560000000,2154,1062Z,Fabrication de produits amylacés,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
2004,0007001078,NA,NA,NA,51000,NA,SPAC,31756305400020,water (indirect),730421,7001693000000,2154,1071A,Fabrication industrielle de pain et de pâtisserie fraîche,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2004,0007001124,NA,NA,720000,410000,NA,COCA-COLA PRODUCTION SAS,34518442800018,water (indirect),659074,7095409000000,2154,1107B,Production de boissons rafraîchissantes,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
2004,0007001142,NA,NA,NA,46000,NA,FINDUS France (SA),42507396200036,water (indirect),600504,7070632000000,2154,1020Z,"Transformation et conservation de poisson, de crustacés et de mollusques",8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2004,0007001262,NA,NA,290000,150000,NA,SA BIGARD,77622146700199,water (indirect),623343,26094960,27572,1011Z,Transformation et conservation de la viande de boucherie,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
2004,0007001787,NA,NA,NA,71000,NA,LESIEUR GENERALE CONDIMENTAIRE,43750765000038,water (indirect),2.30528,50902800,4326,1084Z,Fabrication de condiments et assaisonnements,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
2004,0007001881,NA,NA,290000,150000,NA,MONDELEZ FRANCE,43393576400020,water (indirect),705479,7062717000000,2154,1082Z,"Fabrication de cacao, chocolat et de produits de confiserie",NA,NA
2004,0007002377,NA,6200,NA,NA,NA,THYSSEN KRUPP ELECTRICAL STEEL UGO,41481479800024,water (indirect),663287,7057988000000,2154,2410Z,Sidérurgie,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
2004,0007002568,NA,NA,520000,340000,NA,LIOT,62204843700033,water (indirect),671469,7048041000000,2154,6820B,Location de terrains et d'autres biens immobiliers,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2004,0007100113,NA,NA,360000,270000,NA,Sucriere de la Reunion,48003417200027,water (indirect),333882,7646125000000,NA,1081Z,Fabrication de sucre,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
2004,0007201117,NA,NA,260000,210000,NA,MARIE SURGELES,52536146500012,water (indirect),435748,2200526,27572,1085Z,Fabrication de plats préparés,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
2004,0007201189,160000,14000,2300000,1200000,570000,COOPERL ARC ATLANTIQUE,38398687400204,water (indirect),404645,2160148,27572,1011Z,Transformation et conservation de la viande de boucherie,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
2004,0007000590,NA,NA,NA,110000,NA,MOY PARK FRANCE,44457512000019,water (indirect),698460,7033620000000,2154,1085Z,Fabrication de plats préparés,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2004,0007000605,NA,NA,210000,79000,NA,Les Brasseurs de Gayant,48776781600027,water (indirect),653678,2598493,27572,1105Z,Fabrication de bière,NA,NA
2004,0007402258,NA,NA,NA,NA,400000,SIAAP,25755000400077,water (indirect),659653,6851430000000,2154,3700Z,Collecte et traitement des eaux usées,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
2004,0007402352,320000,30000,4200000,1100000,2800000,Fareva Romainville,74986187800025,water (indirect),2.437291,48894758,4326,2059Z,Fabrication d'autres produits chimiques n.c.a.,4.(e),Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base
2004,0007201562,NA,NA,NA,57000,NA,LOEUL PIRIOT,31981571800022,water (indirect),406015,2223300,27572,1011Z,Transformation et conservation de la viande de boucherie,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
2004,0007402356,NA,5200,230000,110000,NA,MAJ,77573383501420,water (indirect),648571,6871705000000,2154,7729Z,Location et location-bail d'autres biens personnels et domestiques,NA,NA
2004,0007403769,NA,NA,250000,NA,NA,SEMMARIS,66201249100020,water (indirect),652210,6850184000000,2154,6832A,Administration d'immeubles et autres biens immobiliers,NA,NA
2004,0007201614,NA,NA,290000,150000,NA,ELIVIA BRESSUIRE,34447746800187,water (indirect),384003,2208374,27572,1011Z,Transformation et conservation de la viande de boucherie,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
2004,0010000043,NA,NA,310000,160000,NA,LES VOLAILLES DE BLANCAFORT,75371198500022,water (indirect),664069,6714466000000,2154,1012Z,Transformation et conservation de la viande de volaille,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
2004,0007203086,NA,NA,240000,140000,NA,France Champignon,38913401600028,water (indirect),462903,2203377,27572,153E,Transformation et conservation de légumes,NA,NA
2004,0007203128,NA,NA,560000,250000,NA,AVI-CHARENTE,30568943200022,water (indirect),332993,2131922,27572,1051A,Fabrication de lait liquide et de produits frais,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
2004,0007203207,NA,NA,150000,53000,NA,CHU,20005535800010,water (indirect),499457,6610137000000,2154,8610Z,Activités hospitalières,NA,NA
2004,0010000502,NA,NA,280000,NA,NA,BERRY TUFT,38810754200036,water (indirect),552804,2196135,27572,175A,Fabrication de tapis et moquettes,NA,NA
2004,0010000503,NA,NA,NA,64000,NA,BODIN JOYEUX 1,38370879900028,water (indirect),594459,6654516000000,2154,1511Z,"Apprêt et tannage des cuirs , préparation et teinture des fourrures",NA,NA
2004,0010000532,NA,NA,NA,44000,NA,ELIS BERRYLES- LES LAVANDIERES,06220100900040,water (indirect),605321,6636718000000,2154,7729Z,Location et location-bail d'autres biens personnels et domestiques,NA,NA
2005,0007000991,NA,NA,327000,177000,NA,HERTA,31104319400647,water (indirect),653731,7032000000000,2154,1013A,Préparation industrielle de produits à base de viande,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2005,0007001038,NA,NA,219000,71500,NA,Jean CABY,44037204300040,water (indirect),650600,2630348,27572,1013A,Préparation industrielle de produits à base de viande,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2005,0007001044,NA,NA,1010000,NA,NA,LNUF Marques - Cuincy,35006338400027,water (indirect),702841,7031276000000,2154,1051A,Fabrication de lait liquide et de produits frais,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
2005,0007001045,NA,NA,1020000,414000,NA,CARGILL HAUBOURDIN SAS,31758690700022,water (indirect),698919,7056560000000,2154,1062Z,Fabrication de produits amylacés,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
2005,0007001124,NA,NA,601000,292000,NA,COCA-COLA PRODUCTION SAS,34518442800018,water (indirect),659074,7095409000000,2154,1107B,Production de boissons rafraîchissantes,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
2005,0007001139,NA,8680,515000,327000,NA,C&D FOODS France,61582077600016,water (indirect),600820,7069880000000,2154,1092Z,Fabrication d'aliments pour animaux de compagnie,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2005,0007001142,NA,NA,NA,55100,NA,FINDUS France (SA),42507396200036,water (indirect),600504,7070632000000,2154,1020Z,"Transformation et conservation de poisson, de crustacés et de mollusques",8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2005,0007001262,NA,NA,198000,105000,NA,SA BIGARD,77622146700199,water (indirect),623343,26094960,27572,1011Z,Transformation et conservation de la viande de boucherie,8.(a),Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
2005,0007001787,NA,NA,NA,87600,NA,LESIEUR GENERALE CONDIMENTAIRE,43750765000038,water (indirect),2.30528,50902800,4326,1084Z,Fabrication de condiments et assaisonnements,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
2005,0007001881,NA,NA,NA,82100,NA,MONDELEZ FRANCE,43393576400020,water (indirect),705479,7062717000000,2154,1082Z,"Fabrication de cacao, chocolat et de produits de confiserie",NA,NA
2005,0007002377,NA,8290,NA,NA,NA,THYSSEN KRUPP ELECTRICAL STEEL UGO,41481479800024,water (indirect),663287,7057988000000,2154,2410Z,Sidérurgie,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
2005,0007002568,NA,NA,347000,220000,NA,LIOT,62204843700033,water (indirect),671469,7048041000000,2154,6820B,Location de terrains et d'autres biens immobiliers,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
2005,0005100349,NA,NA,220000,81700,NA,SOPROCOS,58668009200010,water (indirect),721353,6969622000000,2154,2042Z,Fabrication de parfums et de produits pour la toilette,NA,NA
2005,0005100496,NA,NA,NA,43300,NA,SARL SCOP ABATTOIR DE L'AISNE,79054603000012,water (indirect),3.750866,50022255,4326,1011Z,Transformation et conservation de la viande de boucherie,NA,NA
2005,0005100917,NA,NA,555000,314000,NA,SOLABIA,31674309500036,water (indirect),584029,2491047000000,27572,2059Z,Fabrication d'autres produits chimiques n.c.a.,4.(e),Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base
2005,0005101076,NA,NA,300000,130000,NA,ABATTOIRS DU VALOIS,41795300700016,water (indirect),635563,2491148,27572,151A,Production de viandes de boucherie,NA,NA
2005,0005101217,NA,NA,194000,NA,NA,DMG - DUMONT MORNET GOUVIEUX,30820852900013,water (indirect),605667,2465182,27572,1330Z,Ennoblissement textile,NA,NA
2005,0005101664,NA,NA,152000,NA,NA,PICARDIE LAVAGES CITERNES,35368779100015,water (indirect),2.50251,49278832,4326,8121Z,Nettoyage courant des bâtiments,NA,NA
2005,0005101699,NA,43500,339000,162000,NA,LACTINOV  (ex-SFPL),78058652500013,water (indirect),618829,7001574000000,2154,1051A,Fabrication de lait liquide et de produits frais,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
2005,0005101758,NA,NA,161000,108000,NA,EUROSERUM,40086927700097,water (indirect),624006,6986108000000,2154,1051D,Fabrication d'autres produits laitiers,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
