identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite;unite
0006400898;SOCIETE PROVENCALE DES BITUMES;Production de déchets dangereux;2003;I  ;I Incinération;;;05 01 06*;Boues contenant des hydrocarbures provenant des opérations de maintenance de l'installation ou des équipements;20;t/an
0006103294;TECHNIQUES SURFACES ANDREZIEUX;Production de déchets dangereux;2003;D  ;D Mise en décharge;;;11 01 09*;Boues et gâteaux de filtration contenant des substances dangereuses;204;t/an
0007000631;VALLOUREC  OIL AND GAS FRANCE;Production de déchets dangereux;2003;I  ;I Incinération;;;15 02 02*;Absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses;94.5;t/an
0006104379;ARKEMA USINE DE LA CHAMBRE;Production de déchets dangereux;2003;I  ;I Incinération;;;07 01 08*;Autres résidus de réaction et résidus de distillation;82.5;t/an
0018300019;PERNOD RICARD FRANCE SAS;Production de déchets dangereux;2003;I  ;I Incinération;;;16 05 06*;Produits chimiques de laboratoire à base de ou contenant des substances dangereuses, y compris les mélanges de produits chimiques de laboratoire;0.3;t/an
0006501167;Borealis Grandpuits;Production de déchets dangereux;2003;I  ;I Incinération;;;13 07 01*;Fioul et gazole;2.06;t/an
0005701185;CANJAERE;Production de déchets dangereux;2003;I  ;I Incinération;;;03 02 03*;Composés organométalliques de protection du bois;1;t/an
0006104655;SET MONT BLANC - SUEZ;Production de déchets dangereux;2003;D  ;D Mise en décharge;;;19 01 07*;Déchets secs de l'épuration des fumées;964;t/an
0006302838;SPBI;Production de déchets dangereux;2003;I  ;I Incinération;;;16 09 03*;Peroxydes, par exemple, peroxyde d'hydrogène;0.06;t/an
0007002425;Stoelzle de Masnières Parfumeries;Production de déchets dangereux;2003;R  ;R Recyclage/récupération;;;11 01 07*;Bases de décapage;68.5;t/an
0005102355;STELIA AEROSPACE;Production de déchets dangereux;2003;I  ;I Incinération;;;12 03 02*;Déchets du dégraissage à la vapeur.;22.4;t/an
0005501487;OVAKO;Production de déchets dangereux;2003;P  ;P Traitement physico-chimique;;;11 01 06*;Acides non spécifiés ailleurs;11.3;t/an
0007000951;SOTRENOR;Production de déchets dangereux;2003;D  ;D Mise en décharge;;;19 01 11*;Mâchefers contenant des substances dangereuses;16500;t/an
0006301146;HOWMET FIXATIONS SIMMONDS SAS(exARCONIC);Production de déchets dangereux;2003;C  ;C Co-incinération;;;11 01 13*;Déchets de dégraissage contenant des substances dangereuses;292.65;t/an
0005800698;Cooper Standard Automotive;Production de déchets dangereux;2003;C  ;C Co-incinération;;;15 01 10*;Emballages contenant des résidus de substances dangereuses ou contaminés par de tels résidus;10.3;t/an
0005101423;AXIMUM (ex PROSIGN);Production de déchets dangereux;2003;I  ;I Incinération;;;15 01 10*;Emballages contenant des résidus de substances dangereuses ou contaminés par de tels résidus;6.04;t/an
0006000330;TEXELIS;Production de déchets dangereux;2003;D  ;D Mise en décharge;;;11 01 09*;Boues et gâteaux de filtration contenant des substances dangereuses;15.3;t/an
0007000832;MAUBEUGE CONSTRUCTION AUTOMOBILE (MCA);Production de déchets dangereux;2003;I  ;I Incinération;;;08 01 11*;Déchets de peintures et vernis contenant des solvants organiques ou d'autres substances dangereuses;24.1;t/an
0005202444;CIVD de Bacheforès;Production de déchets dangereux;2003;D  ;D Mise en décharge;;;19 01 07*;Déchets secs de l'épuration des fumées;958;t/an
0005600369;VALEO SYSTEMES D'ESSUYAGE;Production de déchets dangereux;2003;R  ;R Recyclage/récupération;;;13 01 10*;Huiles hydrauliques non chlorées à base minérale;2;t/an
0005500017;MENARD;Production de déchets dangereux;2003;C  ;C Co-incinération;;;03 01 04*;Sciure de bois, copeaux, chutes, bois, panneaux de particules et placages contenant des substances dangereuses;135;t/an
0006500002;ALCAN PACKAGING SAINT-MAUR;Production de déchets dangereux;2003;I  ;I Incinération;;;15 02 02*;Absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses;4.7;t/an
0005801681;VERESCENCE;Production de déchets dangereux;2003;I  ;I Incinération;;;15 02 02*;Absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses;15.1;t/an
0007300025;EDF Corse;Production de déchets dangereux;2003;T  ;T Autre traitement;;;20 01 21*;Tubes fluorescents et autres déchets contenant du mercure;0.1;t/an
0010000022;SEALED AIR;Production de déchets dangereux;2003;I  ;I Incinération;;;16 05 06*;Produits chimiques de laboratoire à base de ou contenant des substances dangereuses, y compris les mélanges de produits chimiques de laboratoire;5.6;t/an
0006402211;Petroineos Manufacturing France SAS;Production de déchets dangereux;2003;D  ;D Mise en décharge;;;17 06 01*;Matériaux d'isolation contenant de l'amiante;10.6;t/an
0005800320;HYPERTAC SA;Production de déchets dangereux;2003;R  ;R Recyclage/récupération;;;11 01 16*;Résines échangeuses d'ions saturées ou usées;6.8;t/an
0006103062;AHLSTROM  MUNKSJO LA GERE;Production de déchets dangereux;2003;R  ;R Recyclage/récupération;;;13 01 13*;Autres huiles hydrauliques.;4.68;t/an
0006301171;SARREL;Production de déchets dangereux;2003;I  ;I Incinération;;;11 01 07*;Bases de décapage;72.1;t/an
0005600365;LUXFER GAS CYLINDERS;Production de déchets dangereux;2003;I  ;I Incinération;;;08 01 11*;Déchets de peintures et vernis contenant des solvants organiques ou d'autres substances dangereuses;7.55;t/an
0006202270;FIVES CRYO;Production de déchets dangereux;2003;R  ;R Recyclage/récupération;;;14 06 02*;Autres solvants et mélanges de solvants halogénés;11.2;t/an
0005600069;AMIS SAS;Production de déchets dangereux;2003;D  ;D Mise en décharge;;;11 01 08*;Boues de phosphatation;18;t/an
0010400495;RADIALL;Production de déchets dangereux;2003;P  ;P Traitement physico-chimique;;;14 06 03*;Autres solvants et mélanges de solvants;2.40;t/an
0006401013;SOLAMAT MEREX;Production de déchets dangereux;2003;D  ;D Mise en décharge;;;19 01 05*;Gâteau de filtration provenant de l'épuration des fumées;1230;t/an
0005200812;ARIANEGROUP;Production de déchets dangereux;2003;I  ;I Incinération;;;13 01 10*;Huiles hydrauliques non chlorées à base minérale;5.96;t/an
0006104705;SKIS DYNASTAR;Production de déchets dangereux;2003;I  ;I Incinération;;;14 06 03*;Autres solvants et mélanges de solvants;1.25;t/an
0006702037;WRIGLEY FRANCE S.N.C.;Production de déchets dangereux;2003;P  ;P Traitement physico-chimique;;;12 01 06*;Huiles d'usinage à base minérale contenant des halogènes (pas sous forme d'émulsions ou de solutions);1.2;t/an
0006300914;SPBI JEANNEAU;Production de déchets dangereux;2003;I  ;I Incinération;;;08 01 11*;Déchets de peintures et vernis contenant des solvants organiques ou d'autres substances dangereuses;99.8;t/an
0005600333;MANUF FRANC PNEUMATIQ MICHELIN;Production de déchets dangereux;2003;I  ;I Incinération;;;12 01 14*;Boues d'usinage contenant des substances dangereuses;0.82;t/an
0006700503;BASF;Production de déchets dangereux;2003;I  ;I Incinération;;;07 07 01*;Eaux de lavage et liqueurs mères aqueuses;17.8;t/an
0006201074;Cokes de Carling SAS;Production de déchets dangereux;2003;R  ;R Recyclage/récupération;;;14 06 03*;Autres solvants et mélanges de solvants;2.4;t/an
0006400354;Koni-France;Production de déchets dangereux;2003;P  ;P Traitement physico-chimique;;;07 01 01*;Eaux de lavage et liqueurs mères aqueuses;30.4;t/an
0005401471;VALLOUREC & MANNESMANN France tuberie de Montbard;Production de déchets dangereux;2003;R  ;R Recyclage/récupération;;;08 03 17*;Déchets de toner d'impression contenant des substances dangereuses;0.075;t/an
0006700537;AMCOR (ex ALCAN);Production de déchets dangereux;2003;I  ;I Incinération;;;08 01 13*;Boues provenant de peintures ou vernis contenant des solvants organiques ou autres substances dangereuses;67.5;t/an
0005401164;CROWN EMBALLAGE FRANCE SAS;Production de déchets dangereux;2003;T  ;T Autre traitement;;;06 02 04*;Hydroxyde de sodium et hydroxyde de potassium;3.16;t/an
0005401225;KODAK INDUSTRIE;Production de déchets dangereux;2003;I  ;I Incinération;;;13 01 13*;Autres huiles hydrauliques.;7.2;t/an
0006700820;ALSACHROM;Production de déchets dangereux;2003;P  ;P Traitement physico-chimique;;;11 01 07*;Bases de décapage;83.4;t/an
0005501415;Safran Electronics & Defense;Production de déchets dangereux;2003;I  ;I Incinération;;;13 07 03*;Autres combustibles (y compris mélanges).;8.27;t/an
0005401211;SAFRAN (ex SNECMA);Production de déchets dangereux;2003;I  ;I Incinération;;;12 01 07*;Huiles d'usinage à base minérale sans halogènes (pas sous forme d'émulsions ou de solutions);11.7;t/an
0007000463;SUEZ RV NORD EST - ISDND Hersin-Coupigny;Production de déchets dangereux;2003;D  ;D Mise en décharge;;;10 01 14*;Mâchefers, scories et cendres sous chaudière provenant de la coïncinération contenant des substances dangereuses;35.6;t/an
0006301217;EDF SA;Production de déchets dangereux;2003;P  ;P Traitement physico-chimique;;;06 01 03*;Acide fluorhydrique;2.33;t/an
0005800385;UTC Aerospace Systems - Site de SAINT-MARCEL;Production de déchets dangereux;2003;I  ;I Incinération;;;12 01 09*;émulsions et solutions d'usinage sans halogènes;104;t/an
0009055101;Naval Group Brest;Production de déchets dangereux;2003;I  ;I Incinération;;;08 04 09*;Déchets de colles et mastics contenant des solvants organiques ou d'autres substances dangereuses;1.059;t/an
