identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0007000483;ARKEMA FRANCE;2016;;2800000;18000;
0054200985;STEPHANOISE D'ABATTAGE;2016;;;167000;
0006102858;CONDAT SA;2016;85800;;3500;
0006704874;Novartis Pharma S.A.S;2016;;485000;158000;
0006802463;RODEZ ABATTOIR;2016;;;52700;
0005702509;Malteries Soufflet;2016;289000;;;
0005304386;NESTLE HEALTH SCIENCE FRANCE;2016;207000;;;
0005101072;REGEAL;2016;65600;;1630;
0007001046;LESIEUR;2016;;461000;290000;
0006502906;VERMILION REP;2016;110000;;796;
0005701246;FORGES DE FRONCLES;2016;;368000;14700;
0005501533;TIMAC AGRO SA (QI);2016;;;32700;69100
0006701057;Société des Malteries d'Alsace;2016;323000;;;
0007000744;DANONE PRODUITS FRAIS FRANCE;2016;;;303000;
0005800412;SANOFI CHIMIE SA;2016;16500000;;35300;
0007201312;SIMAFEX;2016;934000;;53000;
0006700653;TRONOX France SAS;2016;370000;1810000;186000;
0007000958;ARCELORMITTAL ATLANTIQUE et LORRAINE;2016;93600;;;
0052903310;JEAN HENAFF SA;2016;82200;;;
0057202040;BAHIER;2016;;;191000;
0010002256;MFB - MALTERIES FRANCO-BELGES;2016;442000;;7450;
0006301481;VAUBERNIER;2016;;;117000;
0006601574;GIE CHIMIE SALINDRES;2016;;959000;;
0006802502;AGC Multi Material Europe SA;2016;;173000;2340;
0005800378;SEDIBEX;2016;;;713000;
0006401317;S.A.S. DURANCE GRANULATS;2016;13800;;180000;
0005301114;Blanchisserie Dieuzy;2016;61300;;140;
0006700044;BALLASTIERES HELMBACHER SAS;2016;1150000;;;
0006802258;SAS BORCHERS;2016;;119000;1990;
0052903223;CAPITAINE COOK;2016;83100;;4140;
0006505584;PLACOPLATRE;2016;75700;;13100;
0005207790;Sté Nouvelle des Gravières de Gouts SARL;2016;;405000;40;
0007201363;ALAMIGEON;2016;;246000;;
0005900544;APERAM STAINLESS PRECISION;2016;;174000;13200;
0052300038;SAS LES MONTAGNES D'AUZANCES;2016;;;73000;
0010000547;GMC - Galvanoplastie Moderne du Centre;2016;;;73600;
0005301512;ELVIR S.A.S.;2016;;796000;6520;
0010400392;SITOM NORD-ISERE (NOUVELLE UNITE);2016;55700;;1530;
0006301288;FROMAGERIES PERREAULT;2016;;;173000;
0052904384;CONSERVERIE CHANCERELLE (usine Sardine);2016;;;84300;
0005502077;CELVIA SERENT;2016;;;105000;
0005204071;GAMA - Cazères rive droite (Jouanlane);2016;;98500;;
0010000220;SEALED AIR  SAS;2016;52000;;55800;
0005208202;LAFARGE GRANULATS FRANCE;2016;70000;;;
0005401253;MICHELIN;2016;;;175000;
0005701446;GOYARD JEAN DISTILLERIE;2016;122000;;173;
0006503227;TECHNOCENTRE RENAULT;2016;;;65200;
0006802159;BROWN  EUROPE  Sas;2016;;79200;;
0006505752;PAUL PREDAULT;2016;60000;;69500;
0006802197;LES DELICES D'AUZAN;2016;;;163000;
0006702037;WRIGLEY FRANCE S.N.C.;2016;2440000;;17400;
0005501252;DAREGAL;2016;;;72900;
0005701236;LAFIS BOLOGNE;2016;;237000;77700;
0006200037;SOVAB;2016;;;295000;
0007406008;SNCF Technicentre Atlantique;2016;;;95900;
0006301021;Fromageries BEL Production France;2016;;;78300;
0006802516;IMERYS;2016;11900;1640000;;
0007000778;MAXAM TAN;2016;2910000;;12100;
0006103488;CHU HOPITAL NORD;2016;;;170000;
0010001242;EMAUX ET MOSAIQUES SAS;2016;84300;;1350;
0006200067;EDF - CCG Blénod;2016;;2080000;3370;
0005401343;TITANOBEL VONGES;2016;61500;;;
0007402779;MAJ BLANCHISSERIE DE PANTIN;2016;;;50100;
0052901326;Marine Harvest Kritsen;2016;11000;;70200;
00       77559405;COOPERATIVE LAITIERE DE LA REGION LOCHOISE;2016;130000;;;
0010001299;ORGAPHARM;2016;190000;;18100;
0006201286;ArcelorMittal Gandrange;2016;;182000;4960;
0006503464;EDF CPE PORCHEVILLE;2016;;77100000;4820;
0006506453;Dalkia Wastenergy;2016;;1470000;5280;
0006400023;gazel energie;2016;;7050000;;
0006801192;SITE DE VIC ADOUR;2016;;82100;;
0005300285;PSA AUTOMOBILES SA;2016;100000;;9130;
0005100494;NOVABION;2016;;61400;1840;
0005401044;LAGUILLAUMIE;2016;;;71000;
0006103973;TOTAL RAFFINAGE France;2016;677000;4800000;97300;
0005200447;BARDINET;2016;;;76400;
0006401327;Société des Carrières de La Menudelle;2016;52900;;;
0007000673;ASCOMETAL LES DUNES;2016;89600;1780000;93700;
0005202615;Pyrenefrom;2016;;;75000;
0007000437;HAAGEN DAZS;2016;;;172000;
0006400001;ALTEO GARDANNE;2016;36300;2570000;;
0010000972;CHRO LA SOURCE;2016;;;197000;
0006400895;usine OMYA;2016;;;249000;
0006804098;SOULIE RESTAURATION SA;2016;;;89000;
0007000364;SAS CARRIERS DE LA VALLEE Heureuse;2016;387000;;;
0079305101;SIAAP Marne Aval - Station d'épuration;2016;;;70500;
0028300059;SAS NORD ESTER;2016;;62500;24900;
0075435775;Station du Grand Nancy située à MAXEVILLE;2016;151000;;13900;
0052904352;EUROSERUM;2016;;1370000;68300;
0005601436;PUIGRENIER ABATTOIR BOVIN;2016;;;82000;
0006802544;BASF HEALTH AND CARE PRODUCTS FRANCE;2016;;592000;;
0006102822;PCAS - SEQENS;2016;1170000;;7180;
0007000727;RENAULT DOUAI SNC;2016;;488000;56900;
0007001789;NOVANDIE (SAS)-(ex Générale UItra Frais);2016;568000;;63;
0010000689;INDENA;2016;;;83400;
0009000296;RMT;2016;77000;;;
0010000839;BABY;2016;;62900;15000;
0006102245;TORAY FILMS EUROPE SAS;2016;2530000;;8860;
0006102074;CIAT;2016;2110000;;1850;
0056700330;HERTA;2016;;;196000;
0005500334;SECANIM BRETAGNE;2016;50300;111;1590;
0006600563;FERROPEM;2016;59800;;24300;
0005601338;GERENTES SAS;2016;;23000;98100;
