identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite;unite
0005800357;TOTAL RAFFINAGE FRANCE;Production de déchets non dangereux;2016;D14;D14 Reconditionnement préalablement à l'une des opérations numérotées D 1 à D 13;76;"";17 04 05;Fer et acier;6.15;t/an
0007005009;VANHEEDE ENVIRONNEMENT SAS;Production de déchets non dangereux;2016;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;;BELGIQUE;19 12 04;Matières plastiques et caoutchouc;37.3;t/an
0006104505;UGITECH;Production de déchets non dangereux;2016;R12;R12 Echange de déchets en vue de les soumettre à l'une des opérations numérotées R 1 à R 11;69;"";08 03 18;Déchets de toner d'impression autres que ceux visés à la rubrique 08 03 17;0.07;t/an
0007000666;ARDO-VIOLAINES SAS;Production de déchets non dangereux;2016;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;59;"";20 01 08;Déchets de cuisine et de cantine biodégradables;144;t/an
0006202274;NORSKE SKOG;Production de déchets non dangereux;2016;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);88;"";10 01 15;Mâchefers, scories et cendres sous chaudière provenant de la coïncinération autres que ceux visés à la rubrique 10 01 14;41;t/an
0005601686;SASU VERNEA;Production de déchets non dangereux;2016;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;63;"";19 05 02;Fraction non compostée des déchets animaux et végétaux;1240;t/an
0005202598;FROMAGERIE DES CHAUMES JURANCON;Production de déchets non dangereux;2016;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);64;"";19 12 01;Papier et carton;109;t/an
0005100467;GAVEL;Production de déchets non dangereux;2016;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);51;"";02 03 05;Boues provenant du traitement in situ des effluents;6590;t/an
0006802424;SOCIETE TRAITEMENTS CHIMIQUES DES METAUX;Production de déchets non dangereux;2016;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;45;"";19 12 07;Bois autres que ceux visés à la rubrique 19 12 06;8.8;t/an
0005802920;SOLVALOR SEINE;Production de déchets non dangereux;2016;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);76;"";17 05 04;Terres et cailloux autres que ceux visés à la rubrique 17 05 03;3810;t/an
0006503449;PEUGEOT CITROEN POISSY SNC;Production de déchets non dangereux;2016;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;78;"";20 01 02;Verre;1.2;t/an
