identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0007101878;SCPR ISDI;31086384000016;Pierrefonds parcelles CR 472 et 53;97410;Saint-Pierre;REUNION;REUNION;762682.150000;335749.330000;;2361Z;Fabrication d'éléments en béton pour la construction;;
0006301129;SOCOPA Viandes;50851378500206;"BP189
 Route de Cholet
 ZA des Ajoncs";85015;LA ROCHE-SUR-YON;VENDEE;PAYS-DE-LA-LOIRE;311763;2192441;27572;1011Z;Transformation et conservation de la viande de boucherie;8.(a);Abattoirs d'une capacité de production de 50 tonnes de carcasses par jour
0006301179;HOLVIA PORC;51040823000017;162 rue du bas des bois B.P. 1007;53010;LAVAL;MAYENNE;PAYS-DE-LA-LOIRE;368349;2345950;27572;1011Z;Transformation et conservation de la viande de boucherie;;
0006305369;BIOPOLE;24490001500086;"Boulevard de la Bouvinerie
 Parc d'Activités Angers Est";49124;SAINT-BARTHELEMY-D'ANJOU;MAINE-ET-LOIRE;PAYS-DE-LA-LOIRE;386937;2278673;27572;3821Z;Traitement et élimination des déchets non dangereux;;
0006400097;DEULEP;56020030500061;26 Avenue du 8 Mai;83570;CARCES;VAR;PROVENCE-ALPES-COTE-D'AZUR;911694;1838145;27572;4638B;Commerce de gros (commerce interentreprises) alimentaire spécialisé divers;;
0007201267;BONILAIT PROTEINES;78150710800012;5 route de Saint Georges BP 80 002;86361;CHASSENEUIL-DU-POITOU;VIENNE;NOUVELLE-AQUITAINE;449815;2185419;27572;1051D;Fabrication d'autres produits laitiers;;
0006600970;SARL SAR-FER;53901468800011;LE CANOURGUE;34800;CLERMONT-L'HERAULT;HERAULT;OCCITANIE;688602;1847514;27572;3832Z;Récupération de déchets triés;;
0007206467;SAS ABATTOIR DE MONTMORILLON;75212964300017;ZI Pierre Pagenaud;86500;MONTMORILLON;VIENNE;NOUVELLE-AQUITAINE;487300;2159500;27572;1011Z;Transformation et conservation de la viande de boucherie;;
0016400389;ENVIRONNEMENT RECYCLING;45079121500038;"Ecopôle - ZAC de Maupertuis
 Rue Michel Faye";03410;DOMERAT;ALLIER;AUVERGNE-RHONE-ALPES;615200;2151125;27572;3831Z;Démantèlement d'épaves;5.(a);Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
0016900010;MERIAL Laboratoire Portes des Alpes;59080021500196;813 Rue du 3ème Millénaire;69800;SAINT-PRIEST;RHONE;AUVERGNE-RHONE-ALPES;803200;2080396;27572;2120Z;Fabrication de préparations pharmaceutiques;;
