identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite_admise;quantite_traitee;unite
0006402021;ORTEC Industrie ISDMA - CSD SENEGUIER;Traitement de déchets non dangereux;2007;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;9;Déchets banals des entreprises;223253.880;223200.000;t/an
0005101657;SITA OISE - site de Villeneuve sur Verberie;Traitement de déchets non dangereux;2007;D5 ;D5 Mise en décharge spécialement aménagée (par exemple, placement dans des alvéoles étanches séparées, recouvertes et isolées les unes et les autres et de l'environnement etc.);;;12;Déchets provenant de la mise en forme du traitement physique et mécanique de surface des métaux et matières plastiques :;76998.880;76800.000;t/an
0007002223;SEDE;Traitement de déchets non dangereux;2007;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);276357.880;284000.000;t/an
0018300005;CYDEL- UTVE ARC IRIS;Traitement de déchets non dangereux;2007;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;12;Déchets provenant de la mise en forme du traitement physique et mécanique de surface des métaux et matières plastiques :;23288.000;23280.000;t/an
0006803963;SA COVED;Traitement de déchets non dangereux;2007;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;12;Déchets provenant de la mise en forme du traitement physique et mécanique de surface des métaux et matières plastiques :;35992.000;36000.000;t/an
0005201653;LOCATELLI S.A.S;Traitement de déchets non dangereux;2007;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;9;Déchets banals des entreprises;40.000;8.000;t/an
0005800378;SEDIBEX;Traitement de déchets non dangereux;2007;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;;;1;Déchets de préparations chimiques;3564.320;3564.000;t/an
0006201724;SEDE;Traitement de déchets non dangereux;2007;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;2;Boues d'effluents industriels;15262.960;15280.000;t/an
0006506763;CAPOULADE (Décharge d'Isles-les-Meldeuse;Traitement de déchets non dangereux;2007;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;9;Déchets banals des entreprises;549688.000;588000.000;t/an
0005501500;Ets Jean CHAPIN SA;Traitement de déchets non dangereux;2007;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;9;Déchets banals des entreprises;792.000;792.000;t/an
0005202839;BIL TA GARBI (Urrugne);Traitement de déchets non dangereux;2007;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;8;Ordures ménagères;30459.000;30440.000;t/an
0005601647;VALTOM;Traitement de déchets non dangereux;2007;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;11;Déchets provenant du traitement chimique de surface et du revêtement des métaux et autres matériaux, et de l'hydrométallurgie des métaux non ferreux :;1426.400;1428.000;t/an
0005800378;SEDIBEX;Traitement de déchets non dangereux;2007;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;;;10;Dechets provenant de procedes thermiques :;8492.640;8480.000;t/an
0030100027;SDOMODE;Traitement de déchets non dangereux;2007;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;8;Ordures ménagères;173488.000;173600.000;t/an
0006200539;SAINT GOBAIN PAM;Traitement de déchets non dangereux;2007;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;12;Déchets provenant de la mise en forme du traitement physique et mécanique de surface des métaux et matières plastiques :;56340.000;56400.000;t/an
