identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0016500081;CF&R;2007;0;0;294000;0
0005701734;MALTEUROP FRANCE - Pringy;2007;155000;0;378;0
0005401208;PRYSMIAN;2007;282000;0;8930;0
0007403229;CHAUFFERIE HENRI MONDOR;2007;0;0;223000;0
0006400333;ROBERTET SA;2007;0;0;57700;0
0007001105;LUNOR Coopérative;2007;80800;0;1140;0
0006200909;AHLSTROM-MUNKSJÖ STENAY SAS;2007;0;3040000;10200;0
0005200590;LESIEUR;2007;0;310000;68900;0
0005701552;ADM Bazancourt SASU;2007;856000;0;0;0
0006103723;GEPEIF STATION EPUR. DES INDUS;2007;0;0;641000;0
0006400402;SAINT-GOBAIN ISOVER;2007;587000;0;13900;0
0006700657;ETC Ennoblissement Technique Cernay;2007;260000;0;2940;0
0006103062;AHLSTROM  MUNKSJO LA GERE;2007;1970000;212000;0;0
00       11076003;SPANGHERO Sas;2007;0;0;85000;0
0007402253;SGD SA;2007;177000;0;32000;0
0006400445;SMURFIT KAPPA PAPETERIE ALFA D'AVIGNON;2007;0;1460000;0;0
0005600288;UNIFRAX;2007;0;115000;1540;0
0007203207;CHU;2007;0;0;281000;0
0005101904;PROCTER et  GAMBLE AMIENS;2007;0;0;816000;0
0006302062;CENTRE HOSPITALIER LE MANS;2007;0;0;55600;0
0006104466;TRIMET;2007;394000;4790000;111000;0
0006506558;EDF CPE Vitry Sur Seine;2007;0;283000000;0;0
0005204095;CEMEX GRANULATS SUD OUEST;2007;0;543000;0;0
0007000605;Les Brasseurs de Gayant;2007;0;123000;0;0
0005104688;EURIAL ULTRA FRAIS (SENAGRAL / SENOBLE);2007;107000;0;0;0
0005600240;biltube europe limited;2007;0;414000;1380;0
0006201020;EUROSERUM;2007;0;0;149000;0
0006400957;FLUXEL SAS;2007;0;0;106000;0
0005702355;UNILIN SAS;2007;0;0;363000;0
0005503427;Cité Marine;2007;0;0;106000;0
0006700800;BRASSERIE METEOR;2007;21700;33000;208000;0
0071443702;STEP - MONDEVILLE;2007;0;0;60500;0
0006200130;GSM;2007;424000;0;0;0
0005301484;VERRERIE D'ART AURYS;2007;0;0;162000;0
0006600453;Société des CIMENTS CALCIA;2007;922000;0;4100;0
0006400336;LYONNAISE DES EAUX  - Usine de l'Apié;2007;0;2570000;0;0
0006501602;BASF Health and Care Product France;2007;0;599000;75000;0
0006304150;COM COM VALLEES HAUT ANJOU;2007;0;189000;0;0
0006202551;BONGRAIN GERARD;2007;103000;154000;131000;0
0006205245;ARCELORMITTAL FRANCE;2007;382000;149000;1210;0
0006202256;OI Manufacturing France;2007;0;418000;66400;0
0005100240;ANETT NORD PICARDIE;2007;0;79400;250;0
0005900978;EQIOM (Cimenterie);2007;97100;0;6040;0
0007000671;ARKEMA - usine de Loison sous Lens -;2007;81500;0;934;0
0006400014;EVD (EXTRAITS VEGETAUX ET DERIVES);2007;0;0;63900;0
0006201721;CENTRE DE PRODUCTION THERMIQUE EDF;2007;65900;146000000;10600;0
0006302427;FRANCE TANNERIES;2007;0;51200;3140;0
0005900536;ARMSTRONG BUILDING PRODUCTS S.A.;2007;356000;0;8620;0
