Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2002,0.093,1020,0 - 200 PE,0.025,0.02999,0.203,0.203,0.784,0.784,1.89,1.89,0.793,0.793,0.0203,0.0277,0.206,0.206,0.176,0.17698,0.43,0.43,0.155,0.15561,-1,2,77,77,80,6.76,7.45,3.86,0.859,26.1,6.7,9.3,2.09,63.1,16.5,2.41,2.44,0.883,0.815,5.989999999999999,6.07,23.099999999999998,5.22,55.7,12.7,23.400000000000002,4.590000000000001
2002,0.871,1250,200 - 2 000 PE,0.364,0.36593,1.85,1.85736,9.46,9.49764,21.1,21.18395,8.93,8.96553,0.2,0.20274,1.41,1.41741,0.966,0.97327,3.36,3.37337,1.47,1.48235,24,44,90,84,84,5.07,7,5.12,0.686,26,4.8,11.4,2.38,57.9,16.5,2.23,3.47,1.15,0.639,5.84,4.45,29.9,3.0599999999999996,66.60000000000001,10.6,28.2,4.66
2002,1.24,301,2 000 - 10 000 PE,0.494,0.49847,2.59,2.61344,13.7,13.82401,31.7,31.98694,14.5,14.63125,0.265,0.2674,1.48,1.4934,1.13,1.14023,4.78,4.82327,2.6,2.62353,43,46,92,85,82,5.25,5.61,5.3,0.76,27.8,4.26,12.2,3.22,64.2,18.1,2.31,4.24,1.1,0.5910000000000001,5.8,3.32,30.700000000000003,2.52,70.9,10.7,32.5,5.8
2002,3.23,132,10 000 - 100 000 PE,1.14,1.14,7.18,7.18,37.9,37.9,84.7,84.7,37.9,37.9,0.39,0.39,2.36,2.38215,1.84,1.84,8.22,8.22,4.18,4.18,67,66,95,90,89,6.28,6.18,5.28,0.775,33.1,4.72,11.8,3.44,74.1,21.1,2.24,4.47,0.971,0.331,6.09,2.0300000000000002,32.2,1.56,71.9,6.98,32.099999999999994,3.5500000000000003
2002,2.62,9,> 100 000 PE,1.27,1.27,7.16,7.16,29.2,29.2,66.1,66.1,32,32,0.495,0.495,4.75,4.75,3.03,3.03,11.9,11.9,4.06,4.06,34,61,90,82,87,5.66,9.6,4.08,0.637,23.1,6.12,9.23,2.5,52.2,24,2.26,3.93,1.33,0.518,7.49,4.97,30.599999999999998,3.17,69.2,12.5,33.5,4.25
2003,0,439,unreported PE,0.757,0.757,4.16,4.16,20.5,20.5,46.2,46.2,23.4,23.4,0.372,0.372,2.65,2.65,3.2,3.2,9.91,9.91,3.86,3.86,36,51,84,79,84,5.5,7.11,4.93,1.21,27.1,8.6,11.1,3.74,61.1,26.6,2.25,3.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,0.0977,1078,0 - 200 PE,0.0273,0.03291,0.213,0.21305,0.824,0.82421,1.98,1.98051,0.831,0.83121,0.0217,0.029760000000000002,0.217,0.21706,0.182,0.18314,0.449,0.44911,0.161,0.16176,-2,5,78,77,81,6.48,7.26,3.88,0.846,25.2,6.46,9.32,2.07,60.6,16,2.41,2.46,0.9219999999999999,0.8350000000000001,5.96,6.07,23.099999999999998,5.15,55.599999999999994,12.6,23.3,4.54
2003,0.894,1290,200 - 2 000 PE,0.367,0.36917,2.08,2.08654,9.49,9.52303,21.5,21.57483,8.94,8.96809,0.2,0.20338,1.3,1.30879,0.894,0.89928,3.31,3.32339,1.36,1.36727,37,45,91,85,85,5.66,6.5,4.57,0.687,25.9,4.47,10.4,2.54,58.6,16.4,2.27,3.7,1.13,0.622,6.39,4.029999999999999,29.2,2.76,66.19999999999999,10.200000000000001,27.5,4.2
2003,1.28,311,2 000 - 10 000 PE,0.495,0.49932,2.96,2.98586,14,14.12231,33.4,33.69179,14.7,14.82842,0.233,0.23504,1.17,1.18395,0.805,0.81203,3.79,3.82311,1.81,1.82581,60,53,94,89,88,5.98,5.03,4.72,0.685,28.3,3.45,11.3,3.23,67.4,16.2,2.39,4.71,1.07,0.503,6.39,2.54,30.200000000000003,1.74,71.9,8.18,31.7,3.91
2003,3.35,134,10 000 - 100 000 PE,1.17,1.17,6.97,6.97,37.1,37.1,84.8,84.8,38.1,38.1,0.348,0.348,1.91,1.92725,1.36,1.36,6.36,6.36,2.44,2.44,72,70,96,92,94,5.96,5.61,5.32,0.708,31.7,3.92,12.2,3.27,72.5,18.3,2.28,4.67,0.9560000000000001,0.28400000000000003,5.7,1.58,30.3,1.11,69.3,5.2,31.099999999999998,1.99
