Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
1994,3.11,16,> 100 000 PE,1.62,1.62,7.56,7.56,NA,NA,NA,NA,43.4,43.4,1.13,1.13,4.11,5.69175,NA,NA,NA,NA,9.66,9.66,25,31,NA,NA,78,4.66,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4300000000000002,0.992,6.66,5.01,NA,NA,NA,NA,38.199999999999996,8.5
1995,2.5e-4,2,0 - 200 PE,6.2e-5,6e-5,1.46e-4,3.6e-4,NA,NA,NA,NA,0.00106,0.00265,5.11e-5,5e-5,1.02e-4,2.6e-4,NA,NA,NA,NA,0.0012,0.0012,30,18,NA,NA,52,5.71,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.5599999999999999,4,2.8,NA,NA,NA,NA,29,13.2
1995,0.106,110,200 - 2 000 PE,0.067,0.06982,0.229,0.24611,NA,NA,NA,NA,1.01,1.07245,0.0486,0.0486,0.113,0.12343,NA,NA,NA,NA,0.247,0.247,50,37,NA,NA,83,3.61,2.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,1.25,6.34,3.16,NA,NA,NA,NA,27.5,6.36
1995,0.644,142,2 000 - 10 000 PE,0.36,0.3614,1.34,1.34522,NA,NA,NA,NA,6.39,6.4149,0.228,0.228,0.542,0.56987,NA,NA,NA,NA,0.938,0.938,58,37,NA,NA,85,3.73,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5399999999999998,0.9700000000000001,5.720000000000001,2.42,NA,NA,NA,NA,27.3,3.9899999999999998
1995,2.14,80,10 000 - 100 000 PE,1.03,1.03,4.32,4.32,NA,NA,NA,NA,24.3,24.3,0.607,0.607,2.14,2.17553,NA,NA,NA,NA,3.04,3.04,49,41,NA,NA,87,4.21,3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,0.777,5.53,2.78,NA,NA,NA,NA,31,3.8800000000000003
1995,3.11,16,> 100 000 PE,1.56,1.56,7.52,7.52,NA,NA,NA,NA,40.1,40.1,1.07,1.07,3.86,5.70496,NA,NA,NA,NA,8.55,8.55,26,31,NA,NA,79,4.81,4.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,0.9430000000000001,6.62,5.0200000000000005,NA,NA,NA,NA,35.3,7.53
1996,2.5e-4,2,0 - 200 PE,6.2e-5,6e-5,1.46e-4,3.6e-4,NA,NA,NA,NA,0.00106,0.00265,5.11e-5,5e-5,1.02e-4,2.6e-4,NA,NA,NA,NA,0.0012,0.0012,30,18,NA,NA,52,5.71,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,0.5599999999999999,4,2.8,NA,NA,NA,NA,29,13.2
1996,0.115,118,200 - 2 000 PE,0.0692,0.07156,0.254,0.26916,NA,NA,NA,NA,1.05,1.10056,0.05,0.05,0.122,0.13257,NA,NA,NA,NA,0.244,0.244,50,36,NA,NA,82,3.81,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.1900000000000002,6.4,3.14,NA,NA,NA,NA,26,5.8
1996,0.673,147,2 000 - 10 000 PE,0.359,0.36034,1.42,1.42529,NA,NA,NA,NA,6.51,6.53427,0.215,0.215,0.557,0.56668,NA,NA,NA,NA,0.89,0.89,60,40,NA,NA,86,3.96,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47,0.875,5.8,2.31,NA,NA,NA,NA,26.599999999999998,3.62
1996,2.33,83,10 000 - 100 000 PE,1.09,1.09,4.63,4.63,NA,NA,NA,NA,25.3,25.3,0.601,0.601,2.21,2.21,NA,NA,NA,NA,2.84,2.84,52,45,NA,NA,89,4.25,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,0.708,5.45,2.61,NA,NA,NA,NA,29.9,3.3400000000000003
