Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2007,0,231,unreported PE,0.482,0.482,3.35,3.35,14.3,14.3,35.3,35.3,18.1,18.1,0.225,0.225,1.58,1.58,1.22,1.22,5.16,5.16,1.87,1.87,51,53,92,85,90,7,8.54,4.12,0.743,29.6,5.42,9.87,3.09,73.1,22.9,2.46,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.00547,41,0 - 200 PE,0.00246,0.00371,0.0201,0.02873,0.0746,0.08102,0.179,0.20036,0.0854,0.09274,0.00129,0.00191,0.00897,0.01541,0.00706,0.00749,0.0425,0.04384,0.0222,0.0229,55,53,91,79,79,7.8,7.22,2.98,0.689,23.2,4.86,7.56,3.74,59.2,26.6,2.45,5.98,1.86,0.9560000000000001,14.4,7.720000000000001,40.599999999999994,3.76,101,22,46.5,11.5
2007,0.687,860,200 - 2 000 PE,0.275,0.29118,2.01,2.0975,7.67,7.82546,19.2,19.53407,9.12,9.2984000000000009,0.129,0.13862,0.498,0.61021,0.412,0.42387,2.49,2.56172,1.12,1.14755,72,53,95,87,88,7.21,4.33,3.7,0.655,26.7,3.02,9.26,3.97,66.7,18.4,2.5,6.04,1.16,0.554,8.35,2.4299999999999997,31.2,1.6900000000000002,77.8,10.200000000000001,37.1,4.590000000000001
2007,2.7,568,2 000 - 10 000 PE,0.922,0.92913,6.67,6.73892,25.3,25.44436,63,63.35947,31.6,31.78031,0.227,0.22837,1.34,1.3716,0.709,0.71185,5.09,5.09534,1.54,1.54162,80,75,97,92,95,7.26,6.01,3.77,0.516,27.4,3.11,9.39,3.71,68.3,22.3,2.49,7.16,0.9420000000000001,0.232,6.84,1.39,25.8,0.723,64.3,5.17,32.2,1.57
2007,7.03,230,10 000 - 100 000 PE,1.9,2.0284,13.2,14.34076,60.5,64.26816,144,152.96885,70.2,74.57231,0.313,0.32136,1.98,2.08563,1,1.0267,8.59,8.81933,1.76,1.80699,85,84,98,94,98,6.98,6.44,4.51,0.497,31.8,3.21,10.7,4.22,75.4,27.5,2.38,8.57,0.79,0.125,5.57,0.8140000000000001,25.1,0.40099999999999997,59.5,3.44,29.1,0.7060000000000001
2007,6.14,27,> 100 000 PE,2.13,2.23309,14,15.41501,66,69.19444,160,167.7441,76.1,79.78329,0.393,0.41202,3.09,3.31894,1.51,1.58308,10.3,10.79853,2.53,2.65245,78,82,98,94,97,7.04,8.43,4.52,0.475,31,3.84,10.9,3.19,75.1,26.3,2.42,6.85,0.9959999999999999,0.184,6.8999999999999995,1.48,30.900000000000002,0.7060000000000001,74.7,4.83,35.6,1.1900000000000002
2008,0,216,unreported PE,0.31,0.31,2.25,2.25,9.58,9.58,21.9,21.9,11.4,11.4,0.147,0.147,1.04,1.04,0.536,0.536,2.93,2.93,1.09,1.09,52,53,94,87,91,7.23,7.51,4.18,0.467,30.2,3.6,9.59,2.56,69.1,19.7,2.29,5.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.011,82,0 - 200 PE,0.00432,0.00556,0.0324,0.04,0.115,0.13374,0.309,0.34273,0.151,0.17561,0.00293,0.00386,0.0184,0.02427,0.0163,0.01927,0.087,0.09801,0.037,0.04327,41,32,86,72,75,6.85,5.94,3.52,0.866,23.9,5.2,9.12,4.45,60.4,26.8,2.62,5.09,1.38,0.9600000000000001,9.950000000000001,6.0200000000000005,33.2,4.78,85.3,24.299999999999997,43.7,10.7
2008,0.862,1049,200 - 2 000 PE,0.323,0.353,2.47,2.58887,9.18,9.41207,23.2,23.73208,11.2,11.46718,0.148,0.16213,0.749,0.83387,0.603,0.62475,3.55,3.67661,1.73,1.77622,68,54,93,84,84,7.26,5.08,3.62,0.75,26.2,3.84,9.14,4.43,66.3,22.7,2.53,5.92,1.1199999999999999,0.514,8.24,2.65,29.9,1.98,75.6,11.700000000000001,36.6,5.63
2008,2.86,615,2 000 - 10 000 PE,0.968,0.97773,7.04,7.15872,26.5,26.70064,67.9,68.4141,33.9,34.20184,0.236,0.23735,1.45,1.50595,0.707,0.70869,5.55,5.56328,1.69,1.69404,79,76,97,92,95,7.32,6.39,3.72,0.449,27.3,2.98,9.54,3.62,69.9,23.4,2.56,7.84,0.9359999999999999,0.228,6.859999999999999,1.45,25.5,0.679,65.5,5.32,32.7,1.6199999999999999
2008,7.21,240,10 000 - 100 000 PE,1.95,2.00514,13.8,14.42662,62.7,63.96472,151,154.04581,74.9,76.4108,0.299,0.30476,2.06,2.16401,1.12,1.14157,9.49,9.6727900000000009,2.05,2.08949,85,85,98,94,97,7.14,7,4.44,0.535,31.9,3.76,10.7,4.49,77,31.8,2.41,8.45,0.761,0.116,5.49,0.823,24.299999999999997,0.435,58.7,3.68,29,0.794
2008,6.25,28,> 100 000 PE,2.25,2.25,15.3,15.65063,70.6,70.6,172,172,84.4,84.4,0.382,0.382,3.04,3.12424,1.56,1.56,11.1,11.1,2.76,2.76,80,83,98,94,97,7.06,8.19,4.5,0.505,31.4,4.09,11,3.61,76.2,29.2,2.43,7.14,0.987,0.16699999999999998,6.84,1.3699999999999999,31,0.684,75.2,4.88,37,1.21
2009,0,174,unreported PE,0.265,0.265,2,2,8.22,8.22,19.3,19.3,9.49,9.49,0.125,0.125,0.869,0.869,0.482,0.482,2.55,2.55,1.03,1.03,56,53,94,87,89,7.56,7.01,4.06,0.541,30.7,3.8,9.49,2.83,71.8,19.9,2.34,5.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,0.0177,145,0 - 200 PE,0.00898,0.00987,0.0725,0.0784,0.28,0.29678,0.715,0.75223,0.331,0.34979,0.00362,0.00453,0.0247,0.03201,0.0253,0.03122,0.11,0.13366,0.0431,0.05192,63,58,90,83,86,7.99,6.93,3.75,0.973,30,6.64,9.54,4.18,76.4,28.6,2.54,4.35,1.52,0.7010000000000001,12.1,4.95,45.900000000000006,4.81,116,20.7,53.900000000000006,8.02
2009,0.855,1051,200 - 2 000 PE,0.322,0.33957,2.45,2.56152,9.04,9.22687,23.1,23.63251,11.2,11.44655,0.144,0.15285,0.711,0.78858,0.518,0.53421,3.03,3.1248,1.28,1.31647,69,55,94,87,89,7.53,5.14,3.59,0.676,27.1,3.54,9.17,3.91,69.2,20.4,2.55,5.84,1.09,0.491,8.21,2.5300000000000002,29.6,1.71,75.6,10,36.5,4.22
