Year,basin,PE_bin,sludge_production,sludge_spread,sludge_compost,sludge_landfill,sludge_incinerated,sludge_to_other_WWTP,sludge_industrial_valorisation,capacity,nb_WWTP
2008,Adour-Garonne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.188055,280
2008,Adour-Garonne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.627395,139
2008,Adour-Garonne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.597233,16
2008,Rhône-Méditerranée,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.097462,918
2008,Rhône-Méditerranée,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.498487,2316
2008,Rhône-Méditerranée,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,2.557839,579
2008,Rhône-Méditerranée,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,8.809574,279
2008,Rhône-Méditerranée,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,10.398248,35
2009,Artois-Picardie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.001949,15
2009,Artois-Picardie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.184455,202
2009,Artois-Picardie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.650817,127
2009,Artois-Picardie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.456337,83
2009,Artois-Picardie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.500333,12
2009,Rhin-Meuse,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.005633,48
2009,Rhin-Meuse,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.196598,261
2009,Rhin-Meuse,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.667363,141
2009,Rhin-Meuse,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.531391,86
2009,Rhin-Meuse,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.999,8
2009,Seine-Normandie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.031249,283
2009,Seine-Normandie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.006169,1433
2009,Seine-Normandie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.616002,400
2009,Seine-Normandie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,4.837791,163
2009,Seine-Normandie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,17.077549,24
2009,Loire-Bretagne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.16988,1691
2009,Loire-Bretagne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,2.077732,3234
2009,Loire-Bretagne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,2.876856,646
2009,Loire-Bretagne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,6.934999,232
2009,Loire-Bretagne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,6.387997,29
2009,Adour-Garonne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.101946,1040
2009,Adour-Garonne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.013608,1528
2009,Adour-Garonne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.302138,303
2009,Adour-Garonne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.868678,150
2009,Adour-Garonne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.7089,17
2009,Rhône-Méditerranée,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.101774,953
2009,Rhône-Méditerranée,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.559293,2407
2009,Rhône-Méditerranée,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,2.671939,606
2009,Rhône-Méditerranée,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,9.334424,297
2009,Rhône-Méditerranée,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,10.574248,36
2010,Artois-Picardie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.002069,16
2010,Artois-Picardie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.18721,206
2010,Artois-Picardie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.66215,129
2010,Artois-Picardie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.496837,84
2010,Artois-Picardie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.500333,12
2010,Rhin-Meuse,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.006313,52
2010,Rhin-Meuse,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.211513,288
2010,Rhin-Meuse,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.717958,151
2010,Rhin-Meuse,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.546391,87
2010,Rhin-Meuse,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.999,8
2010,Seine-Normandie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.032339,292
2010,Seine-Normandie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.024268,1453
2010,Seine-Normandie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.718278,421
2010,Seine-Normandie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,4.990424,169
2010,Seine-Normandie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,17.399549,25
2010,Loire-Bretagne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.173242,1722
2010,Loire-Bretagne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,2.13421,3300
2010,Loire-Bretagne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,3.029712,682
2010,Loire-Bretagne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,7.040999,236
2010,Loire-Bretagne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,6.387997,29
2010,Adour-Garonne,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.107971,1097
2010,Adour-Garonne,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.053578,1594
2010,Adour-Garonne,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.395395,323
2010,Adour-Garonne,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,4.090178,154
2010,Adour-Garonne,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.7089,17
2010,Rhône-Méditerranée,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.104916,980
2010,Rhône-Méditerranée,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.620653,2485
2010,Rhône-Méditerranée,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,2.841879,644
2010,Rhône-Méditerranée,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,9.69101,307
2010,Rhône-Méditerranée,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,10.920848,37
2011,Artois-Picardie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.002639,20
2011,Artois-Picardie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.19154,212
2011,Artois-Picardie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.68221,133
2011,Artois-Picardie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.511037,85
2011,Artois-Picardie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.500333,12
2011,Rhin-Meuse,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.007624,69
2011,Rhin-Meuse,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,0.231491,317
2011,Rhin-Meuse,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,0.765377,161
2011,Rhin-Meuse,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,2.558891,88
2011,Rhin-Meuse,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,3.20355,9
2011,Seine-Normandie,0 - 200 PE,NA,NA,NA,NA,NA,NA,NA,0.033914,306
2011,Seine-Normandie,200 - 2 000 PE,NA,NA,NA,NA,NA,NA,NA,1.051043,1491
2011,Seine-Normandie,2 000 - 10 000 PE,NA,NA,NA,NA,NA,NA,NA,1.805328,442
2011,Seine-Normandie,10 000 - 100 000 PE,NA,NA,NA,NA,NA,NA,NA,5.083929,174
2011,Seine-Normandie,> 100 000 PE,NA,NA,NA,NA,NA,NA,NA,17.566299,26
