Year,capacity,nb_WWTP,PE_bin,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
1998,0.168,199,200 - 2 000 PE,0.0892,0.0892,0.542,0.542,2.07,2.07,4.77,4.77,2.37,2.37,0.0516,0.0516,0.181,0.22639,0.397,0.397,1.27,1.27,0.521,0.521,56,42,81,73,78,6.07,4.48,3.82,1.67,23.2,7.7,8.81,5.29,53.5,24.6,2.3,3.2,1.46,0.842,8.84,3.7,33.8,6.4799999999999995,77.89999999999999,20.7,38.699999999999996,8.5
1998,0.692,153,2 000 - 10 000 PE,0.336,0.336,1.88,1.88,10.7,10.7,22.3,22.3,10.4,10.4,0.167,0.167,0.628,0.66907,0.71,0.71,2.9,2.9,1.17,1.17,64,50,93,87,89,5.59,4.03,5.68,0.965,31.8,4.26,11.8,4.14,66.2,17.4,2.08,4.08,1.33,0.6589999999999999,7.44,2.65,42.3,2.81,88.1,11.5,41.099999999999994,4.62
1998,2.07,73,10 000 - 100 000 PE,0.961,0.961,5.19,5.19,28.8,28.8,63.1,63.1,29.4,29.4,0.362,0.36606,2,2.0802,1.98,2.0022,8.19,8.28182,2.75,2.78083,61,62,93,87,91,5.4,5.57,5.54,0.955,29.9,5.46,12.1,4.02,65.6,22.6,2.19,4.14,1.27,0.48500000000000004,6.88,2.76,38.1,2.65,83.6,11,39,3.68
1998,2.57,5,> 100 000 PE,1.24,1.24,7.24,7.24,34.5,34.5,82.2,82.2,35.9,35.9,0.421,0.421,2.67,2.67,1.56,1.56,7.97,7.97,1.93,1.93,63,66,95,90,95,5.84,6.35,4.77,0.585,27.8,3.72,11.4,2.98,66.3,18.9,2.38,5.1,1.32,0.449,7.720000000000001,2.85,36.8,1.6700000000000002,87.6,8.5,38.199999999999996,2.06
1999,0,2,unreported PE,0.0105,0.0105,0.0885,0.0885,0.459,0.459,1.25,1.25,0.547,0.547,3.72e-4,3.7e-4,0.0229,0.0229,0.0911,0.0911,0.25,0.25,0.0512,0.0512,46,36,53,55,71,8.4,61.7,5.18,3.97,43.5,245,14.1,10.9,118,673,2.71,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,0.00203,14,0 - 200 PE,0.00143,0.00143,0.00994,0.00994,0.0301,0.0301,0.077,0.077,0.0735,0.0735,0.00111,0.00111,0.00762,0.00762,0.0162,0.0162,0.0456,0.0456,0.0549,0.0549,23,23,46,41,25,6.94,6.86,3.02,2.13,21,14.6,7.75,5.98,53.7,41,2.56,2.81,1.9400000000000002,1.5,13.4,10.3,40.7,21.9,104,61.6,99.4,74.2
1999,0.159,189,200 - 2 000 PE,0.0849,0.0849,0.495,0.495,2.16,2.16,4.95,4.95,2.3,2.3,0.0469,0.0469,0.207,0.22031,0.491,0.491,1.56,1.56,0.787,0.79347,54,45,77,68,66,5.83,4.65,4.36,1.6,25.4,10.5,10,5.61,58.3,33.3,2.3,3.18,1.46,0.8059999999999999,8.51,3.79,37.1,8.45,85.1,26.9,39.6,13.6
1999,0.675,148,2 000 - 10 000 PE,0.315,0.315,1.86,1.86,9.45,9.45,22.8,22.8,12.6,12.6,0.18,0.18,0.714,0.71922,1.33,1.33,5.44,5.44,2.98,2.98,61,43,86,76,76,5.91,4,5.07,1.86,30,7.4,12.2,7.59,72.4,30.2,2.41,4.09,1.28,0.73,7.56,2.92,38.4,5.4,92.60000000000001,22.1,51.2,12.1
1999,2.17,77,10 000 - 100 000 PE,0.973,0.973,5.45,5.45,28.9,28.9,65.6,65.6,31.6,31.6,0.344,0.34768,1.85,1.8698,1.82,1.83947,7.54,7.62068,2.26,2.28418,66,64,94,88,93,5.6,5.38,5.3,0.984,29.7,5.29,12,4.08,67.4,21.9,2.27,4.14,1.23,0.44,6.890000000000001,2.37,36.5,2.33,83,9.65,40,2.89
1999,2.57,5,> 100 000 PE,1.35,1.35,6.93,6.93,34.4,34.4,80,80,35.9,35.9,0.428,0.428,2.66,2.66,1.69,1.69,8.74,8.74,2.66,2.66,62,68,95,89,93,5.13,6.21,4.97,0.634,25.5,3.94,11.5,3.29,59.3,20.4,2.32,5.18,1.4400000000000002,0.456,7.39,2.83,36.7,1.8,85.3,9.31,38.3,2.84
