Code SANDRE;Date de mise en configuration actuelle;Date mise en service;Date de fermeture;Nom ouvrage;Commune d'implantation;Code insee commune;Cours d'eau;Entité Hydro;Masse d'eau;Code masse d'eau;X (L93);Y (L93);Capacité nominale;Unité;Exploitant;Maître d'ouvrage;Autorisation de rejet;Communes raccordées
"026800401101";"25/09/1998";"25/09/1998";"";"ALTKIRCH";"ALTKIRCH";"68004";"";"A1050030";"ILL 2";"FRCR17";"1019662";"6734294";"1053";"kg/j DBO5";"VEOLIA EAU - CIE GENERALE DES EAUX ";"CC D'ALTKIRCH";"12/04/1995";
"026732500362";"02/11/2000";"01/01/1983";"";"NIEDERHASLACH";"NIEDERHASLACH";"67325";"";"A2740110";"BRUCHE 3";"FRCR90";"1021145";"6833715";"486";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"SIVOM MOY VALLEE DE LA BRUCHE & HASEL";"";
"026728900348";"01/01/1977";"01/01/1977";"25/05/2009";"INGWILLER";"MENCHHOFFEN";"67289";"";"A3120100";"MODER 2";"FRCR153";"1030608";"6871292";"690";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"SIA DE LA REGION D'INGWILLER";"";
"025765501296";"01/01/2000";"01/01/2000";"";"SOLGNE";"SOLGNE";"57655";"";"A7840300";"RUISSEAU DE MOINCE";"FRCR366";"940425";"6878517";"83,7";"kg/j DBO5";"SOCIETE MOSELLANE DES EAUX";"SM D'ASSAINISSEMENT DE LA SEILLE AVAL";"23/01/2006";
"025506202274";"30/01/2012";"30/01/2012";"";"BOUCONVILLE-SUR-MADT";"BOUCONVILLE-SUR-MADT";"55062";"";"A7300200";"RUPT DE MAD 1";"FRCR343";"899948";"6863781";"10";"kg/j DBO5";"CNE DE BOUCONVILLE-S-MADT";"CNE DE BOUCONVILLE-S-MADT";"23/03/2009";
"025752300231";"01/06/2008";"01/01/1984";"";"OGY";"OGY";"57523";"";"A7890350";"RUISSEAU DE VALLIERES";"FRCR371";"940899";"6894507";"62";"kg/j DBO5";"SM COMOGYRE";"SM COMOGYRE";"08/08/2007";
"025526702214";"01/05/2012";"01/05/2012";"";"HAUMONT-LES-LACHAUSSEE";"LACHAUSSEE";"55267";"";"A8100200";"YRON";"FRCR382";"904945";"6882419";"9";"kg/j DBO5";"SIE DU SOIRON";"SIE DU SOIRON";"10/09/2010";
"025769000278";"01/01/1956";"01/01/1956";"31/05/2000";"VALMONT (SETA)";"VALMONT";"57690";"RIVIERE LA NIED ALLEMANDE";"A981020A";"NIED ALLEMANDE 1";"FRCR459";"970128";"6892720";"21";"kg/j DBO5";"VEOLIA EAU - CIE GENERALE DES EAUX ";"SIA DES TROIS VALLEES";"";
"025706000123";"04/06/1968";"04/06/1968";"29/04/2012";"BENESTROFF";"BENESTROFF";"57060";"";"A9100200";"ALBE 1";"FRCR432";"975827";"6874246";"21";"kg/j DBO5";"CNE DE BENESTROFF";"CNE DE BENESTROFF";"";
"026743500385";"01/01/1981";"01/01/1981";"";"SARREWERDEN";"SARREWERDEN";"67435";"";"A9070100";"SARRE 3";"FRCR413";"998925";"6878003";"720";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"S.D.E.A. ALSACE MOSELLE";"26/03/1982";
"028810402447";"01/07/2013";"01/07/2013";"";"CIRCOURT-SUR-MOUZON";"CIRCOURT-SUR-MOUZON";"88104";"";"B1090200";"MOUZON 2";"FRB1R486";"900988";"6802939";"7";"kg/j DBO5";"CNE DE CIRCOURT-SUR-MOUZON";"CNE DE CIRCOURT-SUR-MOUZON";"26/06/2012";
"025539800105";"01/01/1970";"01/01/1970";"11/01/2012";"PAGNY-S-MEUSE";"PAGNY-SUR-MEUSE";"55398";"";"B2100000";"MEUSE 3";"FRB1R472";"899729";"6846687";"84";"kg/j DBO5";"CNE DE PAGNY-SUR-MEUSE";"CNE DE PAGNY-SUR-MEUSE";"10/11/2006";
"026806600424";"01/04/1997";"01/07/1978";"";"COLMAR LA FERME DU LADHOF";"COLMAR";"68066";"";"A1610030";"ILL 5";"FRCR20";"1026306";"6787835";"11898";"kg/j DBO5";"COLMARIENNE DES EAUX SEML";"SM TRAIT EAUX USEES DE COLMAR ET ENV";"22/08/1994";
"026837501216";"01/11/1997";"01/01/1975";"";"WITTELSHEIM";"WITTELSHEIM";"68375";"";"A1460200";"THUR 4";"FRCR69";"1019649";"6755193";"1155,6";"kg/j DBO5";"SOGEST";"SM WISTARI";"04/04/1996";
"026745800389";"01/01/1972";"01/01/1972";"31/01/2002";"SCHWEIGHOUSE-SUR-MODER";"SCHWEIGHOUSE-SUR-MODER";"67458";"RIVIERE LA MODER";"A315010A";"MODER 3";"FRCR154";"1048027";"6868472";"330";"kg/j DBO5";"LYONNAISE DES EAUX";"SIVOM DE SCHWEIGHOUSE-SUR-MODER";"";
"026728300347";"01/01/1989";"01/01/1989";"";"MARMOUTIER";"MARMOUTIER";"67283";"";"A3450600";"MOSSEL";"FRCR190";"1023238";"6855122";"399";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"CC DU PAYS DE MARMOUTIER SOMMERAU";"";
"028809800479";"01/01/1996";"01/05/1988";"";"CHAUMOUSEY SANCHEY";"CHAUMOUSEY";"88098";"";"A4600500";"AVIERE";"FRCR242";"949256";"6790959";"73,8";"kg/j DBO5";"SYND D'EPURATION DE CHAUMOUSEY-SANCHEY";"SYND D'EPURATION DE CHAUMOUSEY-SANCHEY";"";
"025404701940";"01/12/2008";"01/12/2008";"";"BARISEY-LA-COTE";"BARISEY-LA-COTE";"54047";"";"A5600200";"BOUVADE";"FRCR272";"910043";"6830746";"14";"kg/j DBO5";"CNE DE BARISEY-LA-COTE";"CNE DE BARISEY-LA-COTE";"18/03/2004";
"025754701244";"01/09/1999";"01/09/1999";"";"POMMERIEUX";"POMMERIEUX";"57547";"";"A7860100";"SEILLE 4";"FRCR335";"932132";"6882081";"301,98";"kg/j DBO5";"SOCIETE MOSELLANE DES EAUX";"SM D'ASSAINISSEMENT DE LA SEILLE AVAL";"24/10/1997";
"025708402345";"01/03/2014";"01/03/2014";"";"BIONCOURT ALINCOURT";"BIONCOURT";"57084";"";"A7730100";"SEILLE 3";"FRCR334";"945987";"6861215";"2";"kg/j DBO5";"CNE DE BIONCOURT";"CNE DE BIONCOURT";"01/03/2012";
"025771601888";"01/12/2008";"01/12/2008";"";"VIGY";"VIGY";"57716";"";"A7910920";"BEVOTTE";"FRCR376";"939758";"6905304";"135";"kg/j DBO5";"SOCIETE MOSELLANE DES EAUX";"CC DU HAUT CHEMIN";"";
"025773300286";"01/01/1971";"01/01/1971";"30/04/2000";"VOLTROFF REINANGE";"VOLSTROFF";"57733";"RUISSEAU LA SEE";"A850047A";"";"";"935603";"6916392";"12";"kg/j DBO5";"CNE DE VOLSTROFF";"CNE DE VOLSTROFF";"";
"025715900146";"05/11/2002";"01/05/1989";"";"CREHANGE";"CREHANGE";"57159";"";"A9840200";"NIED ALLEMANDE 2";"FRCR460";"961066";"6889544";"969,96";"kg/j DBO5";"CC DISTRICT URBAIN DE FAULQUEMONT & ENV";"CC DISTRICT URBAIN DE FAULQUEMONT & ENV";"14/11/2008";
"025714800141";"01/01/1977";"01/01/1977";"";"COLLIGNY";"COLLIGNY";"57148";"";"A9740120";"NIED FRANCAISE 2";"FRCR417";"943102";"6893564";"28,62";"kg/j DBO5";"SM COMOGYRE";"SM COMOGYRE";"28/01/2008";
"025725000170";"01/01/1985";"01/01/1985";"";"GOETZENBRUCK";"GOETZENBRUCK";"57250";"";"A9220430";"EICHEL 2";"FRCR437";"1019931";"6883936";"168";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"S.D.E.A. ALSACE MOSELLE";"";
"020828400016";"01/07/1976";"01/07/1976";"";"MAZURES (VIEILLES FORGES)";"MAZURES (LES)";"8284";"";"B7020200";"RUISSEAU DE FAU 2";"FRB1R589";"814310";"6976994";"54";"kg/j DBO5";"DEPARTEMENT DES ARDENNES ";"DEPARTEMENT DES ARDENNES ";"";
"025710901369";"01/09/2001";"01/09/2001";"30/01/2008";"BREISTROFF-LA-GRANDE";"BREISTROFF-LA-GRANDE";"57109";"";"";"";"";"933204";"6932822";"24";"kg/j DBO5";"CC DE CATTENOM ET ENVIRONS";"CC DE CATTENOM ET ENVIRONS";"";
"026825800453";"01/06/1976";"01/06/1976";"09/06/2013";"PULVERSHEIM";"PULVERSHEIM";"68258";"";"A1460740";"THUR 4";"FRCR69";"1022881";"6758290";"189";"kg/j DBO5";"SOGEST";"SIVOM DE L'AGGLOMERATION MULHOUSIENNE";"09/08/1976";
"026731701232";"01/01/2000";"01/01/2000";"";"VILLE";"NEUBOIS";"67317";"";"A2310200";"GIESSEN 1";"FRCR112";"1022686";"6809937";"1038";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"S.D.E.A. ALSACE MOSELLE";"";
"026802800418";"01/01/1995";"01/02/1973";"";"BERGHEIM";"BERGHEIM";"68028";"";"A2210460";"HORGIESSEN";"FRCR107";"1025125";"6799233";"322,02";"kg/j DBO5";"SIE BERGHEIM ST HIPPOLYTE ET ENVIRONS";"SIE BERGHEIM ST HIPPOLYTE ET ENVIRONS";"05/05/1994";
"026747801412";"01/09/2002";"01/09/2002";"";"SAVERNE";"STEINBOURG";"67478";"";"A3420200";"ZORN 3";"FRCR176";"1022880";"6859957";"2916";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"SIA REGION SAVERNE-ZORN-MOSSEL";"30/06/1999";
"025754001526";"26/06/2004";"26/06/2004";"";"PHALSBOURG SUD";"PHALSBOURG";"57540";"";"A3400970";"ZORN 2";"FRCR175";"1012082";"6859711";"324";"kg/j DBO5";"CNE DE PHALSBOURG";"CNE DE PHALSBOURG";"05/09/2002";
"028819600842";"01/01/1997";"01/01/1997";"";"GERARDMER";"GERARDMER";"88196";"";"A4310200";"VOLOGNE 2";"FRCR228";"988383";"6784824";"2092,5";"kg/j DBO5";"SIA VALLEE DES LACS";"SIA VALLEE DES LACS";"16/04/1994";
"028822502032";"30/11/2008";"30/11/2008";"";"HADOL";"HADOL";"88225";"";"A4400710";"RUISSEAU DES NAUVES";"FRCR234";"959094";"6782396";"54";"kg/j DBO5";"CC LA VOGE VERS LES RIVES DE LA MOSELLE";"CC LA VOGE VERS LES RIVES DE LA MOSELLE";"14/03/2007";
"025425202058";"01/09/2009";"01/09/2009";"";"HAROUE";"HAROUE";"54252";"";"A5330100";"MADON 4";"FRCR249";"934342";"6824317";"50";"kg/j DBO5";"CNE DE HAROUE";"CNE DE HAROUE";"02/07/2008";
"028816501289";"01/02/2000";"01/02/2000";"";"ETIVAL-CLAIREFONTAINE";"ETIVAL-CLAIREFONTAINE";"88165";"";"A6090100";"MEURTHE 3";"FRCR279";"986298";"6815605";"572,4";"kg/j DBO5";"SI ETUDE & ACT ASSAIN VALLEE DU RABODEAU";"SI ETUDE & ACT ASSAIN VALLEE DU RABODEAU";"16/04/1998";
"025755300243";"01/01/1974";"01/01/1974";"";"POURNOY-LA-CHETIVE";"POURNOY-LA-CHETIVE";"57553";"";"A7870390";"GRAND FOSSE";"FRCR368";"930702";"6884913";"33";"kg/j DBO5";"HAGANIS";"HAGANIS";"";
"025722101340";"01/11/2002";"01/11/2002";"";"VALLEE DE LA FENSCH";"FLORANGE";"57221";"";"A8530200";"FENSCH";"FRCR398";"929061";"6918424";"7117,2";"kg/j DBO5";"SIEA DE FONTOY - VALLEE DE LA FENSCH";"SIEA DE FONTOY - VALLEE DE LA FENSCH";"22/04/1999";
"025736501909";"01/05/2009";"01/05/2009";"";"KIRSCHNAUMEN";"KIRSCHNAUMEN";"57365";"";"A887030X";"RUISSEAU DE MONTENACH";"FRCR408";"948945";"6927624";"26";"kg/j DBO5";"CNE DE KIRSCHNAUMEN";"CNE DE KIRSCHNAUMEN";"18/07/2008";
"025758801818";"28/11/2007";"28/11/2007";"";"RODEMACK";"RODEMACK";"57588";"";"A8810200";"RUISSEAU DE BOLER";"FRCR405";"936251";"6932508";"204";"kg/j DBO5";"CC DE CATTENOM ET ENVIRONS";"CC DE CATTENOM ET ENVIRONS";"13/01/2006";
"025773601822";"01/01/2008";"01/01/2008";"";"VRY-GONDREVILLE";"VRY";"57736";"";"A9750630";"NIED FRANCAISE 2";"FRCR417";"944974";"6905207";"21";"kg/j DBO5";"CC DU HAUT CHEMIN";"CC DU HAUT CHEMIN";"20/11/2006";
"025732201951";"07/11/2011";"07/11/2011";"";"HESTROFF";"HESTROFF";"57322";"";"A9920300";"ANZELINGERBACH";"FRCR465";"950178";"6914246";"260";"kg/j DBO5";"LYONNAISE DES EAUX FRANCE";"SIA DE L'ANZELING";"25/10/2006";
"025735501343";"01/04/2002";"01/04/2002";"";"KALHAUSEN";"KALHAUSEN";"57355";"";"A9300100";"SARRE 3";"FRCR413";"1001509";"6889785";"383,4";"kg/j DBO5";"SIA DU BASSIN VERSANT DU VAL D'ACHEN";"SIA DU BASSIN VERSANT DU VAL D'ACHEN";"11/09/2001";
"025233201966";"01/01/1995";"01/01/1995";"";"LENIZEUL";"VAL-DE-MEUSE";"52332";"";"B0020000";"MEUSE 1";"FRB1R470";"889259";"6775430";"36";"kg/j DBO5";"CNE DU VAL-DE-MEUSE";"CNE DU VAL-DE-MEUSE";"";
"025549601975";"30/07/2009";"30/07/2009";"";"SORCY-SAINT-MARTIN";"SORCY-SAINT-MARTIN";"55496";"";"B2100000";"MEUSE 3";"FRB1R472";"894398";"6849992";"74";"kg/j DBO5";"CNE DE SORCY-SAINT-MARTIN";"CNE DE SORCY-SAINT-MARTIN";"09/07/2009";
"020831100810";"01/01/1969";"01/01/1969";"31/12/2003";"MOUZON";"MOUZON";"8311";"LA MEUSE";"B321000B";"MEUSE 6";"FRB1R475";"849461";"6947933";"66";"kg/j DBO5";"CNE DE MOUZON";"CNE DE MOUZON";"";
"020836101637";"30/03/2005";"30/03/2005";"";"RENWEZ";"RENWEZ";"8361";"";"B5540320";"SORMONNE 2";"FRB1R581";"814656";"6971654";"130,2";"kg/j DBO5";"TRADILOR";"CNE DE RENWEZ";"14/08/2003";
"020819400011";"30/06/1999";"30/06/1999";"";"GLAIRE SEDAN";"GLAIRE";"8194";"";"B5030000";"MEUSE 6";"FRB1R475";"838983";"6958544";"2916";"kg/j DBO5";"VEOLIA EAU - CIE GENERALE DES EAUX";"CA CHARLEVILLE MEZIERES / SEDAN";"02/02/2000";
"020811600007";"01/03/2012";"13/01/1977";"";"LE CHESNE";"CHESNE (LE)";"8116";"";"B513070";"BAR";"FRB1R574";"828478";"6936184";"70";"kg/j DBO5";"CNE DE CHESNE (LE)";"CNE DE CHESNE (LE)";"02/04/2012";
"026808200428";"01/05/1989";"01/05/1989";"28/09/2009";"ENSISHEIM";"ENSISHEIM";"68082";"RIVIERE L'ILL";"A133003A";"ILL 4";"FRCR19";"1024705";"6761817";"489,96";"kg/j DBO5";"DEGREMONT SERVICES ";"CNE DE ENSISHEIM";"";
"026803100419";"01/11/1986";"01/11/1986";"";"BERNWILLER";"BERNWILLER";"68031";"";"A1150670";"KREBSBACH (AFFL. LARGUE)";"FRCR51";"1015449";"6740607";"30";"kg/j DBO5";"CNE DE BERNWILLER";"CNE DE BERNWILLER";"";
"026711500308";"01/01/1976";"01/01/1976";"19/08/2003";"EBERSHEIM";"EBERSHEIM";"67115";"RUISSEAU L'AUBACH";"A236040J";"ILL 6";"FRCR21";"1034244";"6810647";"186";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"CC DE SELESTAT";"";
"026707401533";"15/10/2004";"15/10/2004";"";"CLEEBOURG";"CLEEBOURG";"67074";"";"A3710430";"SELTZBACH";"FRCR205";"1058524";"6888347";"38,4";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"SASS DE LA REGION DE RIEDSELTZ";"11/12/2002";
"025746800222";"01/01/1992";"01/01/1992";"";"MITTELBRONN";"MITTELBRONN";"57468";"";"A3430330";"ZINSEL DU SUD 1";"FRCR180";"1010404";"6861481";"39";"kg/j DBO5";"CNE DE MITTELBRONN";"CNE DE MITTELBRONN";"";
"028807800473";"01/03/1966";"01/03/1966";"30/12/2012";"BRUYERES LA LIZERNE";"BRUYERES";"88078";"";"A4340430";"VOLOGNE 3";"FRCR229";"976066";"6795396";"78";"kg/j DBO5";"CC DE LA VALLEE DE LA VOLOGNE";"CC DE LA VALLEE DE LA VOLOGNE";"";
"028814801924";"26/06/2008";"26/06/2008";"";"DOMMARTIN-LES-REMIREMONT";"DOMMARTIN-LES-REMIREMONT";"88148";"";"A4180200";"MOSELOTTE 3";"FRCR224";"969446";"6773930";"";"kg/j DBO5";"SIA HAUT RANGS";"SIA HAUT RANGS";"18/10/2004";
"025443702366";"02/07/2013";"02/07/2013";"";"PULLIGNY";"PULLIGNY";"54437";"";"A5430100";"MADON 4";"FRCR249";"931433";"6832065";"100";"kg/j DBO5";"CC MOSELLE ET MADON";"CC MOSELLE ET MADON";"14/12/2010";
"025450200088";"01/01/1967";"01/01/1967";"";"SERRES";"SERRES";"54502";"";"A6850840";"RUISSEAU DE L'ETANG DE SERRE";"FRCR325";"954440";"6848682";"36";"kg/j DBO5";"VEOLIA EAU - CIE GENERALE DES EAUX";"CNE DE SERRES";"";
"025415900056";"01/01/1974";"01/01/1974";"31/12/2003";"DOMBASLE-SUR-MEURTHE";"DOMBASLE-SUR-MEURTHE";"54159";"LA MEURTHE";"A690010A";"SANON 2";"FRCR321";"946451";"6840495";"444";"kg/j DBO5";"SAUR FRANCE";"CNE DE DOMBASLE-SUR-MEURTHE";"";
"025428701227";"30/04/2000";"30/04/2000";"";"LACHAPELLE";"LACHAPELLE";"54287";"";"A6300100";"MEURTHE 3";"FRCR279";"980256";"6820372";"13,62";"kg/j DBO5";"CNE DE LACHAPELLE";"CNE DE LACHAPELLE";"";
"028807800472";"01/06/1968";"01/06/1968";"30/12/2012";"BRUYERES L'ARENTELE";"BRUYERES";"88078";"";"A6640300";"ARENTELE";"FRCR309";"975705";"6797991";"75";"kg/j DBO5";"CC DE LA VALLEE DE LA VOLOGNE";"CC DE LA VALLEE DE LA VOLOGNE";"";
"025743300214";"01/01/1976";"01/01/1976";"06/06/2006";"MAIZIERES-LES-METZ";"MAIZIERES-LES-METZ";"57433";"RUISSEAU LE BILLERON";"A792047A";"";"";"931665";"6906621";"912";"kg/j DBO5";"SOCIETE MOSELLANE DES EAUX";"CC DE MAIZIERES LES METZ";"";
"025749502054";"01/12/2010";"01/12/2010";"";"NARBEFONTAINE";"NARBEFONTAINE";"57495";"";"A9850580";"NIED ALLEMANDE 2";"FRCR460";"958541";"6898658";"12";"kg/j DBO5";"CC DU PAYS BOULAGEOIS";"CC DU PAYS BOULAGEOIS";"";
"025701600114";"16/06/1975";"16/06/1975";"";"ALZING";"ALZING";"57016";"";"A9940310";"OHLIGBACH";"FRCR466";"958257";"6914845";"36";"kg/j DBO5";"CNE D'ALZING";"CNE D'ALZING";"";
"025709700131";"15/06/2012";"01/01/1967";"";"BOULAY";"BOULAY-MOSELLE";"57097";"";"A9900660";"ELLBACH";"FRCR462";"953572";"6903584";"836";"kg/j DBO5";"SOCIETE DES EAUX DE L'EST ";"CC DU PAYS BOULAGEOIS";"10/03/2011";
"025751701713";"01/08/2006";"01/08/2006";"";"OBERGAILBACH";"OBERGAILBACH";"57517";"";"A9370300";"BLIES";"FRCR444";"1007413";"6899775";"31,5";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"S.D.E.A. ALSACE MOSELLE";"22/08/2005";
"025454802260";"01/07/2012";"01/07/2012";"";"VANNES-LE-CHATEL";"VANNES-LE-CHATEL";"54548";"";"B2040340";"AROFFE 3";"FRB1R505";"904752";"6830487";"140";"kg/j DBO5";"SIA DE L'AROFFE";"SIA DE L'AROFFE";"23/11/2010";
"025535100104";"01/01/1961";"01/01/1961";"04/09/2011";"MONTMEDY";"MONTMEDY";"55351";"";"B4400100";"CHIERS 3";"FRB1R723";"871417";"6937681";"105";"kg/j DBO5";"CC DU PAYS DE MONTMEDY";"CC DU PAYS DE MONTMEDY";"";
"025244400034";"01/01/1973";"01/01/1973";"01/01/2008";"SEMILLY";"SAINT-BLIN";"52444";"";"";"";"";"882458";"6798548";"15";"kg/j DBO5";"COMMUNE DE SAINT-BLIN";"COMMUNE DE SEMILLY";"";
"025729002235";"01/09/2014";"01/09/2014";"";"HAMPONT";"HAMPONT";"57290";"";"";"SEILLE 2";"FRCR333";"962225";"6865653";"18";"kg/j DBO5";"CNE DE HAMPONT";"CNE DE HAMPONT";"01/04/2012";
"026752500844";"05/11/1997";"05/11/1997";"";"SCHARRACHBERGHEIM";"WESTHOFFEN";"67525";"";"A2840200";"MOSSIG 2";"FRCR146";"1030493";"6840723";"1438,5";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"S.D.E.A. ALSACE MOSELLE";"27/12/1994";
"026834500463";"01/01/1986";"01/01/1986";"";"URSCHENHEIM";"URSCHENHEIM";"68345";"";"A2240462";"RIGOLE DE WIDENSOHLEN";"FRCR14";"1033150";"6786244";"129,96";"kg/j DBO5";"CC DU PAYS DE BRISACH";"CC DU PAYS DE BRISACH";"01/01/1975";
"028850000514";"01/01/1974";"01/01/1974";"";"VENTRON";"VENTRON";"88500";"";"A4120300";"MOSELOTTE 2";"FRCR223";"988745";"6767043";"48";"kg/j DBO5";"CNE DE VENTRON";"CNE DE VENTRON";"";
"025458601758";"08/09/2006";"08/09/2006";"";"VITERNE";"VITERNE";"54586";"";"A5440420";"RUISSEAU DE VITERNE";"FRCR269";"924096";"6835267";"54";"kg/j DBO5";"CC MOSELLE ET MADON";"CC MOSELLE ET MADON";"22/10/2004";
"025708602229";"01/07/2013";"01/07/2013";"";"BELLES-FORETS";"BELLES-FORETS";"57086";"";"A7500650";"RUISSEAU DE L'ETANG DE NOLWEIHER";"FRCR355";"985181";"6864157";"21";"kg/j DBO5";"CC DE SARREBOURG MOSELLE SUD";"CC DE SARREBOURG MOSELLE SUD";"26/01/2012";
"025749000227";"01/01/1985";"01/01/1985";"";"MOYENVIC";"MOYENVIC";"57490";"";"A7580100";"SEILLE 2";"FRCR333";"961301";"6859441";"28,2";"kg/j DBO5";"CNE DE MOYENVIC";"CNE DE MOYENVIC";"";
"025411200050";"01/01/1965";"01/01/1965";"01/10/2010";"CHAMBLEY";"CHAMBLEY-BUSSIERES";"54112";"RUISSEAU DU SOIRON";"A734050C";"RUISSEAU DU SOIRON";"FRCR350";"911908";"6886670";"54";"kg/j DBO5";"CNE DE CHAMBLEY";"CNE DE CHAMBLEY";"";
"025747902121";"01/05/2012";"01/05/2012";"";"MONTENACH";"MONTENACH";"57479";"";"A8870300";"RUISSEAU DE MONTENACH";"FRCR408";"944866";"6929769";"";"kg/j DBO5";"CNE DE MONTENACH";"CNE DE MONTENACH";"";
"025710801615";"11/11/2004";"11/11/2004";"";"BREIDENBACH OLSBERG";"BREIDENBACH";"57108";"";"A9330650";"HORN";"FRCR445";"1020920";"6900642";"6,9";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"S.D.E.A. ALSACE MOSELLE";"";
"025774800287";"01/01/1993";"01/01/1993";"";"WITTRING";"WITTRING";"57748";"";"A9300100";"SARRE 3";"FRCR413";"1002536";"6891982";"60";"kg/j DBO5";"CA SARREGUEMINES CONFLUENCES";"CA SARREGUEMINES CONFLUENCES";"23/12/2010";
"026709501456";"01/07/2003";"01/07/2003";"";"DIEMERINGEN";"DIEMERINGEN";"67095";"";"A9230200";"EICHEL 2";"FRCR437";"1006845";"6880378";"688,5";"kg/j DBO5";"SMA DE L'EICHELTHAL";"SMA DE L'EICHELTHAL";"26/03/2001";
"020805302198";"01/01/2012";"01/01/2012";"";"BAZEILLES";"BAZEILLES";"8053";"";"B5010000";"MEUSE 6";"FRB1R475";"844077";"6954310";"580";"kg/j DBO5";"VEOLIA EAU - CIE GENERALE DES EAUX";"CA CHARLEVILLE MEZIERES / SEDAN";"27/01/2009";
"026808602152";"01/06/2010";"01/06/2010";"";"FALKWILLER";"FALKWILLER";"68086";"";"A1140540";"SOULTZBACH";"FRCR50";"1010535";"6738280";"98";"kg/j DBO5";"SIVOM DIEFMATTEN FALKWILLER GILDWILLER";"SIVOM DIEFMATTEN FALKWILLER GILDWILLER";"24/08/2009";
"026823100448";"01/11/1980";"01/11/1980";"25/10/2005";"NEUF-BRISACH";"NEUF-BRISACH";"68231";"RIGOLE DE WIDENSOHLEN";"A224046J";"RIGOLE DE WIDENSOHLEN";"FRCR14";"1036915";"6778622";"237";"kg/j DBO5";"CC DU PAYS DE BRISACH";"CC DU PAYS DE BRISACH";"";
"026817301346";"01/01/2002";"01/01/2002";"";"LABAROCHE";"LABAROCHE";"68173";"";"A2130350";"WALBACH";"FRCR102";"1012649";"6787347";"6";"kg/j DBO5";"CNE DE LABAROCHE";"CNE DE LABAROCHE";"";
"026730300353";"01/08/1971";"01/08/1971";"01/07/2008";"MORSBRONN-LES-BAINS";"MORSBRONN-LES-BAINS";"67303";"";"A3640300";"";"";"1047994";"6878137";"42";"kg/j DBO5";"CC DE LA VALLEE DE LA SAUER";"CC DE LA VALLEE DE LA SAUER";"";
"025455801846";"01/11/2007";"01/11/2007";"";"VELAINE-SOUS-AMANCE";"VELAINE-SOUS-AMANCE";"54558";"";"A6950370";"AMEZULE";"FRCR331";"944603";"6851460";"28,2";"kg/j DBO5";"CC DU GRAND COURONNE";"CC DU GRAND COURONNE";"22/11/2007";
"025431202093";"01/07/2010";"01/07/2010";"";"LESMENILS";"LESMENILS";"54312";"";"A7850100";"SEILLE 4";"FRCR335";"927829";"6875474";"37";"kg/j DBO5";"CNE DE LESMENILS";"CNE DE LESMENILS";"01/07/2010";
"025422501094";"24/09/1998";"24/09/1998";"";"GEZONCOURT";"GEZONCOURT";"54225";"";"A7120200";"ESCHE 2";"FRCR339";"919670";"6863813";"10,8";"kg/j DBO5";"CNE DE GEZONCOURT";"CNE DE GEZONCOURT";"";
"025434302388";"01/04/2014";"01/04/2014";"";"MANDRE-AUX-QUATRE-TOURS";"MANDRES-AUX-QUATRE-TOURS";"54343";"";"A7100550";"ESCHE 1";"FRCR338";"905568";"6863239";"16";"kg/j DBO5";"CNE DE MANDRES-AUX-QUATRE-TOURS";"CNE DE MANDRES-AUX-QUATRE-TOURS";"21/02/2013";
"025740901878";"11/12/2008";"11/12/2008";"";"LIXING-LES-SAINT-AVOLD";"LIXING-LES-SAINT-AVOLD";"57409";"";"A9820430";"NIED ALLEMANDE 1";"FRCR459";"974239";"6886989";"118";"kg/j DBO5";"CC DU CENTRE MOSELLAN";"CC DU CENTRE MOSELLAN";"01/02/2007";
"025760600253";"01/01/1974";"01/01/1974";"31/08/2001";"SAINT-AVOLD";"SAINT-AVOLD";"57606";"RUISSEAU LA ROSSELLE";"A950020A";"ROSSELLE 2";"FRCR456";"972395";"6896447";"1200";"kg/j DBO5";"CNE DE SAINT-AVOLD";"CNE DE SAINT-AVOLD";"";
"025706002150";"30/04/2012";"30/04/2012";"";"BENESTROFF";"BENESTROFF";"57060";"";"A9100370";"ALBE 1";"FRCR432";"975837";"6874297";"69";"kg/j DBO5";"CNE DE BENESTROFF";"CNE DE BENESTROFF";"21/09/2010";
"025769702151";"30/09/2013";"30/09/2013";"";"VASPERVILLER";"VASPERVILLER";"57697";"";"A9010300";"SARRE 1";"FRCR411";"999045";"6845270";"250";"kg/j DBO5";"CC DES DEUX SARRES";"CC DES DEUX SARRES";"10/07/2008";
