Code SANDRE;Date de mise en configuration actuelle;Date mise en service;Date de fermeture;Nom ouvrage;Commune d'implantation;Code insee commune;Cours d'eau;Entité Hydro;Masse d'eau;Code masse d'eau;X (L93);Y (L93);Capacité nominale;Unité;Exploitant;Maître d'ouvrage;Autorisation de rejet;Communes raccordées
"028846401679";"01/01/1989";"01/01/1989";"";"TENDON MAIRIE";"TENDON";"88464";"";"A4350670";"BARBA";"FRCR232";"973577";"6786428";"2";"kg/j DBO5";"CNE DE TENDON";"CNE DE TENDON";"";
"025703801095";"18/08/1998";"18/08/1998";"";"AUDUN-LE-TICHE";"AUDUN-LE-TICHE";"57038";"";"A8900200";"ALZETTE";"FRCR715";"914692";"6935603";"1470";"kg/j DBO5";"SIVOM DE L'ALZETTE";"SIVOM DE L'ALZETTE";"30/12/1994";
"025715501716";"01/09/2006";"01/09/2006";"";"COURCELLES-CHAUSSY";"COURCELLES-CHAUSSY";"57155";"";"A9740120";"NIED FRANCAISE 2";"FRCR417";"947518";"6895802";"234";"kg/j DBO5";"CNE DE COURCELLES-CHAUSSY";"CNE DE COURCELLES-CHAUSSY";"05/04/2005";
"025738201422";"01/09/2002";"01/09/2002";"";"LANGATTE";"LANGATTE";"57382";"";"A9040380";"LANDBACH";"FRCR424";"990897";"6857601";"59,58";"kg/j DBO5";"CC DE L'ETANG DU STOCK";"CC DE L'ETANG DU STOCK";"";
"025772502179";"01/08/2012";"01/08/2012";"";"VITTERSBOURG ROSE";"VITTERSBOURG";"57725";"";"A9180460";"RODE";"FRCR435";"988656";"6879127";"11";"kg/j DBO5";"CNE DE VITTERSBOURG";"CNE DE VITTERSBOURG";"10/11/2010";
"025505801221";"01/10/1998";"01/10/1998";"";"BONCOURT/MEUSE";"BONCOURT-SUR-MEUSE";"55058";"";"B2130000";"MEUSE 3";"FRB1R472";"888833";"6858442";"33";"kg/j DBO5";"CNE DE BONCOURT";"CNE DE BONCOURT";"";
"025514502199";"15/07/2011";"15/07/2011";"";"DAMVILLERS";"DAMVILLERS";"55145";"";"B4550210";"LOISON 1";"FRB1R556";"874943";"6918615";"51";"kg/j DBO5";"CNE DE DAMVILLERS";"CNE DE DAMVILLERS";"";
"025742101769";"01/01/2007";"01/01/2007";"";"LOUTZVILLER";"LOUTZVILLER";"57421";"";"";"SCHWALBACH";"FRCR446";"1019309";"6902995";"17,4";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"S.D.E.A. ALSACE MOSELLE";"01/01/2011";
"026818102256";"01/06/2012";"01/06/2012";"";"LEVONCOURT";"LEVONCOURT";"68181";"";"A1100200";"LARGUE 1";"FRCR704";"1016285";"6714109";"15";"kg/j DBO5";"CNE DE LEVONCOURT (68)";"CNE DE LEVONCOURT (68)";"29/03/2011";
"026728901967";"26/05/2009";"26/05/2009";"";"MENCHHOFFEN";"MENCHHOFFEN";"67289";"";"A3120100";"MODER 2";"FRCR153";"1030932";"6871363";"790";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"S.D.E.A. ALSACE MOSELLE";"06/07/2006";
"025423201741";"12/07/2006";"12/07/2006";"";"GONDREVILLE";"GONDREVILLE";"54232";"";"A5740060";"MOSELLE 5";"FRCR212";"918092";"6848811";"216";"kg/j DBO5";"VEOLIA EAU - CIE GENERALE DES EAUX ";"SIA DE GONDREVILLE - FONTENOY";"25/10/2004";
"025547300817";"01/01/1995";"01/01/1995";"";"SAULX-LES-CHAMPLON";"SAULX-LES-CHAMPLON";"55473";"";"A8140210";"LONGEAU (AFFL. YRON)";"FRCR383";"893903";"6889069";"6";"kg/j DBO5";"CNE DE SAULX LES CHAMPLON";"CNE DE SAULX LES CHAMPLON";"";
"025728700121";"01/01/1992";"01/01/1966";"01/11/2005";"BASSE HAM CENTRE";"BASSE HAM";"57287";"RUISSEAU LA BIBICHE";"A863020A";"";"";"935145";"6925666";"84";"kg/j DBO5";"STE DES EAUX DE L'EST";"CA PORTES DE FRANCE - THIONVILLE";"";
"025736100196";"01/01/1976";"01/01/1976";"";"KERLING-LES-SIERCK (HAUTE SIERCK)";"KERLING-LES-SIERCK";"57361";"";"A8870640";"RUISSEAU DE MONTENACH";"FRCR408";"946347";"6926287";"10,98";"kg/j DBO5";"SIA DE KOENIGSMACKER MALLING & HUNTING";"SIA DE KOENIGSMACKER MALLING & HUNTING";"";
"025718600154";"01/01/1992";"01/01/1992";"07/11/2011";"EBERSVILLER";"EBERSVILLER";"57186";"";"A9920610";"ANZELINGERBACH";"FRCR465";"948028";"6914024";"19,2";"kg/j DBO5";"SIA DE L'ANZELING";"SIA DE L'ANZELING";"";
"026709500303";"01/01/1970";"01/01/1970";"30/06/2003";"DIEMERINGEN";"DIEMERINGEN";"67095";"RUISSEAU L'EICHEL";"A923020A";"EICHEL 2";"FRCR437";"1006675";"6879885";"78";"kg/j DBO5";"SIVOM DE DIEMERINGEN ET ENVIRONS";"SIA DE L'EICHELTHAL";"";
"028809500477";"01/06/1980";"01/06/1980";"23/02/2010";"CHATENOIS";"CHATENOIS";"88095";"";"B1230200";"VAIR 2";"FRB1R493";"911828";"6804942";"255";"kg/j DBO5";"CNE DE CHATENOIS";"CNE DE CHATENOIS";"";
"025526301976";"10/07/2009";"10/07/2009";"";"KOEUR-LA-GRANDE";"KOEUR-LA-GRANDE";"55263";"";"B2220500";"ROYAT";"FRB1R512";"882030";"6865235";"24";"kg/j DBO5";"SYND D'ASSAINISSEMENT DES KOEUR";"SYND D'ASSAINISSEMENT DES KOEUR";"10/12/2008";
"020832700020";"01/01/1928";"01/01/1928";"01/01/2004";"NOUVION-VRIGNE";"NOUVION-SUR-MEUSE";"8327";"LA MEUSE";"B520000B";"MEUSE 7";"FRB1R476";"830840";"6956991";"45";"kg/j DBO5";"CNE DE NOUVION-SUR-MEUSE";"CNE DE NOUVION-SUR-MEUSE";"";
"026802001798";"01/02/2007";"01/02/2007";"";"BANTZENHEIM";"BANTZENHEIM";"68020";"";"A0300012";"GRAND CANAL D'ALSACE - BIEF DE KEMBS A NEUF-BRISACH";"FRCR5";"1039029";"6756755";"283,5";"kg/j DBO5";"VEOLIA EAU - CIE GENERALE DES EAUX";"SASS DE BANTZENHEIM ET CHALAMPE";"24/10/2005";
"026816902160";"01/09/2011";"01/09/2011";"";"KOESTLACH";"KOESTLACH";"68169";"";"A1030790";"FELDBACH";"FRCR40";"1021840";"6721085";"29";"kg/j DBO5";"SIA DE MOERNACH ET KOESTLACH";"SIA DE MOERNACH ET KOESTLACH";"";
"026717400320";"01/01/1972";"01/01/1972";"";"GUMBRECHTSHOFFEN";"GUMBRECHTSHOFFEN";"67174";"";"A3210200";"ZINSEL DU NORD 2";"FRCR165";"1039142";"6876961";"45";"kg/j DBO5";"S.D.E.A. ALSACE MOSELLE";"S.D.E.A. ALSACE MOSELLE";"";
