source,target,flow_group,value
excretion,IAS,excretion,0.68
excretion,sewage network,excretion,2.72
IAS,groundwater,water,0.89
IAS,WWTP,WWTP,0.16
large industries,sewage network,large industries,0.08
sewage network,WWTP,WWTP,3.34
WWTP,water,water,1.1
WWTP,sludge,sludge,2.4
sewage network,water,water,0.25
sludge,"composted, spread",sludge,2.14
sludge,"landfill, incineration..",lost,0.26
residual,sewage network,large industries,0.85
residual,IAS,sewage network,0.36
