source,target,flow_group,value
excretion,sewage network,excretion,1.81
large industries,sewage network,large industries,0.12
sewage network,WWTP,WWTP,2
WWTP,water,water,0.33
sewage network,water,water,0.4
residual,sewage network,large industries,0.47
excretion,IAS,excretion,0.09
residual,IAS,sewage network,0.03
IAS,groundwater,water,0.1
IAS,WWTP,WWTP,0.02
WWTP,sludge,sludge,1.69
sludge,"composted, spread",sludge,1.4
sludge,"landfill, incineration..",lost,0.29
