source,target,flow_group,value
excretion,IAS,excretion,0.93
excretion,sewage network,excretion,4.77
IAS,groundwater,water,1.14
IAS,WWTP,WWTP,0.2
large industries,sewage network,large industries,0.46
sewage network,WWTP,WWTP,5.6
WWTP,water,water,0.81
WWTP,sludge,sludge,4.99
sewage network,water,water,0.87
sludge,"composted, spread",sludge,4.44
sludge,"landfill, incineration..",lost,0.55
residual,sewage network,large industries,1.3
residual,IAS,sewage network,0.42
