identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0006103750;FAMAR LYON;2017;;;83800;
0005601452;SOURCES du MONT DORE en AUVERGNE;2017;430000;;;
0005100728;MAGNETTO WHEELS;2017;76100;;4120;
0006301415;MONDELEZ International;2017;;;82100;
0005601311;SOCOPA VIANDES;2017;;;336000;
0054900708;GUILLET SAS;2017;165000;;6360;
0010004681;LISI AUTOMOTIVE NOMEL SAS;2017;133000;;160;
0005901100;FIDAY GESTION;2017;1940;256000;8340;
0005200010;POLYREY S.A.S. (usine);2017;;549000;9570;
0069902002;EDF - CNPE de Paluel;2017;;639000;;3960000000
0005801516;LEGRAND NORMANDIE;2017;146000;;1830;
0006105003;MAJ ELIS LOIRE;2017;80800;;797;
0006700018;Matthieu COTTING;2017;1570000;;;
0006700795;SITEK INSULATION S.A.S.;2017;;49000;5830;
0007000024;SCD SARL.;2017;113000;;300;
0006510707;PROVENCALE;2017;;476000;;
0070600401;STEP - ANTIBES;2017;;;79500;
0006301407;SAVONNERIE DE L'ATLANTIQUE;2017;;120000;6440;
0050100333;MONTERRAT S.A;2017;;;223000;
0006102276;BRESSOR SA site de Servas;2017;306000;;147000;
0006102523;SPIT;2017;611000;;;
0006401008;Basell Polyoléfines France SAS;2017;;5000000;107000;
0077649801;STEP - LE PETIT-QUEVILLY;2017;156000;;;
0006601279;Communauté Agglomération Bassin de Thau;2017;;;477000;
0006303453;OVOTEAM;2017;;;93600;
0005900536;ARMSTRONG BUILDING PRODUCTS S.A.;2017;149000;;8880;
0005600268;PEM;2017;;;145000;
0006502609;WILLIAM SAURIN;2017;322000;;2150;
0005201906;AQUITAINE LEGUMES SURGELES SAS;2017;;132000;78200;
0005500920;ALGAIA;2017;;573000;41400;
0057900513;GALLIANCE NUEIL (CANARD);2017;;;535000;
0007001409;CANELIA;2017;;;267000;
0010000532;ELIS BERRYLES- LES LAVANDIERES;2017;126000;;1190;
0022100060;SIS BONNE MERE;2017;;808000;2310;
0010001299;ORGAPHARM;2017;185000;;13700;
0006300283;CHARIER CM - CARRIERES ET MATERIAUX;2017;654000;;;
0006000336;PHOTONIS FRANCE SAS;2017;;;61200;
0006701060;BIO SPRINGER;2017;4480000;;14900;
0052902505;FRONERI FRANCE SAS (ex. ROLLAND SAS);2017;46000;13800;65400;
0006802476;VM BUILDING SOLUTIONS;2017;;525000;8160;
0005701701;CIMENTS CALCIA;2017;277000;;;
0007000728;AIR LIQUIDE FRANCE INDUSTRIE;2017;1090000;;9500;
0005801870;Hôpital Jacques Monod;2017;;;102000;
0007100088;Brasseries de Bourbon;2017;;;163000;
0006201051;MANOIR BOUZONVILLE;2017;;305000;37900;
0006102031;ARCELOR MITTAL WIRE FRANCE;2017;394000;;14900;
0005401874;KALHYGE 3 LONGVIC;2017;97300;;143;
0052903552;SOCIETE BEGANTON;2017;;;2210;1350000
0006201358;LIBERTY RAIL Hayange;2017;;;96700;
0005503427;Cité Marine;2017;;;204000;
0005204189;CEMEX GRANULATS SUD OUEST;2017;84500;;;
0005206314;COLAS FRANCE - Etablissement SARRAZY - Gravière de NAUJAC-SUR-MER;2017;;91000;;
0006103050;SINTERTECH;2017;;719000;6170;
