identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0007002953;DRAKA COMTEQ FRANCE;2011;;;147000;
0005201375;O-I France SAS;2011;91800;;;
0006303152;ARRIVE;2011;;;92500;
0005501975;GALLAIS VIANDES;2011;;;88300;
0005801516;LEGRAND NORMANDIE;2011;155000;;1010;
0007002729;BARDUSCH - TBN FontaineND;2011;109000;;;
0006201702;FERCO SAS;2011;;66000;;
0005401208;PRYSMIAN;2011;311000;;9490;
0006400367;VIRBAC 13;2011;26400;;65000;
0005702992;CRISTANOL;2011;1450000;;3520;
0010000712;Cartonnerie OUDIN;2011;;188000;;
0006106990;ONYX AUVERGNE RHONE ALPES;2011;13200;43100;298;
0005701128;PEUGEOT CITROEN MECANIQUE DE L'EST SNC;2011;365000;;;
0006202592;NESTLE WATERS SUPPLY EST Vittel;2011;250000;;5000;
0007201158;LIBERTY FOUNDRY POITOU;2011;;448000;12000;
0007000597;Valrotalys;2011;;;52700;
0005202598;FROMAGERIE DES CHAUMES JURANCON;2011;;;564000;
00       14630043;FRIAL;2011;;;123000;
0006301584;FIBERTEX NONWOVENS;2011;57100;;16200;
0006600812;O-I FRANCE SAS;2011;34000;;217000;
0075435775;Station du Grand Nancy située à MAXEVILLE;2011;221000;;24100;
0006802467;SOCIETE FROMAGERE DE RODEZ;2011;;222000;279000;
0005500903;VOLAILLES DE L'ODET;2011;;;81400;
0006400454;CENTRE HOSPITALIER DE MONTFAVET;2011;712000;;;
0006600514;CEA Marcoule;2011;1460000;2760000;;
0005504497;DIANA FOOD;2011;114000;;51000;
0005401351;SEB USINE DU BOURG;2011;;;56000;
0007001149;MARINE HARVEST BOULOGNE -(ex FJORD SEAFOOD);2011;;;65000;
0006301413;GALLIANCE ANCENIS;2011;;;122000;
0005100257;VERALLIA FRANCE (ex St Gobain Emballage);2011;100000;31800;6430;
0005501513;ABERA;2011;190000;;8020;
0022100044;CENTRALE DE JARRY-NORD;2011;;;99700;
0007002271;AUCHAN Noyelles godault;2011;;;51200;
0006103999;COATEX (USINE 1 LUMIERE);2011;93100;;16600;
0006700505;LES ATELIERS REUNIS REVETEMENT SAS;2011;1950000;;1100;
0006302263;Reitzel Briand;2011;149000;;3880;
00       61096001;FLECHARD SAS;2011;183000;;;
0006102857;FINORGA-NOVASEP;2011;1840000;;55100;
0005902583;FACEL;2011;;856000;9590;
0006400955;NAPHTACHIMIE;2011;;14700000;202000;287000000
0006201020;EUROSERUM;2011;;;155000;
0007001124;COCA-COLA PRODUCTION SAS;2011;;;1010000;
0005200531;MAJ ELIS;2011;120000;;11200;
0006102435;LAFARGE CIMENTS;2011;512000;;;
0007000884;BETAFENCE;2011;;56300;21000;
