identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0009000025;Base aérienne 126 Ventiseri Solenzara;15600005100300;RN 198 CS 10001    20223 GHISONACCIA CEDEX;20240;VENTISERI;HAUTE-CORSE;CORSE;41.908916;9.390976;4326;8422Z;Défense;;
0007001849;NIDAPLAST;97120447400060;Rue Paul Vaillant Couturier;59224;THIANT;NORD;HAUTS-DE-FRANCE;731762.000000;7023937.000000;2154;2223Z;Fabrication d'éléments en matières plastiques pour la construction;;
0006700514;BRUDER KELLER;67668034100010;ZI DU BRUEHL;67260;SARRE-UNION;BAS-RHIN;GRAND-EST;999187.000000;6878365.000000;2154;2550B;Découpage, emboutissage;;
0007002056;NORTENE TECHNOLOGIES SAS;35284609100010;149, Avenue de la rotonde;59160;LILLE;NORD;HAUTS-DE-FRANCE;3.001146;50.639672;4326;2229B;Fabrication de produits de consommation courante en matières plastiques;;
0010001408;TRISALID;85250529600016;651 rue de la Motte Pétrée;45770;SARAN;LOIRET;CENTRE;615126.000000;6762223.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;5.(b);Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
0006700585;PLASTIC OMNIUM AUTO INERGY FRANCE;51951245300076;2 rue des Imprimés;68120;PFASTATT;HAUT-RHIN;GRAND-EST;1021797.000000;6748466.000000;2154;2229A;Fabrication de pièces techniques à base de matières plastiques;;
0006207889;ECO-VERT;45135941800022;Lieu-dit Langweiler à Guénange;57310;GUENANGE;MOSELLE;GRAND-EST;932979.000000;6915513.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;;
0006103356;SETFORGE;51135339300016;41 avenue Berthelot;42152;L'HORME;LOIRE;AUVERGNE-RHONE-ALPES;821439.000000;6489229.000000;2154;2550A;Forge, estampage, matriçage ,  métallurgie des poudres;;
0007000578;DOUNOR;33478136600029;ZI -30-32, rue du Vertuquet;59960;NEUVILLE-EN-FERRAIN;NORD;HAUTS-DE-FRANCE;711822.000000;7072940.000000;2154;1395Z;Fabrication de non-tissés, sauf habillement;9.(a);Usines destinées au prétraitement (opérations de lavage, de blanchiment, de mercerisation) ou à la teinture de fibres ou de textiles d'une capacité de traitement de 10 tonnes par jour
0007202786;DEMAZOIN Laurence;65182017700012;La Maillerie, Route de Montbron;16600;TOUVRE;CHARENTE;NOUVELLE-AQUITAINE;485367.000000;6511008.000000;2154;2219Z;Fabrication d'autres articles en caoutchouc;;
0006202442;KYOCERA SENCO FRANCE;42889815900028;29 Rue de la Gare;88120;SAINT-AME;VOSGES;GRAND-EST;973339.000000;6775059.000000;2154;2599B;Fabrication d'autres articles métalliques;;
0006402249;RECUP RECUPERAUTO;42144037100027;ZI Les Négadoux      Quartier Prébois;83140;SIX-FOURS-LES-PLAGES;VAR;PROVENCE-ALPES-COTE-D'AZUR;935047.000000;6228935.000000;2154;3831Z;Démantèlement d'épaves;;
