Numouvep,Nomouvep,Numineco,Coola2ex,Coola2ey,Coola2ez,Codhyd,Libcodhyd,Numnat,Codeurme,Nommasea,Datmises,Datfer,Datautre,Datcnfac,Nomcom,Coddep,Libdep,Codmilsu,Libmilsu,Valcapst,Valcapconstructeur,Unicapst,Codpar,Maitre Ouvrage,Exploitant,Coola2ex Rjet,Coola2ey Rjet,Type Ouvrage,Cap Traitmt Reglmt,Debit Reference,Debit Moy Jour,Debit Horair Pointe,Code Hydro
1903,EGUISHEIM ,68078,1023645,6779979,,A1560200,LA LAUCH,26807801903,FRCR78,LAUCH 3,6/9/08,,7/28/06,,EGUISHEIM,68,HAUT-RHIN,A15-0200,La Lauch,1660,1080,kg/j DBO5,86,ETS ROBERT WEHRLEN,,1024367,6780590,Boues Activées - traitement Azote - traitement Phosphore,23500,11376,5050,631,
1949,ENSISHEIM ,68082,1024698,6761826,,A1330030,RIVIERE L'ILL,26808201949,FRCR19,ILL 4,9/29/09,,1/12/09,,ENSISHEIM,68,HAUT-RHIN,A---0030,L'Ill,1270,908,kg/j DBO5,86,LYCEE PROFESSIONNEL CHARLES STOESSEL,LYCEE PROFESSIONNEL CHARLES STOESSEL,1024528,6761783,Boues Activées - traitement Azote - traitement Phosphore,16500,9900,3100,387,
2417,GOLDBACH ,68106,1006815,6760372,,A1430750,RUISSEAU LE MITTELBACHRUNZ,26810602417,FRCR74,WISSBACH,3/1/12,,,,GOLDBACH-ALTENBACH,68,HAUT-RHIN,A1430750,Ruisseau le Mittelbachrunz,7,8,kg/j DBO5,86,SARL BULLES DE JEUX,SARL BULLES DE JEUX,1006847,6760365,Filtres plantés de Roseaux,,,23,2,
453,PULVERSHEIM ,68258,1022881,6758290,,A1460740,RUISSEAU LE VEIDRUNTZ,26825800453,FRCR69,THUR 4,6/1/76,6/9/13,8/9/76,,PULVERSHEIM,68,HAUT-RHIN,A1460740,Ruisseau le Veidruntz,189,,kg/j DBO5,86,LA POUPONNIERE,FERMATEC,,,Boues Activées,3150,,832,104,
419,BERNWILLER ,68006,1015449,6740607,,A1150670,ruisseau le Spechbach,26803100419,FRCR51,KREBSBACH (AFFL. LARGUE),11/1/86,,,,BERNWILLER,68,HAUT-RHIN,A1150670,Ruisseau le Krebsbach,30,30,kg/j DBO5,86,,,,,Lagunage Naturel,,,75,9,
2156,BALLERSDORF ,68017,1011533,6733430,,A1140350,RUISSEAU DE BALLERSDORF,26801702156,FRCR49,BALLERSDORF,4/30/11,,11/17/09,,BALLERSDORF,68,HAUT-RHIN,A1140350,Ruisseau de Ballersdorf,67,50,kg/j DBO5,86,,,1011545,6733471,Filtres plantés de Roseaux,833,,335,27.7,
2600,HINDLINGEN ,68137,1011110,6727786,,A1120200,LA LARGUE,26813702600,FRCR705,LARGUE 2,3/1/16,,10/9/14,,HINDLINGEN,68,HAUT-RHIN,A11-0200,La Largue,49,43,kg/j DBO5,86,,,1010956,6727754,Filtres plantés de Roseaux,717,422,234,17.5,
2601,LARGITZEN ,68176,1014158,6726141,,A1110410,RUISSEAU DE LARGITZEN,26817602601,FRCR703,RUISSEAU DE LARGITZEN,3/1/16,,10/9/14,,LARGITZEN,68,HAUT-RHIN,A1110410,Ruisseau de Largitzen,22,19,kg/j DBO5,86,,,1014158,6726049,Filtres plantés de Roseaux,317,180,90,7.4,
841,MANSPACH ,68200,1008076,6732586,,A1120200,RIVIERE LA LARGUE,26820000841,FRCR705,LARGUE 2,1/1/96,,,,MANSPACH,68,HAUT-RHIN,A11-0200,La Largue,36,,kg/j DBO5,86,,,,,Filtres plantés de Roseaux,,,150,0,
2209,MONTREUX-JEUNE ,68214,1002222,6730957,,,CANAL RHIN-RHONE,26821402209,,,11/1/10,,6/25/10,,MONTREUX-JEUNE,68,HAUT-RHIN,,,29,24,kg/j DBO5,86,,,1002171,6730981,Lagunage Naturel,400,395,145,18,
1946,WOLFERSDORF ,68378,1009006,6735736,,A1120200,RIVIERE LA LARGUE,26837801946,FRCR705,LARGUE 2,5/25/09,,2/16/06,,WOLFERSDORF,68,HAUT-RHIN,A11-0200,La Largue,,,kg/j DBO5,86,,,1009187,6735767,Boues Activées - traitement Azote - traitement Phosphore,5200,3224,,,
1204,BISCHWILLER ,67046,1058901,6861808,,A3320100,RIVIERE LA MODER,26704601204,FRCR155,MODER 4,9/1/99,,8/11/97,,BISCHWILLER,67,BAS-RHIN,A3--0100,La Moder,2106,2100,kg/j DBO5,86,,,1058968,6861849,Boues Activées - traitement Azote - traitement Phosphore,35000,,6170,771,
1211,DRUSENHEIM ,67106,1064272,6860303,,A3530200,RUISSEAU LE LANDGRABEN,26710601211,FRCR3,RHIN 3,8/30/99,,10/15/96,,DRUSENHEIM,67,BAS-RHIN,A35-0200,Le Landgraben,1039.5,978,kg/j DBO5,86,LINSIG CAROLE,LINSIG CAROLE,1064887,6861595,Boues Activées - traitement Azote - traitement Phosphore,16600,12700,5190,649,
1347,ERNOLSHEIM-SUR-BRUCHE ,67128,1037608,6838040,,A2850110,RIVIERE LA BRUCHE,26712801347,FRCR91,BRUCHE 4,1/1/02,,3/29/99,,ERNOLSHEIM-BRUCHE,67,BAS-RHIN,A2--0110,La Bruche,945,1080,kg/j DBO5,86,ROTH ET AUBE TRANSPORTS,LINSIG CAROLE,1037767,6838187,Boues Activées - traitement Azote - traitement Phosphore,18000,,4512,564,
2379,ERSTEIN ,67130,1045600,6825115,,A2560212,RUISSEAU LA SCHEER,26713002379,FRCR22,ILL 7,7/28/14,,12/20/12,,ERSTEIN,67,BAS-RHIN,A25-0212,La Scheer,2250,1815,kg/j DBO5,86,LINSIG CAROLE,LINSIG CAROLE,1045448,6825322,Boues Activées - traitement Azote - traitement Phosphore,33000,16137,8787,615,
379,RHINAU ,67397,1048890,6813167,,A051030D,RUISSEAU LE BRUNNWASSER,26739700379,,,1/1/74,12/31/03,,,RHINAU,67,BAS-RHIN,A0510300,Ruisseau le Brunnwasser,348,,kg/j DBO5,86,SOCIETE BOIS COMPOSES,,,,Boues Activées,,,1168,146,A0510300
396,STATTMATTEN ,67476,1067346,6867087,,A3540100,RIVIERE LA MODER,26747600396,FRCR156,MODER 5,1/1/87,,,,STATTMATTEN,67,BAS-RHIN,A3--0100,La Moder,210,210,kg/j DBO5,86,LINSIG CAROLE,LINSIG CAROLE,1067405,6867127,Boues Activées - traitement Azote,,,589,74,
408,WEYERSHEIM ,67529,1055199,6856350,,A3490200,RIVIERE LA ZORN,26752900408,FRCR173,KESSELGRABEN,10/1/88,9/2/14,,,WEYERSHEIM,67,BAS-RHIN,A34-0200,La Zorn,612,600,kg/j DBO5,86,SCEA FERME AUX LACS,,1055163,6856201,Boues Activées - traitement Azote - traitement Phosphore,,,2400,300,
1697,BIESHEIM ,68036,1039754,6781012,,A0300102,CANAL DE NEUF-BRISACH,26803601697,FRCR9,CANAL DE NEUF-BRISACH,10/1/05,,10/28/04,,BIESHEIM,68,HAUT-RHIN,A0--0102,Canal de Huningue,449.58,540,kg/j DBO5,86,,,1039704,6781007,Boues Activées - traitement Azote - traitement Phosphore,9000,6048,1610,201,
424,COLMAR ,68066,1026306,6787835,,A1610030,RIVIERE L'ILL,26806600424,FRCR20,ILL 5,7/1/78,,8/22/94,4/1/97,COLMAR,68,HAUT-RHIN,A---0030,L'Ill,11898,18000,kg/j DBO5,86,LYCEE PROFESSIONNEL DARCHE,,1026747,6788372,Boues Activées - traitement Azote - traitement Phosphore,250000,185000,39375,4006,
428,ENSISHEIM ,68082,1024705,6761817,,A133003A,RIVIERE L'ILL,26808200428,FRCR19,ILL 4,5/1/89,9/28/09,,,ENSISHEIM,68,HAUT-RHIN,A---0030,L'Ill,489.96,480,kg/j DBO5,86,LYCEE PROFESSIONNEL CHARLES STOESSEL,,,,Boues Activées - traitement Azote,,,3392,424,A1330030
1949,ENSISHEIM ,68082,1024698,6761826,,A1330030,RIVIERE L'ILL,26808201949,FRCR19,ILL 4,9/29/09,,1/12/09,,ENSISHEIM,68,HAUT-RHIN,A---0030,L'Ill,1270,908,kg/j DBO5,86,LYCEE PROFESSIONNEL CHARLES STOESSEL,LYCEE PROFESSIONNEL CHARLES STOESSEL,1024528,6761783,Boues Activées - traitement Azote - traitement Phosphore,16500,9900,3100,387,
430,GUEMAR ,68113,1026758,6797124,,A2210400,RUISSEAU L'HORGIESSEN,26811300430,FRCR87,FECHT 4,6/1/91,,,,GUEMAR,68,HAUT-RHIN,A2210400,Ruisseau l'Horgiessen,72,,kg/j DBO5,86,CTRE COM ACTION SOCIALE D AUBOUE,CTRE COM ACTION SOCIALE D AUBOUE,1028627,6797049,Boues Activées,,,560,70,
434,HEITEREN ,68130,1038868,6773390,,,INFILTRATION,26813000434,FRCR13,CANAL D'IRRIGATION DE LA HARDT,12/1/75,12/17/12,,,HEITEREN,68,HAUT-RHIN,,,96,,kg/j DBO5,86,OGEC ETABL ENSEIGN SECONDAIRE ASSOMPTION,OGEC ETABL ENSEIGN SECONDAIRE ASSOMPTION,,,Boues Activées,,,248,31,
2425,MICHELBACH-LE-HAUT ,68208,1034449,6728520,,A0240300,LE WILLERBACH,26820802425,FRCR28,ALTE-BACH,4/1/14,,4/20/12,,MICHELBACH-LE-HAUT,68,HAUT-RHIN,A0240300,Ruisseau Alte-Bach,65,30,kg/j DBO5,86,,,1034455,6728663,Filtres plantés de Roseaux,500,864,216,18,
450,OSTHEIM ,68252,1025064,6793797,,A2140100,RIVIERE LA FECHT,26825200450,FRCR87,FECHT 4,1/1/65,,,,OSTHEIM,68,HAUT-RHIN,A2--0100,La Fecht,105,,kg/j DBO5,86,LA VIE FAMILIALE VOSGIENNE,LA VIE FAMILIALE VOSGIENNE,1025064,6793798,Boues Activées,,,240,30,
454,RIBEAUVILLE ,68269,1022331,6796377,,A2150300,RUISSEAU LE STRENGBACH,26826900454,FRCR104,STRENGBACH,9/1/86,,10/22/03,,RIBEAUVILLE,68,HAUT-RHIN,A2150300,Ruisseau le Strengbach,678,,kg/j DBO5,86,LINSIG CAROLE,LINSIG CAROLE,1022542,6796280,Boues Activées - traitement Azote,11333,3009,1700,570,A2150300
445,MASEVAUX ,68201,999688,6748438,,A1220200,RIVIERE LA DOLLER,26820100445,FRCR54,DOLLER 2,1/1/76,10/18/11,3/8/79,,MASEVAUX-NIEDERBRUCK,68,HAUT-RHIN,A12-0200,La Doller,192,192,kg/j DBO5,86,,,,,Boues Activées,,,592,74,
1892,ALLONDRELLE-LA-MALMAISON ,54011,886207,6936783,,B4210300,RUISSEAU LE DORLON,25401101892,FRB1R548,DORLON,4/16/08,,,,ALLONDRELLE-LA-MALMAISON,54,MEURTHE-ET-MOSELLE,B4210300,Ruisseau le Dorlon,43.8,36,kg/j DBO5,86,,,886228,6936764,Bassin d'Infiltration,,,165,20.7,
2158,ANDERNY VILLAGE ,54015,909707,6918416,,A8310300,RUISSEAU DE LA VALLEE,25401502158,FRCR393,WOIGOT 1,5/1/11,,11/18/10,,ANDERNY,54,MEURTHE-ET-MOSELLE,A8310300,Ruisseau de la Vallee,18,14,kg/j DBO5,86,COMMUNE DE MORIONVILLIERS,COMMUNE DE MORIONVILLIERS,909712,6914428,Filtres plantés de Roseaux,280,160,103,7.7,
2271,BREHAIN-LA-VILLE ,54096,908311,6929994,,,INFILTRATION,25409602271,FRB1R701,CRUSNES 1,6/1/13,,11/18/10,,BREHAIN LA VILLE,54,MEURTHE-ET-MOSELLE,,,21,20,kg/j DBO5,86,COMMUNE DE VRIGNE-AUX-BOIS,COMMUNE DE VRIGNE-AUX-BOIS,908845,6929727,Filtres plantés de Roseaux,330,216,69,5.8,
68,LEXY ,54314,897726,6936125,,B4020100,RIVIERE LA CHIERS,25431400068,FRB1R541,CHIERS 1,1/1/65,8/20/08,,,LEXY,54,MEURTHE-ET-MOSELLE,B4--0100,La Chiers,102,,kg/j DBO5,86,COMMUNE DE VILLACOURT,SABIR,,,Lit Bactérien,,,146,18,
2331,SAINT-MARCEL ,54478,915112,6895503,,A8200440,RUISSEAU DE BRUVILLE,25447802331,FRCR388,RUISSEAU DU FOND DE LA CUVE 2,7/17/13,,7/27/11,,SAINT-MARCEL,54,MEURTHE-ET-MOSELLE,A8200440,Ruisseau de Bruville,9,9,kg/j DBO5,86,COMMUNE DE HUNTING,COMMUNE DE HUNTING,915142,6895359,Filtres plantés de Roseaux,150,67,30,2.5,
2334,VILLE-SUR-YRON ,54581,909372,6895490,,A8120200,L'YRON,25458102334,FRCR382,YRON,10/30/12,,11/18/11,,VILLE-SUR-YRON,54,MEURTHE-ET-MOSELLE,A81-0200,L'Yron,21,21,kg/j DBO5,86,COMMUNE DE VALLERANGE,COMMUNE DE VALLERANGE,909290,6895573,Filtres plantés de Roseaux,438,78,70,5.8,
99,ETAIN ,55181,891897,6904138,,A8020100,RIVIERE L'ORNE,25518100099,FRCR380,ORNE 1,1/1/89,,10/3/03,,ETAIN,55,MEUSE,A8--0100,L'Orne,300,300,kg/j DBO5,86,,LAMI DOMISI LADORE,891834,6904110,Lit Bactérien,5000,1150,704,88,
101,BONZEE-EN-WOEVRE_CAMPING ,55198,891086,6891499,,A8130210,RIVIERE LE LONGEAU,25519800101,FRCR383,LONGEAU (AFFL. YRON),1/1/85,,10/16/06,,FRESNES-EN-WOEVRE,55,MEUSE,A81-0210,Le Longeau,24,18,kg/j DBO5,86,MEVLANA,MEVLANA,,,Lagunage Naturel,300,,60,10,
1977,GOURAINCOURT ,55216,893813,6914011,,B4310590,Fossé du Moulin,25521601977,FRB1R550,OTHAIN 1,8/1/09,,,,GOURAINCOURT,55,MEUSE,B4310590,Ruisseau du Moulin (S),3,3,kg/j DBO5,86,,,893883,6914010,Lagunage Naturel,,,14,1.8,
2433,GRIMAUCOURT-EN-WOEVRE ,55219,886653,6900327,,A8030310,RUISSEAU D'EIX,25521902433,FRCR380,ORNE 1,8/1/14,,,,GRIMAUCOURT-EN-WOEVRE,55,MEUSE,A8030310,Ruisseau d'Eix,7,7,kg/j DBO5,86,COMMUNE DE RAUWILLER,COMMUNE DE RAUWILLER,886686,6900341,Filtres plantés de Roseaux,,,25,2.1,
2613,HARVILLE ,55232,899185,6892450,,A8150400,RUISSEAU DU PONT,25523202613,FRCR383,LONGEAU (AFFL. YRON),2/1/17,,,,HARVILLE,55,MEUSE,A8150400,Ruisseau du Pont,6,5,kg/j DBO5,86,COMMUNE DE SAASENHEIM,COMMUNE DE SAASENHEIM,899087,6892596,Filtres plantés de Roseaux,,,22,1.8,
1339,HETTANGE-GRANDE ,57323,929397,6926137,,A8640300,RUISSEAU LA KIESEL,25732301339,FRCR402,KIESEL 1,11/1/01,,2/1/00,,HETTANGE-GRANDE,57,MOSELLE,A8640300,Ruisseau la Kiesel,564,582,kg/j DBO5,86,SARL CLAUDE BONTEMPS,SARL CLAUDE BONTEMPS,930012,6926314,Boues Activées - traitement Azote - traitement Phosphore,9670,2020,2700,338,
1599,MOYEUVRE-GRANDE ,57491,920684,6908407,,A8400100,RIVIERE L'ORNE,25749101599,FRCR381,ORNE 2,10/15/05,,5/4/04,,MOYEUVRE-GRANDE,57,MOSELLE,A8--0100,L'Orne,2529.9,2040,kg/j DBO5,86,,,920704,6908462,Boues Activées - traitement Azote - traitement Phosphore,51000,,6000,750,
942,OTTANGE ,57529,925710,6940359,,,,25752900942,,,3/13/98,,,,OTTANGE,57,MOSELLE,,,,,kg/j DBO5,86,SI D'AMENAGEMENT DE LA NIED ALLEMANDE,SI D'AMENAGEMENT DE LA NIED ALLEMANDE,,,Boues Activées,,,0,0,
1458,THIONVILLE ,57672,931273,6922957,,A8610060,LA MOSELLE,25767201458,FRCR213,MOSELLE 6,7/19/03,,1/2/01,,THIONVILLE,57,MOSELLE,A---0060,La Moselle,4320,4200,kg/j DBO5,86,SCI ROMAIRE,COMMUNE DE BAIRON ET SES ENVIRONS,931154,6922969,Boues Activées - traitement Azote - traitement Phosphore,80000,43000,22600,2200,
323,HAGUENAU ,67180,1053985,6866895,,A330010A,RIVIERE LA MODER,26718000323,,,1/1/61,12/31/03,,,HAGUENAU,67,BAS-RHIN,A3--0100,La Moder,2814,2814,kg/j DBO5,86,SCEA BURCKBUCHLER,SCEA BURCKBUCHLER,,,Boues Activées,,,9456,788,A3300100
1467,HAGUENAU ,67180,1054016,6866986,,A3300100,RIVIERE LA MODER,26718001467,FRCR154,MODER 3,1/1/04,,10/13/00,,HAGUENAU,67,BAS-RHIN,A3--0100,La Moder,3927,3450,kg/j DBO5,86,,,1054183,6866944,Boues Activées - traitement Azote - traitement Phosphore,60000,14000,14000,1800,
802,LICHTENBERG ,67265,1028622,6879641,,A3130200,RUISSEAU LE ROTHBACH,26726500802,FRCR161,ROTHBACH 1,1/1/95,,11/21/94,,LICHTENBERG,67,BAS-RHIN,A31-0200,Le Rothbach,190.08,210,kg/j DBO5,86,SELARL DOCTEUR LILIANE HERMANN,LINSIG CAROLE,1028768,6879818,Boues Activées - traitement Azote - traitement Phosphore,3500,,1165,146,
348,INGWILLER ,67289,1030608,6871292,,A3120100,RIVIERE LA MODER,26728900348,FRCR153,MODER 2,1/1/77,5/25/09,,,MENCHHOFFEN,67,BAS-RHIN,A3--0100,La Moder,690,690,kg/j DBO5,86,S.C.E.A. DE L HAIEPIS,,1030963,6871152,Boues Activées,,,2136,267,
371,OHLUNGEN ,67359,1045500,6866950,,A330010A,RIVIERE LA MODER,26735900371,FRCR170,LOMDGRABEN,1/1/79,2/1/02,,,OHLUNGEN,67,BAS-RHIN,A3--0100,La Moder,228,228,kg/j DBO5,86,EARL DE LA RENARDIERE,EARL DES BARRYS,,,Boues Activées,,,730,91,A3300100
382,ROTHBACH ,67415,1031875,6876557,,A3140200,RUISSEAU LE ROTHBACH,26741500382,FRCR162,ROTHBACH 2,1/1/78,,5/13/14,10/1/14,ROTHBACH,67,BAS-RHIN,A31-0200,Le Rothbach,105,105,kg/j DBO5,86,EARL LE WEIBACH,,1031811,6876542,Boues Activées - traitement Azote - traitement Phosphore,1300,860,460,58,
1348,SCHWEIGHOUSE-SUR-MODER ,67458,1048862,6868237,,A3300100,RIVIERE LA MODER,26745801348,FRCR154,MODER 3,2/1/02,,11/23/99,,SCHWEIGHOUSE-SUR-MODER,67,BAS-RHIN,A3--0100,La Moder,1039.5,1200,kg/j DBO5,86,LINSIG CAROLE,LINSIG CAROLE,1048882,6868313,Boues Activées - traitement Azote - traitement Phosphore,20000,,5024,628,
373,LA PETITE-PIERRE ,67371,1017438,6871351,,A3110760,RUISSEAU LE MITTELBACH,26737100373,FRCR152,MODER 1,1/1/79,,,,PETITE-PIERRE (LA),67,BAS-RHIN,A3110760,Ruisseau le Mittelbach,102,102,kg/j DBO5,86,LINSIG CAROLE,LINSIG CAROLE,1017486,6871338,Boues Activées,,,384,48,
2596,DAMBLAIN ,88123,897150,6780755,,B0110350,RUISSEAU DE FOLLOT,28812302596,FRB1R470,MEUSE 1,11/10/16,,6/24/13,,DAMBLAIN,88,VOSGES,B0110350,Ruisseau de Follot,20,19,kg/j DBO5,86,ASS AIDE DOMICILE INSUF RESPIRAT ALSACE,ASS AIDE DOMICILE INSUF RESPIRAT ALSACE,897174,6780709,Filtres plantés de Roseaux,320,77,38,8,
2513,DOMJULIEN_GIROVILLERS ,88146,923555,6799470,,A5270720,RUISSEAU DU VAL D'AROL,28814602513,FRCR259,VAL D'AROL,5/1/15,,3/6/13,,DOMJULIEN,88,VOSGES,A5270720,Ruisseau du Val d'Arol,2,2,kg/j DBO5,86,INSTITUT UNIVERSITAIRE MEDECINE TRAVAIL,INSTITUT UNIVERSITAIRE MEDECINE TRAVAIL,923621,6799498,Autres,40,8,29,3.6,
1839,LAMARCHE ,88258,906681,6778462,,B1010300,RUISSEAU LE PETIT MOUZON,28825801839,FRB1R485,MOUZON 1,1/1/78,,,,LAMARCHE,88,VOSGES,B1010300,Ruisseau le Petit Mouzon,81,81,kg/j DBO5,86,PINOT GUY,PINOT GUY,906681,6778462,Boues Activées,,,288,1,
3363,SAINT-MENGE ,88427,918750,6803250,,B1240210,RUISSEAU LA VRAINE,28842703363,FRB1R495,VRAINE,7/2/18,,,,SAINT-MENGE,88,VOSGES,B12-0210,La Vraine,,7,kg/j DBO5,86,ADAM MICHEL,ADAM MICHEL,918690,6803180,Filtres plantés de Roseaux,,,16.5,,
2487,VINCEY ,88513,945286,6811202,,A4710940,RUISSEAU DE VINCEY,28851302487,FRCR211,MOSELLE 4,3/9/15,,7/8/13,,VINCEY,88,VOSGES,A4710940,Ruisseau de Vincey,175,150,kg/j DBO5,86,,LE DRAGON DE L EST,944836,6811814,Boues Activées,2500,2340,640,53,
164,FOLSCHVILLER ,57224,969618,6891785,,A981020A,RIVIERE LA NIED ALLEMANDE,25722400164,FRCR459,NIED ALLEMANDE 1,1/1/83,9/30/05,,9/1/91,FOLSCHVILLER,57,MOSELLE,A98-0200,La Nied Allemande,420,,kg/j DBO5,86,EGBC,EGBC,970264,6891044,Boues Activées,,,1453,182,A9810200
3446,MARANGE-ZONDRANGE ,57444,957439,6895247,,A9850440,RUISSEAU DE MARANGE,25744403446,FRCR460,NIED ALLEMANDE 2,2/1/19,,,,MARANGE-ZONDRANGE,57,MOSELLE,A9850440,Ruisseau de Marange,,27,kg/j DBO5,86,SARL SELESTAT DEPANNAGE,SARL SELESTAT DEPANNAGE,957408,6895030,Filtres plantés de Roseaux,,,,,
1481,HAUTE-VIGNEULLES ,57714,958537,6892418,,A9850200,LA NIED ALLEMANDE,25771401481,FRCR460,NIED ALLEMANDE 2,9/15/03,,5/4/02,,HAUTE-VIGNEULLES,57,MOSELLE,A98-0200,La Nied Allemande,300,300,kg/j DBO5,86,SARL SELESTAT DEPANNAGE,SARL SELESTAT DEPANNAGE,957926,6891556,Boues Activées - traitement Azote - traitement Phosphore,5000,1200,1632,150,
1371,ESSEY-MAIZERAIS ,54182,906153,6872474,,A7310200,RUISSEAU LE RUPT DE MAD,25418201371,FRCR344,RUPT DE MAD 2,10/1/02,,6/28/01,,ESSEY-ET-MAIZERAIS,54,MEURTHE-ET-MOSELLE,A73-0200,Le Rupt de Mad,28.2,,kg/j DBO5,86,COMMUNE DE FRANCHEVILLE,COMMUNE DE FRANCHEVILLE,,,Bassin d'Infiltration,500,225,75,9.4,
2624,JAULNY ,54275,911060,6878420,,A7340200,RUISSEAU LE RUPT DE MAD,25427502624,FRCR345,RUPT DE MAD 3,8/28/17,,4/8/16,,JAULNY,54,MEURTHE-ET-MOSELLE,A73-0200,Le Rupt de Mad,22,19,kg/j DBO5,86,COMMUNE DE ROMAIN,COMMUNE DE ROMAIN,911135,6878410,Filtres plantés de Roseaux,320,150,75,4,
2324,REMBERCOURT-SUR-MAD ,54453,912700,6880237,,A7340200,RUISSEAU LE RUPT DE MAD,25445302324,FRCR345,RUPT DE MAD 3,7/1/13,,5/21/12,,REMBERCOURT-SUR-MAD,54,MEURTHE-ET-MOSELLE,A73-0200,Le Rupt de Mad,9,8,kg/j DBO5,86,COMMUNE DE GUINZELING,COMMUNE DE GUINZELING,912818,6880338,Filtres plantés de Roseaux,138,20,32,2.7,
1580,THIAUCOURT ,54518,909862,6876739,,A7340200,RUISSEAU LE RUPT DE MAD,25451801580,FRCR345,RUPT DE MAD 3,7/6/04,,,,THIAUCOURT-REGNIEVILLE,54,MEURTHE-ET-MOSELLE,A73-0200,Le Rupt de Mad,78,78,kg/j DBO5,86,COMMUNE DE MANOM,COMMUNE DE MANOM,909877,6876739,Filtres plantés de Roseaux,,,610,26,
2091,VANDIERES ,54546,922677,6875978,,A7200082,LA MOSELLE CANALISEE,25454602091,FRCR213,MOSELLE 6,4/1/10,,4/1/10,,VANDIERES,54,MEURTHE-ET-MOSELLE,A---0082,"La Moselle canalisee (troncon Sexey aux Forges , Neuves-Maisons",104,72,kg/j DBO5,86,,CS ISO +,922722,6875942,Filtres plantés de Roseaux,1200,540,360,30,
2409,SEPTSARGES ,55484,857791,6910996,,B3050560,RUISSEAU DE MENOME,25548402409,FRB1R530,RUISSEAU DE GUEROVILLE,7/1/11,,3/1/10,,SEPTSARGES,55,MEUSE,B3050560,Ruisseau de Menome,3,2,kg/j DBO5,86,COMMUNE DE NIEDERMORSCHWIHR,COMMUNE DE NIEDERMORSCHWIHR,857829,6911034,Filtres plantés de Roseaux,50,,10.5,1.3,
2056,VIGNY ,57715,937157,6878118,,A7840510,RUISSEAU DE VIGNY,25771502056,FRCR366,RUISSEAU DE MOINCE,5/1/11,,,,VIGNY,57,MOSELLE,A7840510,Ruisseau de Vigny,33,24,kg/j DBO5,86,,,885770,2447292,Filtres plantés de Roseaux,,,110,9.2,
1909,KIRSCHNAUMEN ,57365,948945,6927624,,A887030X,RUISSEAU DU LACH,25736501909,FRCR408,RUISSEAU DE MONTENACH,5/1/09,,7/18/08,,KIRSCHNAUMEN,57,MOSELLE,,,26,15,kg/j DBO5,86,SIE D'HABLAINVILLE,SIE D'HABLAINVILLE,948946,6927717,Filtres plantés de Roseaux,250,75,87,7,
3460,SORMONNE ,8429,812065,6968058,,B5510200,LA SORMONNE,20842903460,FRB1R718,AUDRY,7/1/19,,,,SORMONNE,8,ARDENNES,B55-0200,La Sormonne,650,,kg/j DBO5,86,COMMUNE DE POMMERIEUX,COMMUNE DE POMMERIEUX,812065,6968058,Filtres plantés de Roseaux,,,65,12,
2438,HOUECOURT ,88241,913649,6803564,,B1230200,LE VAIR,28824102438,FRB1R493,VAIR 2,3/1/14,,7/25/11,,HOUECOURT,88,VOSGES,B12-0200,Le Vair,50,45,kg/j DBO5,86,,,913614,6803676,Filtres plantés de Roseaux,750,220,14,166,
10,ESCOMBRES-ET-LE-CHESNOIS ,8153,852675,6956996,,B4660750,Ruisseau d'escombres,20815300010,FRB1R723,CHIERS 3,1/1/88,,,,ESCOMBRES-ET-LE-CHESNOIS,8,ARDENNES,B4660750,Ruisseau d'Escombres,12.6,15,kg/j DBO5,86,COMMUNE DE DOMMARTIN VALLOIS,COMMUNE DE DOMMARTIN VALLOIS,,,Lagunage Naturel,,,32,4,
2281,CHARNOIS ,8106,831004,7002750,,B7200000,étang communal le Vivier avant la Meuse,20810602281,FRB1R477,MEUSE 8,8/1/12,,,,CHARNOIS,8,ARDENNES,B---0000,La Meuse,4,4,kg/j DBO5,86,COMMUNE DE CHIEULLES,COMMUNE DE CHIEULLES,830985,7002754,Filtres plantés de Roseaux,,,14,1.1,
1960,LAGARDE ,57375,971827,6849703,,A6810200,LE SANON,25737501960,FRCR320,SANON 1,7/16/10,,11/30/09,,LAGARDE,57,MOSELLE,A68-0200,Le Sânon,15,14,kg/j DBO5,86,SASS AGGLOMERATION DE PONT A MOUSSON,SASS AGGLOMERATION DE PONT A MOUSSON,971989,6849675,Lagunage Naturel,245,180,105,6.9,
2159,LES HAUTES-RIVIERES ,8218,831857,6977321,,B6100100,RIVIERE LA SEMOY,20821802159,FRB1R585,SEMOY,1/1/11,,7/1/10,,HAUTES-RIVIERES (LES),8,ARDENNES,B6--0100,La Semoy,210,132,kg/j DBO5,86,COMMUNE DE GROSROUVRES,COMMUNE DE GROSROUVRES,831734,6977298,Boues Activées - traitement Azote - traitement Phosphore,1900,1320,625,78,
299,BUHL ,67069,1067151,6879513,,A3720200,RUISSEAU LE SELTZBACH,26706900299,FRCR205,SELTZBACH,7/1/80,,3/6/18,2/11/20,BUHL,67,BAS-RHIN,A37-0200,Le Seltzbach,501,501,kg/j DBO5,86,HAIRCULES COIFFURE,HAIRCULES COIFFURE,1067147,6879433,Boues Activées,6958,4680,2438,195,
