Numouvep,Nomouvep,Numineco,Coola2ex,Coola2ey,Coola2ez,Codhyd,Libcodhyd,Numnat,Codeurme,Nommasea,Datmises,Datfer,Datautre,Datcnfac,Nomcom,Coddep,Libdep,Codmilsu,Libmilsu,Valcapst,Valcapconstructeur,Unicapst,Codpar,Maitre Ouvrage,Exploitant,Coola2ex Rjet,Coola2ey Rjet,Type Ouvrage,Cap Traitmt Reglmt,Debit Reference,Debit Moy Jour,Debit Horair Pointe,Code Hydro
1096,PHALSBOURG SCHAFFENECK ,57540,1011986,6859567,,A341032A,RUISSEAU DE BRUNNENTHAL,25754001096,FRCR175,ZORN 2,9/24/98,9/30/02,,,PHALSBOURG,57,MOSELLE,A3410320,Ruisseau de Brunnenthal,6,,kg/j DBO5,86,SYND DES COMMUNES DU PAYS DE BITCHE,,,,Décanteur,,,15,2,A3410320
427,EGUISHEIM ,68078,1021471,6780282,,A160043A,RUISSEAU LE MALSBACH,26807800427,FRCR78,LAUCH 3,6/1/76,6/9/08,,,EGUISHEIM,68,HAUT-RHIN,A1600430,Ruisseau le Malsbach,486,,kg/j DBO5,86,COLLEGE DEPARTEMENTAL LOUIS BRUNTZ,GUENIFA ADEM,,,Boues Activées,,,1408,176,A1600430
435,HERRLISHEIM-PRES-COLMAR ,68134,1023266,6777873,,A1560200,RIVIERE LA LAUCH,26813400435,FRCR78,LAUCH 3,3/1/90,,5/15/90,,HERRLISHEIM-PRES-COLMAR,68,HAUT-RHIN,A15-0200,La Lauch,147,132,kg/j DBO5,86,COEN BENJAMIN,ELEC SYS,1023267,6777875,Boues Activées,2450,,390,49,
455,ROUFFACH ,68287,1021537,6771326,,A156020A,RIVIERE LA LAUCH,26828700455,FRCR78,LAUCH 3,7/1/72,7/23/08,,,ROUFFACH,68,HAUT-RHIN,A15-0200,La Lauch,228,,kg/j DBO5,86,BIO EST DEVELOPPEMENT INSERM U284,BIO EST DEVELOPPEMENT INSERM U284,,,Boues Activées,,,784,98,A1560200
840,EGLINGEN ALLMENDGRABEN ,68077,1014383,6737179,,A1150440,RUISSEAU L'ALLMENDGRABEN,26807700840,FRCR6,CANAL DU RHONE AU RHIN 1,1/1/96,,,,EGLINGEN,68,HAUT-RHIN,A1150440,Ruisseau l'Allmendgraben,8.1,,kg/j DBO5,86,,,1014395,6737192,Filtres plantés de Roseaux,,,30,5,
2256,LEVONCOURT ,68181,1016285,6714109,,A1100200,RIVIERE LA LARGUE,26818102256,FRCR704,LARGUE 1,6/1/12,,3/29/11,,LEVONCOURT,68,HAUT-RHIN,A11-0200,La Largue,15,16,kg/j DBO5,86,,,1016207,6714148,Filtres plantés de Roseaux,270,128,52,4.3,
2498,SEPPOIS-LE-BAS ,68305,1013193,6724314,,A1110200,RIVIERE LA LARGUE,26830502498,FRCR704,LARGUE 1,9/1/15,,9/25/12,,SEPPOIS-LE-BAS,68,HAUT-RHIN,A11-0200,La Largue,146,125,kg/j DBO5,86,,,1013212,6724384,Boues Activées - traitement Azote - traitement Phosphore,,1375,620,77,
292,ACHENHEIM ,67001,1041917,6841046,,A286069G,CANAL DE LA BRUCHE (DECLASSE),26700100292,FRCR91,BRUCHE 4,1/1/79,6/25/07,,,ACHENHEIM,67,BAS-RHIN,A2860692,Canal de la Bruche (declasse),348,,kg/j DBO5,86,OZDEM PLUS MATERIAUX,,,,Boues Activées,,,1286,161,A2860692
314,GAMBSHEIM ,67151,1060016,6854257,,A3520690,RUISSEAU LE MUHLRHEIN,26715100314,,,4/1/72,12/31/00,,,GAMBSHEIM,67,BAS-RHIN,A3520690,Ruisseau le Muhlrhein,228,228,kg/j DBO5,86,SCEA HAMM,DU HAUT DARMONT,,,Boues Activées,,,784,98,A3520690
317,GEUDERTHEIM ,67156,1050097,6856785,,A3490200,RIVIERE LA ZORN,26715600317,FRCR179,ZORN 6,1/1/78,10/15/14,,,GEUDERTHEIM,67,BAS-RHIN,A34-0200,La Zorn,147,147,kg/j DBO5,86,SCEA FERME AUX LACS,,1050071,6856666,Boues Activées,,,640,80,
322,MARIENTHAL ,67180,1054275,6863796,,A3310530,RUISSEAU LE ROTHBACH,26718000322,FRCR155,MODER 4,1/1/76,,2/1/11,12/1/13,HAGUENAU,67,BAS-RHIN,A3310530,Ruisseau le Rothbach,261,261,kg/j DBO5,86,,,1054296,6863620,Boues Activées - traitement Azote - traitement Phosphore,4350,1280,1280,160,
418,BERGHEIM ,68028,1025125,6799233,,A2210460,RUISSEAU LE BERGENBACH,26802800418,FRCR107,HORGIESSEN,2/1/73,,5/5/94,1/1/95,BERGHEIM,68,HAUT-RHIN,A2210460,Ruisseau le Bergenbach,330,1080,kg/j DBO5,86,,,,,Boues Activées - traitement Azote - traitement Phosphore,5367,1200,1200,125,
1928,CERNAY ,68063,1013853,6753456,,A1450200,RIVIERE LA THUR,26806301928,FRCR69,THUR 4,11/14/08,,7/28/06,,CERNAY,68,HAUT-RHIN,A14-0200,La Thur,2754,3805,kg/j DBO5,86,,,1014271,6753502,Boues Activées - traitement Azote - traitement Phosphore,52500,25300,6720,840,
425,DESSENHEIM ,68069,1034793,6774209,,A2230202,INFILTRATION,26806900425,FRCR15,CANAL VAUBAN,2/1/88,12/24/10,,,DESSENHEIM,68,HAUT-RHIN,A22-0202,Canal Vauban (Erreur BD-Carthage),72,72,kg/j DBO5,86,OGEC ETABL ENSEIGN SECONDAIRE ASSOMPTION,OGEC ETABL ENSEIGN SECONDAIRE ASSOMPTION,,,Boues Activées,,,180,22,
446,MERXHEIM ,68203,1020994,6765927,,A1520200,RIVIERE LA LAUCH,26820300446,FRCR78,LAUCH 3,5/1/75,11/12/14,,,MERXHEIM,68,HAUT-RHIN,A15-0200,La Lauch,78,,kg/j DBO5,86,SOS TRANSPORT ALSACE,SOS TRANSPORT ALSACE,,,Boues Activées,,,392,49,
1325,MEYENHEIM ,68205,1025808,6766640,,A1470030,RIVIERE L'ILL,26820501325,FRCR19,ILL 4,10/1/00,,3/31/99,,MEYENHEIM,68,HAUT-RHIN,A---0030,L'Ill,334.8,312,kg/j DBO5,86,DEMUSSY FLORIAN,,1025814,6766644,Boues Activées - traitement Azote,5200,,1536,192,
451,PETIT-LANDAU ,68254,1039210,6746220,,A0300012,GRAND CANAL D'ALSACE,26825400451,FRCR5,GRAND CANAL D'ALSACE - BIEF DE KEMBS A NEUF-BRISACH,1/1/90,,,3/14/11,PETIT-LANDAU,68,HAUT-RHIN,A---0012,Canal d'Alsace (Grand),46.8,46,kg/j DBO5,86,LA POUPONNIERE,,1039891,6745870,Boues Activées,,,125,18,
455,ROUFFACH ,68287,1021537,6771326,,A156020A,RIVIERE LA LAUCH,26828700455,FRCR78,LAUCH 3,7/1/72,7/23/08,,,ROUFFACH,68,HAUT-RHIN,A15-0200,La Lauch,228,,kg/j DBO5,86,BIO EST DEVELOPPEMENT INSERM U284,BIO EST DEVELOPPEMENT INSERM U284,,,Boues Activées,,,784,98,A1560200
457,RUMERSHEIM-LE-HAUT ,68291,1038986,6759827,,A0310202,RUISSEAU DU MUHLBACH DE LA HARDT,26829100457,FRCR31,MUHLBACH DE LA HARDT,1/1/75,,,,RUMERSHEIM-LE-HAUT,68,HAUT-RHIN,A03-0202,Le Muhlbach de la Hardt,81,,kg/j DBO5,86,,,,,Lit Bactérien,,,225,38,
431,GUEWENHEIM ,68115,1007239,6747083,,A1230200,RIVIERE LA DOLLER,26811500431,FRCR706,DOLLER 3,1/1/81,,11/28/05,6/1/07,GUEWENHEIM,68,HAUT-RHIN,A12-0200,La Doller,390,378,kg/j DBO5,86,CTRE COM ACTION SOCIALE HABSHEIM,CTRE COM ACTION SOCIALE HABSHEIM,1007317,6747087,Boues Activées - traitement Azote - traitement Phosphore,6300,1845,1136,142,
301,DAMBACH-LA-VILLE ,67084,1029305,6811588,,A255021J,RUISSEAU LA SCHEER,26708400301,,,1/1/72,9/8/03,,,DAMBACH-LA-VILLE,67,BAS-RHIN,A25-0212,La Scheer,228,,kg/j DBO5,86,TRACO,,,,Boues Activées,,,633,79,A2550212
2200,ANDERNY HAMEAU BRABANT ,54015,911466,6917926,,A8310300,RUISSEAU DE LA VALLEE,25401502200,FRCR393,WOIGOT 1,5/1/11,,11/18/10,,ANDERNY,54,MEURTHE-ET-MOSELLE,A8310300,Ruisseau de la Vallee,5,5,kg/j DBO5,86,COMMUNE DE MORIONVILLIERS,COMMUNE DE MORIONVILLIERS,911471,6917911,Boues Activées,,,12,1.5,
45,BEUVILLERS ,54069,911905,6924444,,A841020C,RUISSEAU LE CONROY,25406900045,FRCR395,CONROY 1,1/1/72,6/30/10,,,BEUVILLERS,54,MEURTHE-ET-MOSELLE,A84-0200,Le Conroy,14,14,kg/j DBO5,86,COMMUNE DE MATTON-ET-CLEMENCY,COMMUNE DE MATTON-ET-CLEMENCY,,,Boues Activées,,,40,,A8410200
1834,CHARENCY-VEZIN ,54118,881391,6934496,,B4220100,RIVIERE LA CHIERS,25411801834,FRB1R722,CHIERS 2,4/1/07,,12/15/09,,CHARENCY-VEZIN,54,MEURTHE-ET-MOSELLE,B4--0100,La Chiers,42.3,48,kg/j DBO5,86,,,881468,6934545,Lagunage Naturel,800,,130,16,
1398,FILLIERES ,54194,906283,6925354,,B4100200,RIVIERE LA CRUSNES,25419401398,FRB1R701,CRUSNES 1,5/1/02,,3/21/02,,FILLIERES,54,MEURTHE-ET-MOSELLE,B41-0200,La Crusnes,27,,kg/j DBO5,86,ALSACE RESINE ETANCHEITE,,,,Bassin d'Infiltration,450,100,105,13.2,
2330,FLEVILLE-LIXIERES ,54198,906362,6909530,,A8220300,RUISSEAU LE RAWE,25419802330,FRCR391,RAWE,5/1/13,,7/22/11,,FLEVILLE-LIXIERES,54,MEURTHE-ET-MOSELLE,A8220300,Ruisseau le Rawe,19,15,kg/j DBO5,86,COMMUNE DE HAUSSONVILLE,COMMUNE DE HAUSSONVILLE,906362,6909530,Filtres plantés de Roseaux,310,202,62,2.6,
2215,HAGEVILLE ,54244,908478,6884869,,A8120330,RUISSEAU DE XONVILLE,25424402215,FRCR382,YRON,9/15/12,,2/24/12,,HAGEVILLE,54,MEURTHE-ET-MOSELLE,A8120330,Ruisseau de Xonville,16,13,kg/j DBO5,86,COMMUNE DE BEUVEZIN,COMMUNE DE BEUVEZIN,908502,6884896,Filtres plantés de Roseaux,225,96,54,4.5,
