identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite;unite
0003012705;Knauf Insulation Lannemezan;Production de déchets non dangereux;2019;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);51;;01 04 99;Déchets non spécifiés ailleurs.;4758;tonnes/an
0003012705;Knauf Insulation Lannemezan;Production de déchets non dangereux;2019;D9 ;D9 Traitement physico-chimique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12 (par exemple, évaporation, séchage, calcination, etc.);57;;10 11 16;Déchets solides provenant de l'épuration des fumées autres que ceux visés à la rubrique 10 11 15;59;tonnes/an
0003012705;Knauf Insulation Lannemezan;Production de déchets non dangereux;2019;D9 ;D9 Traitement physico-chimique non spécifié ailleurs dans la présente annexe, aboutissant à des composés ou à des mélanges qui sont éliminés selon l'un des procédés numérotés D 1 à D 12 (par exemple, évaporation, séchage, calcination, etc.);78;;10 11 16;Déchets solides provenant de l'épuration des fumées autres que ceux visés à la rubrique 10 11 15;50;tonnes/an
0003012705;Knauf Insulation Lannemezan;Production de déchets non dangereux;2019;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;51;;05 06 99;Déchets non spéficiés ailleurs.;249;tonnes/an
0003012705;Knauf Insulation Lannemezan;Production de déchets non dangereux;2019;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;57;;15 01 03;Emballages en bois;12;tonnes/an
0003012705;Knauf Insulation Lannemezan;Production de déchets non dangereux;2019;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;57;;20 03 01;Déchets municipaux en mélange;134;tonnes/an
0003100845;BIOGASCONHA;Production de déchets non dangereux;2019;R1 ;R1 Utilisation principale comme combustible ou autre moyen de produire de l'énergie;47;;02 03 04;Matières impropres à la consommation ou à la transformation;503;tonnes/an
0003100845;BIOGASCONHA;Production de déchets non dangereux;2019;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;40;;19 06 06;Digestats provenant du traitement anaérobie des déchets animaux et végétaux;6244;tonnes/an
0003100845;BIOGASCONHA;Production de déchets non dangereux;2019;R11;R11 Utilisation de déchets résiduels obtenus à partir de l'une des opérations numérotées R 1 à R 10;12;;02 03 04;Matières impropres à la consommation ou à la transformation;57;tonnes/an
0003100845;BIOGASCONHA;Production de déchets non dangereux;2019;R11;R11 Utilisation de déchets résiduels obtenus à partir de l'une des opérations numérotées R 1 à R 10;40;;02 03 04;Matières impropres à la consommation ou à la transformation;4265;tonnes/an
