identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0005101169;JSP INTERNATIONAL  SARL;2006;0;0;90900;0
0010000577;INTERNATIONAL COOKWARE;2006;0;0;181000;0
00       18059001;SAS DOUX frais établissement du chatelet;2006;0;0;104000;0
0010000972;CHRO LA SOURCE;2006;0;0;107000;0
0007000952;SOMMER NEEDLEPUNCH;2006;166000;0;719;0
00       30006004;ROYAL CANIN (SA);2006;53000;0;0;0
0007000673;ASCOMETAL LES DUNES;2006;186000;3130000;132000;0
0010001585;SIFA TECHNOLOGIES SA (GROUPE ARCHE);2006;184000;0;629;0
0005101217;DMG - DUMONT MORNET GOUVIEUX;2006;118000;0;1220;0
0005500736;PAULET PAUL;2006;0;0;66700;0
0007201562;LOEUL PIRIOT;2006;0;0;134000;0
0006400384;CONTINENTALE NUTRITION - Site de Vedène;2006;7600;0;216000;0
00       19031001;SEUDAC;2006;0;0;57000;0
0005401402;AMORA MAILLE Chevigny;2006;0;0;52600;0
0007201195;SODEM;2006;0;54200;0;0
0006103663;SANOFI PASTEUR NVL;2006;3790000;0;174000;0
0006302371;PRODIA OUEST;2006;60100;0;1520;0
0006301205;COMPAGNIE LAITIERE DE DERVAL;2006;0;0;171000;0
0005202609;TOTAL E&P France;2006;0;13700000;70100;0
00       35004002;ETS BRIENT;2006;0;0;64600;0
0007100081;Distillerie Savanna;2006;0;92700;0;0
0006900013;EDF SEI;2006;0;0;179000;0
0005501461;ENTREMONT;2006;0;0;461000;0
0006601574;GIE CHIMIE SALINDRES;2006;916000;0;0;0
0006105217;ETABLISSEMENT DE CHARVIEU;2006;119000;0;8980;0
0006205245;ARCELORMITTAL FRANCE;2006;306000;280000;1440;0
0005401220;VERALLIA FRANCE;2006;138000;39900;11300;0
0005100757;SAICA PAPER  FRANCE (ROCHETTE VENIZEL);2006;0;5520000;15000;0
0005401490;AMORA MAILLE SI Usine de Dijon;2006;0;0;146000;0
0005701734;MALTEUROP FRANCE - Pringy;2006;166000;0;0;0
0005300973;FROMAGERIE DE LIVAROT;2006;80600;0;39900;0
0006700567;DS SMITH PAPER KAYSERSBERG;2006;0;2040000;0;0
0005401307;MANNESMANN PRECISION TUBES FRANCE;2006;58700;1550;23300;0
0005800409;RENAULT S.N.C.;2006;0;0;346000;0
0010001299;ORGAPHARM;2006;216000;0;17900;0
0006104612;DELPHARM EX BAYER SANTE FAMILIALE S.A.S.;2006;0;0;78100;0
0006501936;SAM MONTEREAU;2006;0;1260000;63700;0
0005600289;AUBERT & DUVAL ALLIAGES;2006;0;56300;331000;0
0007001045;CARGILL HAUBOURDIN SAS;2006;0;15200000;1010000;0
0006700694;TANNERIES HAAS;2006;0;48100;3470;0
0005401075;KRONOSPAN SAS;2006;0;0;110000;0
0005104803;CLAL-FRANCE;2006;673000;0;5140;0
0007000635;BEFESA  VALERA SAS;2006;0;0;50900;0
0005500609;BUNGE France;2006;0;0;172000;0
0012100040;MBF ALUMINIUM;2006;0;0;57200;0
0006200339;GLANZSTOFF LONGLAVILLE;2006;0;0;157000;0
0006802161;PIVAUDRAN Sas;2006;150000;0;0;0
0006103685;ARKEMA FRANCE;2006;11500000;18600000;217000;0
0006103135;PATURLE ACIERS;2006;79000;0;4340;0
0006301049;Arc en Ciel 2034;2006;0;0;164000;0
00       79077001;Laiterie Coopérative du Pays de Gâtine;2006;0;0;61100;0
0022200018;BELLONIE BOURDILLON SUCCESSEURS;2006;34200;47700;1090;0
0006102911;CATERPILLAR FRANCE - site d'Echirolles;2006;93600;0;71400;0
0005800416;POCHET DU COURVAL;2006;1730000;0;12500;0
0005500850;Lampaulaise de salaisons;2006;126000;0;1330;0
0005101758;EUROSERUM;2006;189000;0;0;0
0006102492;thierry gensel;2006;117000;0;0;0
0005300968;Cidreries du Calvados La Fermière;2006;55900;2160;41000;0
0005102065;LUNOR  DISTRIBUTION;2006;0;0;108000;0
0006506270;ENERTHERM;2006;0;571000;223000;0
0005701280;ETILAM;2006;0;376000;6980;0
0007000940;STORA ENSO CORBEHEM;2006;0;9200000;54000;0
0007202778;ROUSSELOT ANGOULEME SAS;2006;0;1640000;18100;0
0006702209;SIVOM agglo mulhousienne Sausheim - UIOM;2006;209000;0;0;0
0006202172;MARCILLAT CORCIEUX;2006;0;447000;10000;0
0006000283;DELVERT;2006;0;0;88000;0
0005100611;CENTRE HOSPITALIER GENERAL;2006;0;0;138000;0
0007002452;AGC FRANCE SAS;2006;119000;0;0;0
0010001788;FAURECIA AUTOMOTIVE COMPOSITES;2006;0;0;53700;0
0005701946;DISLAUB;2006;0;379000;1000;0
0006400405;GERFLOR PROVENCE SNC;2006;48100;5950;0;0
