identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0006506313;SHELL(ExSOCIETE DES LUBRIFIANTS DE NANT);2005;0;72500;18000;0
0005101952;NESTLE production PURINA PETCARE;2005;676000;0;0;0
0005100093;NEXANS FRANCE;2005;57900;0;5130;0
0005101670;FRANCOLOR PIGMENTS;2005;0;347000;4620;0
0007001088;STAF;2005;112000;0;0;0
0007201362;AHLSTROM MUNKSJÖ SPECIALTIES;2005;0;1330000;0;0
0005503910;GALLIANCE Elaboré;2005;226000;0;73800;0
0005401301;DAVEY BICKFORD;2005;0;119000;40100;0
0006202598;SOCIETE FROMAGERE DE XERTIGNY;2005;0;279000;17200;0
0005701543;VERALLIA-FRANCE;2005;146000;0;3370;0
0006202068;AHLSTROM-MUNKSJÖ ARCHES;2005;2180000;1600000;18500;0
0006103361;INTEXA;2005;0;76200;1240;0
0006506552;Centre de Production de Vitry-sur-Seine;2005;1840000;14700000;1670000;0
0006301770;Chantiers de l'Atlantique;2005;0;0;140000;0
0005800410;RENAULT S.N.C.;2005;1870000;0;70900;0
0005300004;ATEMAX France - Usine de St Langis;2005;0;0;168000;0
0006506520;BIO SPRINGER;2005;2460000;1810000;308000;0
0007001335;O-I FRANCE SAS usine de WINGLES;2005;227000;0;0;0
0005501872;BERNARD SAS (abattoir);2005;0;177000;242000;0
0005702016;LE JOINT FRANCAIS;2005;57700;0;0;0
0006702209;SIVOM agglo mulhousienne Sausheim - UIOM;2005;172000;0;4020;0
0006401794;STMicroelectronics (FAB6);2005;0;0;718000;0
0007000437;HAAGEN DAZS;2005;0;0;154000;0
0006000385;INTERNATIONAL PAPER;2005;0;22600000;0;0
0005202760;YARA France SAS;2005;0;46200000;0;0
0005800301;MILLENNIUM INORGANIC CHEMICALS le HAVRE;2005;0;0;6220000;1650000
0006500054;THOMSON VIDEOGLASS;2005;1210000;0;4810;0
00       77559405;COOPERATIVE LAITIERE DE LA REGION LOCHOISE;2005;126000;0;0;0
0006400463;AZUR DISTILLATION;2005;80000;0;44900;0
0005202639;BEARN URBASER ENERGIE;2005;272000;0;18600;0
0006400455;APTUNION;2005;50300;0;281000;0
0010001801;VALCANTE;2005;40300;0;41200;0
0005900985;PROVALT JURA Unité 1 / PRODIA Unité 2;2005;20200;0;61000;0
0006103380;DURALEX INTERNATIONAL FRANCE;2005;3250;0;85000;0
0009000020;BA 106 Bordeaux-Mérignac;2005;1150000;0;0;0
0010001408;TRISALID;2005;0;0;81100;0
0006601578;SOLVAY Rhodia Opérations;2005;0;0;220000;0
0010000043;LES VOLAILLES DE BLANCAFORT;2005;205000;0;0;0
0009000037;BA 123 Orléans;2005;46400;0;19700;0
0006400990;KEM ONE France;2005;76700;0;1100000;0
0006301184;ACI Usine du Mans;2005;0;1500000;145000;0
0007000830;Peugeot Citroën Mécanique du Nord Ouest SNC;2005;0;0;113000;0
0010000532;ELIS BERRYLES- LES LAVANDIERES;2005;0;0;121000;0
0006700501;Pascual Jus de Fruits;2005;0;0;242000;0
0007003322;RYSSEN ALCOOLS SAS;2005;0;0;122000;0
0006700421;DU PONT DE NEMOURS-Cernay;2005;86300;0;23500;0
0006300950;STELIA AEROSPACE;2005;0;0;54400;0
0006802185;Papeteries de Saint-Girons SAS;2005;0;3170000;7710;0
0007000483;ARKEMA FRANCE;2005;0;4390000;29500;0
0006202021;CLAAS FRANCE;2005;38900;0;13700;0
0005502091;DELICES DE SAINT-LEONARD (Les);2005;0;0;89500;0
0005503334;FIDELE SAS;2005;30000;0;58200;0
0006301011;FROMAGERE DE BOUVRON (société);2005;0;0;351000;0
0005503696;SAS Jean Floc'h;2005;0;0;54600;0
0006600421;TAMARIS INDUSTRIES;2005;0;48300;8430;0
0005800496;EXXONMOBIL CHEMICAL FRANCE;2005;671000;0;7430;0
0010000663;PAPETERIES PALM;2005;43500;1040000;50600;0
0006104748;THALES AVS FRANCE SAS;2005;457000;0;12400;0
0007201271;Société Fromagère de Riblaire;2005;0;0;235000;0
0006303312;MHS electronics;2005;0;0;94400;0
0022200013;DISTILLERIE DILLON S.A.S;2005;0;215000;10200;0
0005101755;PIC INDUSTRIES PRODUCTION;2005;0;120000;930;0
0006400004;CEA CADARACHE;2005;0;885000;0;0
0006201682;DEPALOR S.A.S;2005;53000;0;21000;0
0006102464;EURECAT FRANCE;2005;78700;0;8460;0
0007402258;SIAAP;2005;0;1070000;0;0
0006702042;FREUDENBERG PERFORMANCE MATERIALS;2005;1900000;0;31;0
0006701518;FAURECIA INSPIRING MOBILITY;2005;215000;0;1820;0
0006701424;MILLIPORE;2005;4600;0;87300;0
0007000884;BETAFENCE;2005;0;55200;14400;0
0010000765;SYNTHRON;2005;336000;0;0;0
0006201894;ARCELORMITTAL FRANCE;2005;0;1510000;22300;0
0007000918;TOTAL Raffinage France SA;2005;0;0;3480000;0
0005102153;SAINT LOUIS SUCRE;2005;629000;2000000;10200;0
0005503427;Cité Marine;2005;0;0;87900;0
0005801058;PRYSMIAN CABLES ET SYSTEMES FRANCE;2005;725000;0;1590;0
0025100039;ArcelorMittal Stainless and Nickel Alloys Wire;2005;4500;887000;22200;0
0005201261;ARIANEGROUP;2005;0;2540000;0;0
0006301049;Arc en Ciel 2034;2005;0;0;125000;0
0005501473;Triballat Noyal;2005;0;0;187000;0
0006503572;PEUGEOT CITROEN AUTOMOBILE SA;2005;0;0;57100;0
0005401545;PORTERET BEAULIEU INDUSTRIE;2005;0;70000;0;0
0005801355;LEGRAND Montville;2005;70300;0;0;0
0007000508;COMILOG ex Dunkerque Electrométallurgie;2005;15000;0;35100;0
0006301296;SOCIETE PEBECO;2005;0;174000;6400;0
0022200016;EDF SEI - PK;2005;0;0;4200;50900000
0006700425;Hannecard;2005;0;0;62700;0
0006506909;SIH;2005;0;0;84900;0
0006102695;TANNERIES ROUX;2005;81100;0;937;0
0010500025;Source Badoit;2005;263000;0;66000;0
0006508999;MAJ ELIS;2005;116000;0;16500;0
0006000361;Société BLEDINA;2005;0;0;738000;0
0010001733;MARS PF FRANCE;2005;658000;0;0;0
0005901176;FOUINETEAU INDUSTRIES;2005;34500;0;23000;0
0007001080;AXTER;2005;503000;0;6230;0
0006400886;LINPAC PLASTICS PROVENCE;2005;130000;0;0;0
0005401483;DAUNAT BOURGOGNE;2005;0;0;59800;0
0006104664;PAPETERIES DU LEMAN S.A.;2005;4530000;0;26500;0
