identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0006503241;SAINT GOBAIN ABRASIFS;2012;92600;;16600;
0005205717;PERIGORD ENERGIES;2012;;125000;377;
0005800367;EURIAL ULTRA FRAIS;2012;271000;;13200;
0006700452;DMC SAS;2012;163000;;6;
0005701719;TEREOS FRANCE;2012;85100;;212000;
0005501783;Galliance Languidic;2012;;;195000;
0028300059;SAS NORD ESTER;2012;;45300;29500;
0005200592;SAFT SAS;2012;30900;;56000;
0006400486;NATUREX;2012;16900;;43300;
0006600526;GRAP'SUD Cruviers;2012;65200;;189000;
0006301407;SAVONNERIE DE L'ATLANTIQUE;2012;101000;;8280;
0005401151;INDUSTEEL FRANCE site du Creusot (secteur Breuil);2012;;;385000;
00       19073001;CHARAL;2012;;;91500;
0006301733;Fromagerie BEL Production France;2012;;;687000;
0007203128;AVI-CHARENTE;2012;;;141000;
0006400196;SAS ZEPHIRE;2012;;;99800;
0005501218;PDM INDUSTRIES;2012;;3880000;1210;
0006102364;OI FRANCE SAS;2012;97600;;3480;
0007002964;BORALEX Blendecques SAS;2012;59500;;;
0005800607;BOREALIS CHIMIE;2012;13000;10000000;74100;
0006700513;BUTACHIMIE;2012;22000000;3250000;;
0006301124;SOFRAL sa;2012;;;59200;
0005200110;CORENSO France SA;2012;4990;639000;5570;
0006202183;ETABLISSEMENT PAPETERIES DE DOCELLES;2012;953000;;;
0005200361;SIAP-SARP INDUSTRIES AQUITAINE PYRENEES;2012;;;65300;
0005500405;GELAGRI BRETAGNE;2012;;;136000;
0005701684;ECOLAB PRODUCTION FRANCE;2012;83900;;68000;
0006501529;HELIO PRINT (ex H2D ex QUEBECOR );2012;;;127000;
0006400411;RAYNAL et ROQUELAURE Provence;2012;523000;;;
0005500663;SA DOUX ETS CHATEAULIN;2012;;;880000;
0010005269;IBIDEN DPF FRANCE;2012;;;116000;
0006502601;MAGIC RAMBO (ou SNC THIMEAU) (ELIS);2012;128000;;7610;
0005200560;SNCF  BORDEAUX;2012;81800;;;
0006104232;BOEHRINGER INGELHEIM ANIMAL HEALTH FRANCE;2012;59800;;25100;
0005900605;GALVANOPLAST Sochaux-Montbéliard;2012;;5970;58400;
0005202639;BEARN URBASER ENERGIE;2012;217000;;21800;
0005701128;PEUGEOT CITROEN MECANIQUE DE L'EST SNC;2012;335000;;;
0007002953;DRAKA COMTEQ FRANCE;2012;;;165000;
0007406188;SNCF MOBILITE -TECHNICENTRE EST EUROPEEN;2012;;;82800;
0005301581;EURIAL Ingrédients & Nutrition;2012;;;121000;
0007000704;MINAKEM BEUVRY PRODUCTION;2012;81100;;20500;
0005100114;TEREOS FRANCE (BUCY);2012;2670;1690000;5550;
0007201614;ELIVIA BRESSUIRE;2012;;;79900;
0006202271;MICHELIN;2012;;;328000;
0005204670;DRAGAGES DU PONT DE LESCAR SAS;2012;194000;;;
0057200348;LUISSIER BORDEAU CHESNEL;2012;;;90000;
0006103406;Les Eaux Minérales de Saint Alban;2012;;;510000;
0005900400;PAPETERIE DE MANDEURE;2012;;767000;1280;
0005800542;WALOR EXTRUSION;2012;;;52400;
0006700082;QUARTZ D'ALSACE;2012;1490000;;122;
0006103724;KEM ONE ETABLISSEMENT DE SAINT FONS;2012;2250000;2250000;;
0016900010;MERIAL Laboratoire Portes des Alpes;2012;118000;;9410;
0007001023;ENERGIE GRAND LITTORAL;2012;;;59100;
0006107516;VALRHONA;2012;292000;;17300;
0006200328;ARCELOR MITTAL TUBULAR PRODUCTS LEXY;2012;149000;;7010;
0006201020;EUROSERUM;2012;;;168000;
0005301918;FLORETTE FRANCE GMS;2012;;;449000;
0007202664;CA FRANCE CHAMPIGNON;2012;;;450000;
0006500049;KERAGLASS;2012;105000;6050;3430;
0007300025;EDF Corse;2012;;;267000;
0006104438;FERROPEM;2012;;40000;29700;
0005601350;SOCIETE FROMAGERE;2012;;158000;23700;
0006303438;INITIAL SERVICES TEXTILES;2012;66800;;636;
0006506498;VALO'MARNE (EX CIE);2012;431000;;4270;
0006103291;SNF SA ANDREZIEUX;2012;;;442000;
0005102036;LAINIERE DE PICARDIE BC SAS;2012;422000;;5100;
0005501872;BERNARD SAS (abattoir);2012;;207000;206000;
0005501574;Société Laitière de VITRE;2012;;;569000;
0010001378;ORRION CHEMICALS ORGAFORM;2012;51700;;1650;
0006000339;COMPAGNIE MADRANGE - FEYTIAT;2012;74900;;254000;
0010400395;LYNRED;2012;119000;;37700;
0005701143;ARCELORMITTAL FRANCE;2012;;178000;;
0007201363;ALAMIGEON;2012;;253000;;
0006103682;Ateliers A.S.;2012;103000;;3420;
0005701515;TEREOS  FRANCE;2012;165000;;5770;
00       14752010;ELIVIA;2012;;;267000;
0006802285;SAS GELATINES WEISHARDT;2012;456000;1000000;;
0005401296;Usine de Frangey;2012;135000;;723;
0005201539;Compagnie des Salins du Midi et des Salines de l'Est;2012;;127000;11200;
0005501423;GATINE VIANDES;2012;;;252000;
0005501461;ENTREMONT;2012;;;576000;
0005900162;PAPETERIE ZUBER RIEDER;2012;390000;;937;
0006802175;PRAXAIR PHP SAS;2012;;62000;;
0005302766;CSR;2012;132000;;;
0009000031;Base Aérienne 103 'CDT René MOUCHOTTE';2012;54500;;;
0006600462;MONCIGALE;2012;105000;;543;
0010000714;FAREVA Amboise;2012;;;51000;
0005800386;SAIPOL;2012;943000;;24100;
0006305026;SPEM - ETF;2012;;;79400;121000000
0007000821;NYRSTAR FRANCE;2012;;1570000;67400;
0006601116;SANOFI Aventis R&D;2012;;;89400;
0006301046;ARRIVE;2012;;;200000;
0005701609;SAS GIVAUDAN France;2012;137000;;199;
0010003878;CIMENTS CALCIA - SITE DE BEFFES;2012;;252000;;
0006103013;BATH Toilettes et accessoires ALLIBERT TS;2012;72500;;;
0005302209;Société Fromagère de DOMFRONT;2012;238000;;378000;
0006208331;Union Laitière de la Meuse (ULM);2012;80300;;;
0005102065;LUNOR  DISTRIBUTION;2012;;;97600;
0006802653;MELINA SAS;2012;;170000;;
0006104116;TOTAL FRANCE;2012;533000;;14700;
0007000952;SOMMER NEEDLEPUNCH;2012;165000;;661;
0005401220;VERALLIA FRANCE;2012;139000;37800;13400;
0006104447;RDM LA ROCHETTE  SAS;2012;66800;2430000;;
0006102944;SIEGL;2012;101000;;;
0005300552;L.N.U.F. BAYEUX;2012;;;208000;
0006700717;FONDERIE DE LA BRUCHE - COLIBRU;2012;;147000;5820;
00       75664052;FIPSO Aquitaine;2012;;;221000;
0006202070;SITPA SAS;2012;21000;1420;187000;
0005901243;EUROSERUM;2012;;1410000;;
0009000023;BA 120 Cazaux;2012;166000;;;
0006700567;DS SMITH PAPER KAYSERSBERG;2012;;1780000;39700;
0005503619;ELIS LOCALINGE;2012;92600;;924;
0007201539;SOCIETE FROMAGERIES LESCURE;2012;;;206000;
0006205027;GLACES THIRIET SAS;2012;;;73200;
0006106650;Sté STEPHANOISE D'ABATTAGE;2012;;;136000;
0006102269;SPEICHIM PROCESSING S.A.;2012;;;169000;
0005500681;Capitaine Cook;2012;9880;;46200;
0007201362;AHLSTROM MUNKSJÖ SPECIALTIES;2012;;1190000;;
0006400942;Kem One Lavera;2012;;;2600000;
0006702736;EVONIK OIL ADDITIVES SAS;2012;418000;;2830;
0005900608;PEUGEOT CITROEN SOCHAUX SNC;2012;;2360000;104000;
0005801765;FROMAGERIE BOURSIN;2012;74400;;1730;
0005800575;LUBRIZOL France;2012;;;325000;
0005100096;MATERNE;2012;;;223000;
0006503224;INITIAL;2012;51200;;2130;
0006801192;SITE DE VIC ADOUR;2012;;95900;;
0006104379;ARKEMA USINE DE LA CHAMBRE;2012;4280000;5240000;4130;
0006703165;JUNGBUNZLAUER (JBL);2012;;;434000;
0006200922;SODETAL AWT;2012;;38000;96200;
0005102297;EVONIK REXIM ham;2012;541000;;3310;
0006103282;STEPAN EUROPE SA;2012;35700;;23900;
0006700467;PSA Peugeot Citroën SNC Mulhouse;2012;1670000;;;
0006103244;CANDIA;2012;5290000;;1680;
0007403759;GUERBET;2012;;;55600;
0005503548;PEP;2012;;;73100;
0007206633;EURIAL;2012;93500;;4860;
0007000798;ENERSYS SARL;2012;;;64400;
0007000534;SYNTHEXIM (Site Calaire);2012;;44100;248000;
0057201121;DROUAULT;2012;55200;;4120;
0006301770;Chantiers de l'Atlantique;2012;;;72100;
0006201117;Continental France SNC;2012;;;276000;
0006401008;Basell Polyoléfines France SAS;2012;;4610000;143000;
0070607901;STEU - CANNES 'AQUAVIVA';2012;;;130000;
0006102993;ARKEMA;2012;24600000;;391000;
0007001047;CEREC;2012;;146000;2810;
00       14752020;broceliande alh;2012;;;156000;
0006401040;IMERYS Aluminates SA;2012;;;145000;
0005501252;DAREGAL;2012;;;53000;
0005601317;SOCIETE FROMAGERE DE RIOM;2012;97600;;89100;
0005701442;GANTOIS CLOTURES;2012;;48900;2200;
0005601769;DIEHL POWER ELECTRONIC;2012;;;64900;
