source,flow_group,value,basin,pop,target
excretion,excretion,438,Metropolitan France,64.8,Sanitation System
residual,residual,130,Metropolitan France,64.8,Sanitation System
large industries,large industries,17,Metropolitan France,64.8,Sanitation System
Sanitation System,water,154,Metropolitan France,64.8,water
Sanitation System,groundwater,55,Metropolitan France,64.8,groundwater
Sanitation System,"landfill, incineration..",86,Metropolitan France,64.8,"landfill, incineration.."
Sanitation System,recycled,288,Metropolitan France,64.8,recycled
