identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0005401044;LAGUILLAUMIE;2010;;;63500;
0006401544;GALDERMA R&D Sophia Antipolis;2010;108000;;36100;
0006102795;Aoste;2010;2270000;;2420;
0007001409;CANELIA;2010;;;307000;
0005301484;VERRERIE D'ART AURYS;2010;;;127000;
0006102435;LAFARGE CIMENTS;2010;436000;;;
0006505930;HUTCHINSON - Persan;2010;;230000;33400;
0006700674;STAL;2010;;64300;22900;
0006400402;SAINT-GOBAIN ISOVER;2010;734000;;7970;
0006700423;MARS Chocolat Steinbourg;2010;;;78100;
0007000987;VENATOR Pigments France;2010;;143000;12800;
0006503227;TECHNOCENTRE RENAULT;2010;;;78500;
0006700643;TEREOS STARCH & SWEETENERS EUROPE;2010;3240000;;75000;
0006802518;DAHER Tarbes;2010;142000;;8310;
0005501947;Société des Volailles de Plouray;2010;389000;;;
0057200464;VALLEGRAIN ABATTOIR;2010;18200;;96600;
0025100025;COMAP PLASTIC INDUSTRIES;2010;305000;;2930;
0010003878;CIMENTS CALCIA - SITE DE BEFFES;2010;;250000;;
0009000039;BA 132 Colmar;2010;55300;;;
0005900518;UNAP ADAPEI;2010;;;58100;
0005305154;FARMACLAIR;2010;;;76500;
0005800495;Unité de Valorisation Energétique VESTA;2010;;95000000;40300;
0006302129;UIOM de La Roseraie;2010;;;60900;
00       29236010;DUC;2010;30900;;35400;
0007000797;SOCIETE INDUSTRIELLE DES OLEAGINEUX;2010;134000;729000;4410;
0007000673;ASCOMETAL LES DUNES;2010;156000;2380000;107000;
0006202174;MARCILLAT CORCIEUX site ETS ASMAR;2010;112000;;38;
0007402281;SNC Cogé VITRY;2010;;1550000;3230;
0005504408;CELTYS;2010;197000;;13200;
0005101524;EJ Picardie;2010;74800;;;
0005203250;Imerys Ceramics France SAS;2010;190000;;253;
0009000144;BA 105 EVREUX;2010;298000;;;
0006802805;AJINOMOTO FROZEN FOODS FRANCE (Labeyrie);2010;;;57200;
0006201561;UEM;2010;74600;25300000;101000;
0005201375;O-I France SAS;2010;111000;;;
0005300973;FROMAGERIE DE LIVAROT;2010;100000;;35300;
0007001044;LNUF Marques - Cuincy;2010;465000;;4080;
0005401378;BERNER;2010;331000;;3260;
0006000339;COMPAGNIE MADRANGE - FEYTIAT;2010;86800;;230000;
0005500850;Lampaulaise de salaisons;2010;125000;;40300;
00       33036002;LDC AQUITAINE;2010;;;100000;
0005301495;SOCIETE BEURRIERE D'ISIGNY;2010;;;86300;
0006105225;ADISSEO FRANCE SAS;2010;10700000;;;
0005900605;GALVANOPLAST Sochaux-Montbéliard;2010;;32200;48800;
0005201996;TIMAC AGRO SA;2010;46000;97000;4500;
0006103723;GEPEIF STATION EPUR. DES INDUS;2010;613000;;;
0006506767;REP;2010;49100;;4360;
0005200028;EURENCO SA;2010;50000;89000;;
0006103406;Les Eaux Minérales de Saint Alban;2010;455000;;125000;
0005106026;SUEZ Eau Industrielle (ex ONDEO IS);2010;;812000;21500;
0006200938;VALTRIS ENTERPRISES FRANCE SAS;2010;;116000;274000;
0006200837;BONDUELLE FRAIS FRANCE;2010;326000;;;
0005600463;SANOFI CHIMIE;2010;;3430000;51000;
0005301889;COMPAGNIE DES FROMAGES & RICHESMONTS;2010;;99100;830;
0005102598;Cristal Union, établissement de Sainte Emilie;2010;264000;;;
0006700694;TANNERIES HAAS;2010;;56200;5640;
0005800410;RENAULT S.N.C.;2010;1070000;;27900;
