Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Coordonnées_STEP_X;Coordonnées_STEP_Y;Coordonnées_REJET_X;Coordonnées_REJET_Y;code_qualité_localisation_rejet;libelle_qualité_localisation_rejet;INSEE_Commune_STEP;Nom_Commune_STEP;Code_Département_STEP;Nom_Région_STEP;Code_Masse_Eau;Nom_Masse_Eau
2013;060983023004;STATION D'EPURATION DE BRIGNOLES;20000;Biologique avec nitrification;949469;6261823;949531;6261921;1;Précision +- 50 mètres;83023;BRIGNOLES;83;PROVENCE-ALPES-COTE D'AZUR;FRDR111;Le Caramy
2013;060920203001;STATION D'EPURATION DE PARTINELLO;600;Biologique Simple;1168165;6150864;1169385;6152452;1;Précision +- 50 mètres;20203;PARTINELLO;2A;CORSE;FRER11038;ruisseau de santa maria
2013;060920276001;STATION D'EPURATION DE SERRA DI FERRO - PORTO POLLO;6500;Biol. avec nitrif., dénitrif. et déphosphatation;1184364;6086512;1184393;6086534;1;Précision +- 50 mètres;20276;SERRA DI FERRO;2A;CORSE;FREC04ac;Pointe Senetosa - Pointe Palazzu
2013;060934161001;STATION D'EPURATION DE MONTADY;5500;Biologique avec nitrification et dénitrification;710690;6248113;710672;6248087;1;Précision +- 50 mètres;34161;MONTADY;34;LANGUEDOC-ROUSSILLON;;
2013;060973118001;STATION D'EPURATION DE FRANCIN  "ALPESPACE";1000;Décantation primaire ou fosse toutes eaux;936221;6490744;936114;6490847;1;Précision +- 50 mètres;73118;FRANCIN;73;RHONE-ALPES;FRDR354b;Isère de l'Arly au Bréda
2013;060905065001;STATION D'EPURATION DE GUILLESTRE;15000;Biologique avec déphosphatation;986109;6402938;986145;6403027;1;Précision +- 50 mètres;05065;GUILLESTRE;05;PROVENCE-ALPES-COTE D'AZUR;FRDR305b;Le Guil de la confluence avec le Cristillan à la confluence avec la Durance
2013;060925482002;STATION D'EPURATION DE RECOLOGNE;750;Biologique avec nitrification;913295;6689680;913301;6689720;1;Précision +- 50 mètres;25482;RECOLOGNE;25;FRANCHE-COMTE;FRDR10962;ruisseau de recologne
2013;060983047002;STATION D'EPURATION DE LA CRAU - VALLEE DU GAPEAU;80000;Biol. avec nitrif., dénitrif. et déphosphatation;951733;6232177;951658;6232275;2;Précision +- 500 mètres;83047;LA CRAU;83;PROVENCE-ALPES-COTE D'AZUR;FRDR114b;Le Gapeau du rau de Vigne Fer à la mer
2013;060934173003;STATION D'EPURATION DE MONTPEYROUX;1800;Filtres plantés;741675;6288122;741673;6288077;2;Précision +- 500 mètres;34173;MONTPEYROUX;34;LANGUEDOC-ROUSSILLON;FRDR12034;ruisseau de l'avenc
2013;060934310002;STATION D'EPURATION DE THEZAN LES BEZIERS - MALHAUTE;550;Biologique avec nitrification;713143;6254726;713064;6254659;1;Précision +- 50 mètres;34310;THEZAN LES BEZIERS;34;LANGUEDOC-ROUSSILLON;FRDR151a;L'Orb du Taurou à l'amont de Béziers
2013;060930262001;STATION D'EPURATION DE ST HYPPOLYTE DE MONTAIGU;400;Biologique Simple;819422;6326796;819425;6326768;2;Précision +- 500 mètres;30262;ST HIPPOLYTE DE MONTAIGU;30;LANGUEDOC-ROUSSILLON;FRDR10224;Alzon et Seynes
2013;060934008003;STATION D'EPURATION DE LES AIRES - BOURG;850;Filtres plantés;709080;6275945;709065;6275915;1;Précision +- 50 mètres;34008;LES AIRES;34;LANGUEDOC-ROUSSILLON;;
2013;060970255001;STATION D'EPURATION DE FRESNE SAINT MAMES - VILLAGE;600;Lagunage;914868;6720263;914828;6720216;1;Précision +- 50 mètres;70255;FRESNE ST MAMES;70;FRANCHE-COMTE;FRDR677;La Romaine
2013;060921339001;STATION D'EPURATION DE LANTENAY;400;Lagunage;841049;6693976;841067;6693882;1;Précision +- 50 mètres;21339;LANTENAY;21;BOURGOGNE;FRDR647;L'Ouche du ruisseau du Prâlon jusqu'à l'amont du lac Kir
2013;060934215001;STATION D'EPURATION DE POUZOLS;500;Lagunage;740738;6279745;740850;6279666;2;Précision +- 500 mètres;34215;POUZOLS;34;LANGUEDOC-ROUSSILLON;FRDR161a;L'Hérault du ruisseau de Gassac à la confluence avec la Boyne
2013;060907267002;STATION D'EPURATION DE SAINT MARTIAL;600;Filtres plantés;801571;6419352;801526;6419282;1;Précision +- 50 mètres;07267;ST MARTIAL;07;RHONE-ALPES;;
2013;060901025002;STATION D'EPURATION DE BAGE LA VILLE - LES SPATTIERES;1100;Filtres plantés;849932;6582115;849878;6582106;1;Précision +- 50 mètres;01025;BAGE LA VILLE;01;RHONE-ALPES;FRDR10605;ruisseau de manziat
2013;060973108001;STATION D'EPURATION DE EPERSY;250;Filtres plantés;930295;6519371;930312;6519362;1;Précision +- 50 mètres;73108;EPERSY;73;RHONE-ALPES;FRDR526a;Le Sierroz de la source à la confluence avec la Deisse et la Deisse
2013;060901087001;STATION D'EPURATION DE CHARIX;380;Biologique Simple;906933;6567808;906858;6567822;1;Précision +- 50 mètres;01087;CHARIX;01;RHONE-ALPES;FRDR10079;ruisseau le combet
2013;060901165002;STATION D'EPURATION DE FRANCHELEINS;1000;Filtres plantés;839775;6554463;839768;6554477;1;Précision +- 50 mètres;01165;FRANCHELEINS ;01;RHONE-ALPES;FRDR11362;ruisseau l'appéum
2013;060901231001;STATION D'EPURATION DE MANZIAT;1350;Biologique avec nitrification;845332;6586267;845011;6586346;1;Précision +- 50 mètres;01231;MANZIAT;01;RHONE-ALPES;FRDR11722;ruisseau le moignans
2013;060973227001;STATION D'EPURATION DE SAINT BON TARENTAISE - VANOISE;65000;Biologique avec nitrification;982665;6489139;984264;6489070;1;Précision +- 50 mètres;73227;ST BON TARENTAISE;73;RHONE-ALPES;FRDR368b;Le Doron de Bozel (aval de la confluence avec le Doron de Champagny)
2013;060901118001;STATION D'EPURATION DE CORBONOD;542;Lagunage;918246;6544588;918288;6544499;1;Précision +- 50 mètres;01118;CORBONOD;01;RHONE-ALPES;FRDR2001;Le Rhône du barrage de Seyssel au pont d'Evieu
