Année;code_STEP;Nom_STEP;Capacité_EH;Dispositif_traitement;Coordonnées_STEP_X;Coordonnées_STEP_Y;Coordonnées_REJET_X;Coordonnées_REJET_Y;code_qualité_localisation_rejet;INSEE_Commune_STEP;Nom_Commune_STEP;Code_Département_STEP;Nom_Région_STEP;Code_Masse_Eau_2010;Nom_Masse_Eau_2010;Code_Masse_Eau_2016;Nom_Masse_Eau_2016
2015;060930076002;Cavillargues;1000;Filtres plantés;822434;6335476;822384;6335402;1;30076;CAVILLARGUES;30;76;FRDR11954;rivière la tave;;;
2015;060930077003;Cendras - L'Abbaye;2000;Biologique avec nitrification;784534;6339974;784572;6339935;1;30077;CENDRAS;30;76;;;;;
2015;060930080001;Chamborigaud - Village;1500;Biologique avec nitrification;778080;6356642;778107;6356651;1;30080;CHAMBORIGAUD;30;76;;;;;
2015;060930080001;Chamborigaud - Village;1500;Biologique avec nitrification;778080;6356642;778107;6356651;1;30080;CHAMBORIGAUD;30;76;;;;;
2015;060930080003;Chambon - Chamborigaud - Jasse;500;Filtres plantés;780230;6356525;780300;6356600;1;30080;CHAMBORIGAUD;30;76;;;;;
2015;060930080003;Chambon - Chamborigaud - Jasse;500;Filtres plantés;780230;6356525;780300;6356600;1;30080;CHAMBORIGAUD;30;76;;;;;
2015;060930082002;Clarensac                     ;9500;Biologique avec nitrification et dénitrification;797942;6302469;798007;6302513;1;30082;CLARENSAC;30;76;;;;;
2015;060930082002;Clarensac                     ;9500;Biologique avec nitrification et dénitrification;797942;6302469;798007;6302513;1;30082;CLARENSAC;30;76;;;;;
2015;060930082002;Clarensac                     ;9500;Biologique avec nitrification et dénitrification;797942;6302469;798007;6302513;1;30082;CLARENSAC;30;76;;;;;
2015;060930082002;Clarensac                     ;9500;Biologique avec nitrification et dénitrification;797942;6302469;798007;6302513;1;30082;CLARENSAC;30;76;;;;;
2015;060930083002;Codognan;16500;Biologique avec nitrification et dénitrification;797948;6291396;798007;6291373;1;30083;CODOGNAN;30;76;;;;;
2015;060930083002;Codognan;16500;Biologique avec nitrification et dénitrification;797948;6291396;798007;6291373;1;30083;CODOGNAN;30;76;;;;;
2015;060930083002;Codognan;16500;Biologique avec nitrification et dénitrification;797948;6291396;798007;6291373;1;30083;CODOGNAN;30;76;;;;;
2015;060930084002;Codolet                       ;1000;Biologique Simple;836267;6337463;836282;6337420;1;30084;CODOLET;30;76;;;;;
2015;060930085001;Collias                       ;1000;Biologique avec nitrification;818972;6319199;819047;6319201;1;30085;COLLIAS;30;76;;;;;
2015;060930086001;Collorgues                    ;700;Filtres plantés;803465;6322880;803465;6322889;1;30086;COLLORGUES;30;76;;;;;
2015;060930088001;Combas                        ;600;Biologique avec nitrification;789416;6306242;789452;6306251;1;30088;COMBAS;30;76;;;;;
2015;060930089002;Comps;2500;Biologique avec nitrification;829535;6306959;829725;6307021;1;30089;COMPS;30;76;;;;;
2015;060930090001;Concoules;700;Biologique avec nitrification;775431;6365189;775391;6365195;2;30090;CONCOULES;30;76;;;;;
2015;060930090001;Concoules;700;Biologique avec nitrification;775431;6365189;775391;6365195;2;30090;CONCOULES;30;76;;;;;
2015;060930091002;Congenies;1500;Biologique avec nitrification;793669;6297648;793707;6297640;1;30091;CONGENIES;30;76;;;;;
2015;060930092002;Connaux                       ;7000;Biologique avec nitrification et dénitrification;828432;6334704;828466;6334743;1;30092;CONNAUX;30;76;;;;;
2015;060930092002;Connaux                       ;7000;Biologique avec nitrification et dénitrification;828432;6334704;828466;6334743;1;30092;CONNAUX;30;76;;;;;
2015;060930092002;Connaux                       ;7000;Biologique avec nitrification et dénitrification;828432;6334704;828466;6334743;1;30092;CONNAUX;30;76;;;;;
