Année;Code_step;Nom_step;Capacité_traitement;Dispositif_traitement;CoordonnéeX_step;CoordonnéeY_step;CoordonnéeX_rejet;CoordonnéeY_rejet;Code_qualité_localisation_Rejet;Libellé_qualité_localisation_Rejet;Code_commune;Nom_commune;Code_département;Nom_région;Code_zone_hydrographique
1996;060901005001;AMBERIEUX EN DOMBES;1900;Biol. / Nitrif.;846033;6544856;846027;6544895;1;Précision bonne (dans un rayon de 50 m);01005;AMBERIEUX EN DOMBES;01;RHONE-ALPES;U470
1996;060901007001;AMBRONAY - CHEF LIEU;1700;Biologique Simple;881575;6547613;881563;6547635;1;Précision bonne (dans un rayon de 50 m);01007;AMBRONAY;01;RHONE-ALPES;V290
1996;060901009001;ANDERT ET CONDON - CONDON;270;Biologique Simple;905812;6524918;905803;6524815;1;Précision bonne (dans un rayon de 50 m);01009;ANDERT ET CONDON;01;RHONE-ALPES;V146
1996;060901010002;ANGLEFORT - CHEF LIEU;1080;Biol. / Nitrif.;917909;6536718;917913;6536694;1;Précision bonne (dans un rayon de 50 m);01010;ANGLEFORT;01;RHONE-ALPES;V126
1996;060901011001;APREMONT;400;Biol. / Nitrif.;905175;6571403;905124;6571421;1;Précision bonne (dans un rayon de 50 m);01011;APREMONT;01;RHONE-ALPES;V251
1996;060901021002;ARS SUR FORMANS;2250;Biol. / Nitrif.;840732;6545053;840736;6545028;1;Précision bonne (dans un rayon de 50 m);01021;ARS SUR FORMANS;01;RHONE-ALPES;U470
1996;060901024001;ATTIGNAT (ANCIENNE);1100;Biol. / Nitrif.;866920;6578657;866937;6578652;1;Précision bonne (dans un rayon de 50 m);01024;ATTIGNAT;01;RHONE-ALPES;U403
1996;060901024002;ATTIGNAT - VACAGNOLE;900;Biol. / Nitrif.;867654;6576575;867693;6576571;1;Précision bonne (dans un rayon de 50 m);01024;ATTIGNAT;01;RHONE-ALPES;U401
1996;060901025001;BAGE LA VILLE - CHEF LIEU;550;Lagune;849888;6581986;849878;6582106;1;Précision bonne (dans un rayon de 50 m);01025;BAGE LA VILLE;01;RHONE-ALPES;U411
1996;060901026001;BAGE LE CHATEL;1100;Biologique Simple;848214;6580195;848201;6580122;1;Précision bonne (dans un rayon de 50 m);01026;BAGE LE CHATEL;01;RHONE-ALPES;U411
1996;060901028001;BANEINS - CHEF LIEU;225;Biologique Simple;846518;6558506;846383;6558539;1;Précision bonne (dans un rayon de 50 m);01028;BANEINS;01;RHONE-ALPES;U440
1996;060901033001;BELLEGARDE SUR VALSERINE;18000;Biologique Simple;917589;6557982;917613;6557930;1;Précision bonne (dans un rayon de 50 m);01033;BELLEGARDE SUR VALSERINE;01;RHONE-ALPES;V102
1996;060901034001;BELLEY - CHEF LIEU;12200;Biologique Simple;910111;6520966;910244;6520754;1;Précision bonne (dans un rayon de 50 m);01034;BELLEY;01;RHONE-ALPES;V146
1996;060901035001;BELLEYDOUX;300;Biol. / Nitrif.;914187;6576129;914196;6576140;1;Précision bonne (dans un rayon de 50 m);01035;BELLEYDOUX;01;RHONE-ALPES;V101
1996;060901036001;BELMONT LUTHEZIEU - MASSIGNIEU;566;Biol. / Nitrif.;906962;6533876;906983;6533842;1;Précision bonne (dans un rayon de 50 m);01036;BELMONT LUTHEZIEU;01;RHONE-ALPES;V143
1996;060901041001;BETTANT;900;Biol. / Nitrif.;882088;6541443;882005;6541458;1;Précision bonne (dans un rayon de 50 m);01041;BETTANT;01;RHONE-ALPES;V293
1996;060901043001;BEYNOST -ST MAURICE DE BEYNOST;10600;Biol. / Nitrif.;854827;6526423;854783;6526391;1;Précision bonne (dans un rayon de 50 m);01043;BEYNOST;01;RHONE-ALPES;V300
