Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Coordonnées_STEP_X;Coordonnées_STEP_Y;Coordonnées_REJET_X;Coordonnées_REJET_Y;code_qualité_localisation_rejet;libelle_qualité_localisation_rejet;INSEE_Commune_STEP;Nom_Commune_STEP;Code_Département_STEP;Nom_Région_STEP;Code_Masse_Eau;Nom_Masse_Eau
2008;060930271001;STATION D'EPURATION DE ST JULIEN DE CASSAGNAS;600;Biologique Simple;795843;6345959;795827;6345893;2;Précision +- 500 mètres;30271;ST JULIEN DE CASSAGNAS;30;LANGUEDOC-ROUSSILLON;FRDR397;L'Auzonnet
2008;060970148001;STATION D'EPURATION DE CHEMILLY;80;Décantation primaire ou fosse toutes eaux;926880;6732039;926881;6732034;1;Précision +- 50 mètres;70148;CHEMILLY;70;FRANCHE-COMTE;FRDR1806a;La Saône du Coney à la confluence avec le Salon
2008;060969076002;STATION D'EPURATION DE DOMMARTIN - CHEF LIEU;2000;Biologique Simple;833358;6528417;833377;6528437;1;Précision +- 50 mètres;69076;DOMMARTIN;69;RHONE-ALPES;FRDR11385;ruisseau le maligneux
2008;060913029002;STATION D'EPURATION DE CORNILLON CONFOUX - BASTIDES;100;Filtres plantés;868882;6277275;868848;6277329;1;Précision +- 50 mètres;13029;CORNILLON CONFOUX;13;PROVENCE-ALPES-COTE D'AZUR;FRDR127;La Touloubre du vallat de Boulery  à l'étang de Berre
2008;060901288003;STATION D'EPURATION DE PERON - L'EPINE;4700;Biologique avec nitrification et dénitrification;925611;6568377;925616;6568365;1;Précision +- 50 mètres;01288;PERON;01;RHONE-ALPES;FRDR10075;ruisseau l'annaz
2008;060901208001;STATION D'EPURATION DE LAVOURS;367;Lagunage;914916;6526850;914951;6526737;1;Précision +- 50 mètres;01208;LAVOURS;01;RHONE-ALPES;;
2008;060904046004;STATION D'EPURATION DE LE CHAFFAUT - ESPINOUSE;50;Filtres plantés;951755;6329896;948380;6328584;1;Précision +- 50 mètres;04046;LE CHAFFAUT ST JURSON;04;PROVENCE-ALPES-COTE D'AZUR;FRDR276a;La Bléone du Blès à la confluence avec la Durance
2008;060938347001;STATION D'EPURATION DE ROYBON;450;Lagunage;875462;6464627;875410;6464696;1;Précision +- 50 mètres;38347;ROYBON;38;RHONE-ALPES;FRDR458;La Galaure de sa source au Galaveyson
2008;060920362001;STATION D'EPURATION DE ZONZA - CHEF-LIEU;1500;Biologique Simple;1213606;6091800;1213617;6091824;1;Précision +- 50 mètres;20362;ZONZA;2A;CORSE;FRER31a;Rizzanese de sa source au barrage de Rizzanese
2008;060970530001;STATION D'EPURATION DE VELLECHEVREUX ET COURBENAN;200;Lagunage;965432;6721278;965376;6721283;1;Précision +- 50 mètres;70530;VELLECHEVREUX ET COURBENANS;70;FRANCHE-COMTE;FRDR11922;ruisseau de la prairie
2008;060930144002;STATION D'EPURATION DE LECQUES;300;Biologique Simple;785243;6304430;785193;6304301;2;Précision +- 500 mètres;30144;LECQUES;30;LANGUEDOC-ROUSSILLON;FRDR134a;Le Vidourle de la confluence avec le Brestalou à Sommières
2008;060939422001;STATION D'EPURATION DE PLAINOISEAU;600;Lagunage;895370;6629371;895380;6629382;1;Précision +- 50 mètres;39422;PLAINOISEAU;39;FRANCHE-COMTE;FRDR10489;ruisseau le serein
2008;060939480001;STATION D'EPURATION DE SAINT DIDIER;300;Lagunage;890832;6626172;890823;6626130;1;Précision +- 50 mètres;39480;ST DIDIER;39;FRANCHE-COMTE;FRDR12097;ruisseau de la madeleine
2008;060911177001;STATION D'EPURATION DE JOUCOU;100;Filtres plantés;625074;6192181;624892;6192245;3;Localisation imprécise;11177;JOUCOU;11;LANGUEDOC-ROUSSILLON;FRDR202;Le Rebenty
2008;060920220001;STATION D'EPURATION DE PIEDIGRIGGIO;300;Biologique avec nitrification;1208236;6169676;1208253;6169679;1;Précision +- 50 mètres;20220;PIEDIGRIGGIO;2B;CORSE;FRER69b;Le Golo  de la restitution à la confluence avec l'Asco
2008;060920333001;STATION D'EPURATION DE VALLECALLE;250;Filtres plantés;1220289;6187168;1220292;6187123;1;Précision +- 50 mètres;20333;VALLECALLE;2B;CORSE;FRER11689;ruisseau salinelle
2008;060925624001;STATION D'EPURATION DE VILLERS GRELOT;100;Biologique Simple;943690;6699867;943690;6699867;1;Précision +- 50 mètres;25624;VILLERS GRELOT;25;FRANCHE-COMTE;;
2008;060934259002;STATION D'EPURATION DE ST GEORGES D'ORQUES;7000;Biologique avec nitrification et dénitrification;763118;6278463;763110;6278415;2;Précision +- 500 mètres;34259;ST GEORGES D ORQUES;34;LANGUEDOC-ROUSSILLON;FRDR10956;ruisseau de lassedéron
2008;060939122001;STATION D EPURATION DE CHATILLON;200;Décantation primaire ou fosse toutes eaux;908233;6620672;908233;6620672;1;Précision +- 50 mètres;39122;CHATILLON;39;FRANCHE-COMTE;FRDR503;L'Ain de l'Angillon jusqu'à la retenue de Blye
2008;060971347002;STATION D'EPURATION DE PERREUIL - ETEVOUX;100;Décantation primaire ou fosse toutes eaux;819624;6637666;819615;6637691;2;Précision +- 500 mètres;71347;PERREUIL;71;BOURGOGNE;FRDR10884;ruisseau le foulot
2008;060930311001;STATION D'EPURATION DE SAUVE;3000;Biologique Simple;777550;6315271;777469;6315146;1;Précision +- 50 mètres;30311;SAUVE;30;LANGUEDOC-ROUSSILLON;FRDR136b;Le Vidourle de St Hippolyte à à la confluence avec le Brestalou
2008;060925120002;STATION D'EPURATION DE CHANTRANS;500;Filtres plantés;938773;6665201;938537;6665366;2;Précision +- 500 mètres;25120;CHANTRANS;25;FRANCHE-COMTE;;
2008;060925255001;STATION D'EPURATION DE FOURNETS BLANCHEROCHE;50;Décantation primaire ou fosse toutes eaux;989693;6680995;989693;6680995;3;Localisation imprécise;25255;FOURNET BLANCHEROCHE;25;FRANCHE-COMTE;FRDR635;Le Doubs de l'aval du bassin de Chaillexon au pont de Glere
