source,flow_group,value,basin,pop,target
excretion,excretion,4.583,Metropolitan France,64.8,Sanitation System
residual,residual,0.193,Metropolitan France,64.8,Sanitation System
large industries,large industries,0.116,Metropolitan France,64.8,Sanitation System
Sanitation System,water,1.551,Metropolitan France,64.8,water
Sanitation System,groundwater,0.362,Metropolitan France,64.8,groundwater
Sanitation System,air,2.332,Metropolitan France,64.8,air
Sanitation System,"landfill, incineration..",0.172,Metropolitan France,64.8,"landfill, incineration.."
Sanitation System,recycled,0.479,Metropolitan France,64.8,recycled
