identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
00       44180231;AUBRET;2013;;;165000;
0005302603;PCAS SEQENS;2013;;290000;38400;
0007002964;BORALEX Blendecques SAS;2013;58000;;;
0006508159;KNAUF PLATRES et Cie;2013;240000;;;
0005501783;Galliance Languidic;2013;;;214000;
0005401359;Salzgitter Mannessmann Stainless Tubes France;2013;;294000;25200;
0006601737;Société NESTLE WATERS SUPPLY SUD;2013;2930000;;;
0007000851;LAMINES MARCHANDS EUROPEENS (LME);2013;;486000;26300;
0005101363;ARCELORMITTAL FRANCE;2013;;252000;17600;
0006700583;RICOH INDUSTRIE FRANCE;2013;82900;;76200;
0006800581;CEMEX GRANULATS SUD OUEST;2013;91100;;;
0006502558;SOPRONEM;2013;165000;;21800;
0005500062;dominique Riou;2013;;;71300;
0007201986;SNPE;2013;;1090000;10400;
0006702209;SIVOM agglo mulhousienne Sausheim - UIOM;2013;236000;;;
0006401040;IMERYS Aluminates SA;2013;;;131000;
0006600410;SYNGENTA PRODUCTION FRANCE S.A.S;2013;236000;;27100;
0007000832;MAUBEUGE CONSTRUCTION AUTOMOBILE (MCA);2013;;;217000;
0007001187;GALLOO FRANCE Division Halluin;2013;;;101000;
0005300552;L.N.U.F. BAYEUX;2013;;;208000;
0005301825;COOPERATIVE  ISIGNY STE MERE;2013;89300;;3980;
0006104159;LAFAYETTE - ELM Opérations;2013;180000;;474;
0006300905;SABOURIN SAS;2013;147000;;139000;
0006104664;PAPETERIES DU LEMAN S.A.;2013;3410000;;;
0006102089;STORENGY;2013;2010000;;3670;
0005102581;ROQUETTE  FRERES;2013;1820000;5230000;7770;
0006301614;ARRIVE;2013;;;111000;
0006301413;GALLIANCE ANCENIS;2013;;;128000;
0005100494;NOVABION;2013;;105000;2820;
0006112329;SK Functional Polymer Balan;2013;399000;;;
0010400068;EDF ENR PWT;2013;224000;;6480;
0006506104;HAUGUEL (Distillerie);2013;;648000;2770;
0006600893;OI France;2013;;48600;7090;
0005802301;AIR LIQUIDE HYDROGENE;2013;;;397000;
0005601473;COVIAL SA;2013;;;61100;
0005500681;Capitaine Cook;2013;12300;;49000;
0006500055;Corning SAS;2013;111000;7650;6650;
0006300890;LTR INDUSTRIES;2013;;4470000;14000;
0006401807;Centre Commercial NICE TNL;2013;941000;;;
0006802901;COCA-COLA European Partners;2013;;;171000;
0006106306;LNUF Marques - Usine d'Andrézieux;2013;;;214000;
0006500180;KALHYGE 4 - MNH GROUP;2013;81800;;;
0005201691;GASCOGNE PAPIER;2013;;11500000;131000;
0006103824;SNCF VOYAGEURS- TC AURA- UO de Vénissieux;2013;34800;;25500;
0076830059;STEP - MULHOUSE;2013;442000;;1000;
0022200020;RHUMS MARTINIQUAIS SAINT JAMES;2013;;84100;1180;
0006103291;SNF SA ANDREZIEUX;2013;;;518000;
0005204823;OMYA S.A.S.;2013;51200;;;
0005100430;ELCHAIS ( ex SENSIENT NATURAL ING.;2013;104000;;;
0005100293;EVERBAL PAPETERIE;2013;923000;;1120;
0010400392;SITOM NORD-ISERE (NOUVELLE UNITE);2013;49800;;496;
0006301300;Papeterie le Bourray;2013;;2390000;;
0006700494;STOEFFLER;2013;;;83800;
0006201358;LIBERTY RAIL Hayange;2013;;;94000;
0006300037;CHARIER CM - CARRIERES ET MATERIAUX;2013;526000;;;
0006301731;NOVANDIE;2013;319000;;1590;
0005900536;ARMSTRONG BUILDING PRODUCTS S.A.;2013;190000;;4970;
0005800587;ESSITY OPERATIONS FRANCE;2013;2400000;;35400;
0076613602;STEP - PERPIGNAN;2013;;;78400;
0006400942;Kem One Lavera;2013;;;2320000;
0006301613;FLEURY MICHON LS;2013;;;100000;
0006102463;JINWANG EUROPE;2013;101000;;;
0005801405;COLLET SAS;2013;;98800;1790;
0006506240;Chaufferie de GRENELLE;2013;;1280000;24700;
0074507501;STEP - LA CHAPELLE-SAINT-MESMIN;2013;208000;;809;
0005202342;TORAY CARBONS FIBERS EUROPE SA;2013;185000;;55500;
0006601361;STERIMED;2013;;1630000;14400;
0006103975;Air Liquide France Industrie - site de Feyzin;2013;1710000;;296;
0005101157;Amphastar France Pharmaceuticals;2013;324000;;;
0005101032;PASTACORP (ex RCL - RIVOIRE);2013;76000;;;
0005701282;YTO France;2013;;59900;1650;
0006503289;CALCIA gargenville (cimenterie);2013;;1550000;6780;
0006407785;LABORATOIRES M&L - Manosque;2013;211000;;63100;
0006107516;VALRHONA;2013;387000;;30100;
0006300908;LAFARGEHOLCIM CIMENTS (usine cimenterie);2013;;393000;;
0006802688;BERCOLOR;2013;;95100;;
0006700467;PSA Peugeot Citroën SNC Mulhouse;2013;1450000;;;
0007001926;LFB Biomédicaments;2013;;;260000;
00       74116050;besnier etaux;2013;;;161000;
0009000020;BA 106 Bordeaux-Mérignac;2013;977000;;11500;
0007201789;QUADRIPACK;2013;34200;;25800;
0005501351;NOBELSPORT;2013;;822000;29300;
00       42129001;AOSTE SNC etablissement de Maclas;2013;;;102000;
0005600098;S C B V;2013;147000;;1170;
0005106026;SUEZ Eau Industrielle (ex ONDEO IS);2013;;750000;9530;
0005601310;SARVAL SUD-EST;2013;;131000;46600;
0005701946;DISLAUB;2013;;374000;;
0006401906;Usine du Gargalon;2013;;388000;;
0007000582;BRASSERIE DE SAINT-OMER;2013;588000;;1520;
0005101637;OLEON (ex NOVANCE);2013;348000;;4520;
0009000208;ONERA;2013;;5230000;;
0005501190;SOCABAQ;2013;;;52000;
0007405749;ELIS;2013;;;72100;
0007201267;BONILAIT PROTEINES;2013;471000;121000;2430;
0006700513;BUTACHIMIE;2013;22600000;4880000;;
0007000798;ENERSYS SARL;2013;;;65600;
0005301347;FLORENTAISE;2013;;21900000;;
0006700403;ROSSMANN Sainte-Croix-aux-Mines;2013;;313000;29200;
0006301151;SOCOPA VIANDES Site d'EVRON;2013;;;290000;
0005801000;JANSSEN CILAG;2013;;;136000;
0007000789;POLYNT COMPOSITES FRANCE;2013;;;176000;
0006102871;ASCOMETAL usine d' ALLEVARD;2013;40800;;14200;
0007002204;BIO RAD;2013;;;51500;
0007000987;VENATOR Pigments France;2013;;152000;8650;
0006600055;MAJ ELIS;2013;98800;;25600;
0006104259;Givaudan Lavirotte (Groupe ISALTIS);2013;70500;;139000;
