identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0006700781;SOPREMA SAS;2009;1400000;0;4400;0
00       32013023;SOGA;2009;0;0;50400;0
0005800375;ASHLAND SPECIALTIES France;2009;565000;0;1480;0
0005402093;GSM BOURGOGNE;2009;133000;0;0;0
0005206239;Gascogne Bois;2009;352000;0;0;0
0006802373;CNES - Centre Spatial de Toulouse (CST);2009;0;0;101000;0
0006502739;OUVRE FILS Sucrerie et Distillerie;2009;50700;26200;7530;0
0007000553;VERHAEGHE INDUSTRIES;2009;245000;0;0;0
0010000765;SYNTHRON;2009;217000;0;0;0
0005601304;PUIGRENIER ABATTOIR BOVIN;2009;0;0;61500;0
00       48094011;Société Fromagère du Massegros;2009;0;0;167000;0
0075147401;STEP REIMS;2009;305000;0;0;0
0007000706;SCORA;2009;0;0;103000;0
0006401079;ELENGY (TONKIN);2009;0;0;39500;111000000
0005901243;EUROSERUM;2009;0;1150000;0;0
0005101668;ARKEMA;2009;0;0;86500;0
0007406008;SNCF Technicentre Atlantique;2009;0;0;114000;0
0006700561;STOEFFLER;2009;0;0;86700;0
0006103780;SARL SENSZO;2009;0;0;52500;0
0006301151;SOCOPA VIANDES Site d'EVRON;2009;0;0;331000;0
0006104664;PAPETERIES DU LEMAN S.A.;2009;3320000;0;22600;0
0005901113;CONFLANDEY INDUSTRIES SAS;2009;0;1280000;0;0
0006400245;SOMECA;2009;0;0;158000;0
0010001674;SANOFI WINTHROP INDUSTRIE;2009;0;0;90500;0
0006500180;KALHYGE 4 - MNH GROUP;2009;97300;0;0;0
0010001266;LAITERIE DE SAINT DENIS DE L'HOTEL;2009;538000;0;0;0
0005800607;BOREALIS CHIMIE;2009;0;9410000;114000;0
0005302774;BOLAIDOR Sté Laitière du Bocage Ornais;2009;11100;51100;7600;0
00       25531010;FROMAGERIE DE CLERVAL;2009;372000;0;8920;0
0006301011;FROMAGERE DE BOUVRON (société);2009;0;0;375000;0
0005204095;CEMEX GRANULATS SUD OUEST;2009;0;481000;0;0
0006104158;HCL - GROUPEMENT HOSPITALIER EST;2009;0;0;253000;0
0005900642;F2J JAPY;2009;0;550000;18700;0
0006204953;ELIS LORRAINE/PIERRETTE TBA;2009;0;0;161000;0
0006104364;OCV CHAMBERY (Usine C);2009;131000;0;7350;0
0005800439;CHEVRON ORONITE SAS;2009;0;737000;70800;0
0006501121;REP;2009;175000;0;4700;0
0006502609;WILLIAM SAURIN;2009;474000;0;5400;0
0005401230;Groupe BIGARD;2009;0;0;266000;0
0006103727;ELKEM SILICONES FRANCE SAS;2009;2510000;0;0;0
0006407694;le Panier Provencal;2009;211000;0;956;0
0006400942;Kem One Lavera;2009;0;0;1980000;0
0006103108;VICAT;2009;368000;0;8110;0
0006601281;SAIPOL;2009;0;0;490000;0
0005501265;SCO;2009;45200;0;149000;0
0006104660;BAIKOWSKI;2009;0;0;146000;0
0006103291;SNF SA ANDREZIEUX;2009;0;0;340000;0
0005101507;SYNTHOS ( ex INEOS STYRENICS);2009;111000;120000;1170;0
0006301207;TOTAL Raffinage France;2009;0;0;3620000;0
0005600390;PAPETERIES DE GIROUX  SA;2009;0;379000;0;0
0005600197;TANNERIES DU PUY SAS;2009;0;141000;20400;0
0005500149;LOUDEAC VIANDES;2009;0;0;187000;0
0007100049;ALBIOMA ALG Centrale thermique;2009;730000;0;2110000;0
0009052100;DGA Essais de missiles - site Gironde;2009;50500;0;2250;0
0005501682;GROUPE ROCHER OPERATIONS;2009;0;0;116000;0
0005100430;ELCHAIS ( ex SENSIENT NATURAL ING.;2009;110000;0;0;0
0005800523;NESTLE France;2009;1070000;0;7790;0
0005600465;EUROPAFI;2009;0;537000;0;0
0006206616;ELIVIA ETABLISSEMENT MIRECOURT;2009;0;0;115000;0
0005100467;GAVEL;2009;15900;675000;5080;0
0005500194;SAS LE PLENIER BOSCHER;2009;0;0;231000;0
0005101268;FINISHTEX;2009;66600;0;791;0
0077649801;STEP - LE PETIT-QUEVILLY;2009;259000;0;0;0
0009000037;BA 123 Orléans;2009;50000;0;34000;0
0010400104;NOVAPEX;2009;9010000;0;0;0
0005100611;CENTRE HOSPITALIER GENERAL;2009;0;0;122000;0
0007001046;LESIEUR;2009;0;1190000;446000;0
0006104679;TEFAL SA;2009;0;0;367000;0
0006505930;HUTCHINSON - Persan;2009;0;168000;34600;0
0006506454;CPCU ST OUEN I & II;2009;0;1170000;5690;0
0007000922;VENATOR (Ex Huntsman P&A France);2009;0;0;4010000;0
0006300950;STELIA AEROSPACE;2009;0;0;54700;0
0010000575;LINAMAR LIGHT METALS / MONTUPET;2009;101000;0;0;0
0007203112;LES LAVANDIERES (Enseigne ELIS);2009;0;0;92300;0
0006301259;JEAN ROUTHIAU;2009;0;0;68900;0
0010001801;VALCANTE;2009;38000;0;30700;0
0007001038;Jean CABY;2009;270000;0;11000;0
0006105232;MAJ ELIS RHONE-ALPES;2009;121000;0;544;0
0006700323;GSM ALSACE Rumersheim-le-Haut;2009;0;1310000;0;0
0006302293;Fromagerie de Vihiers;2009;0;0;57500;0
0006104473;MSSA S.A.S.;2009;0;790000;5910;0
0005701128;PEUGEOT CITROEN MECANIQUE DE L'EST SNC;2009;346000;0;0;0
0006700526;ARLANXEO Emulsion Rubber France SAS;2009;2280000;0;0;0
0011000005;TEINTURES ET APPRETS DANJOUX;2009;0;133000;24500;0
0007201986;SNPE;2009;0;1040000;23400;0
0006102813;TRIVIUM ALUMINIUM PACKAGING France;2009;213000;0;1650;0
0006400772;ARDAGH METAL BEVERAGE FRANCE SAS;2009;0;0;127000;0
0007000936;TEREOS Sucrerie de Lillers;2009;480000;0;4750;0
0005500851;Gad SAS Site de Lampaul-Guimiliau;2009;51300;199000;137000;0
0006105226;ADISSEO PS;2009;12900000;0;0;0
0005800973;CINRAM OPTICAL DISCS;2009;104000;0;21800;0
0006300909;LNUF Lactalis Nestlé Ultra-Frais Laval;2009;0;0;195000;0
0006400414;SUEZ RV ENERGIE;2009;14300;0;79900;0
0005204189;CEMEX GRANULATS SUD OUEST;2009;0;680000;0;0
0006512239;SOURCE CHANTEREINE;2009;455000;0;0;0
0005701552;ADM Bazancourt SASU;2009;870000;0;0;0
0006702209;SIVOM agglo mulhousienne Sausheim - UIOM;2009;247000;0;0;0
0006400463;AZUR DISTILLATION;2009;15300;0;53100;0
00       44150001;DELABLI - Division DELPIERRE;2009;0;0;80000;0
0006200921;RHOVYL;2009;34700;124000;0;0
0005503362;AQUADIS NATURELLEMENT SAS;2009;2120;463000;14100;0
0007001044;LNUF Marques - Cuincy;2009;459000;0;3220;0
0007000655;Ets BELLIER et Cie;2009;0;0;156000;0
0005401056;BIOXAL;2009;115000;0;1200;0
0006301300;Papeterie le Bourray;2009;0;2280000;0;0
0010004249;HUTCHINSON;2009;0;472000;30800;0
0007100060;COMPAGNIE LAITIERE DES MASCAREIGNES;2009;372000;0;42900;0
0006802805;AJINOMOTO FROZEN FOODS FRANCE (Labeyrie);2009;0;0;52800;0
0010000702;MICHELIN;2009;140000;0;0;0
0006103406;Les Eaux Minérales de Saint Alban;2009;124000;0;461000;0
0005515356;KERMENE;2009;0;0;89100;0
0006700800;BRASSERIE METEOR;2009;26400;28200;228000;0
0005100143;WEPA GREENFIELD SAS;2009;987000;0;0;0
0007201384;MARIE SURGELES;2009;0;0;157000;0
0007201267;BONILAIT PROTEINES;2009;985000;110000;2580;0
0006802285;SAS GELATINES WEISHARDT;2009;605000;735000;0;0
0006503345;LINXENS FRANCE;2009;64100;0;3450;0
0005500031;ELIS BRETAGNE (STE);2009;0;0;89500;0
0006400839;SANOFI CHIMIE;2009;0;394000;63300;0
0005205103;ARKEMA  France SA;2009;0;1110000;64500;0
0005401545;PORTERET BEAULIEU INDUSTRIE;2009;0;70000;0;0
0006104583;ALPINE ALUMINIUM;2009;0;1000000;6420;0
0005200351;SIMOREP & CIE- CS MICHELIN;2009;751000;321000;20900;0
0006103953;Cibévial sa;2009;0;0;87400;0
