identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0005500887;Marine Harvest Kritsen;2015;17100;;65700;
0009000020;BA 106 Bordeaux-Mérignac;2015;65700;;;
0010600538;HCL HOPITAL LYON SUD;2015;;;200000;
0005500917;SAVEL INDUSTRIES;2015;;;55300;
0005600288;UNIFRAX;2015;;78200;1000;
0006700467;PSA Peugeot Citroën SNC Mulhouse;2015;1180000;;;
0006002605;SILAB - STE INDUSTRIELLE LIMOUSINE;2015;;470;66400;
0005302849;LACTALIS NESTLE ULTRA FRAIS MARQUES;2015;478000;;;
0006505584;PLACOPLATRE;2015;77500;;11700;
00       61169002;CHARAL;2015;;;117000;
0006112348;NOVACYL - Etablissement de Saint-Fons;2015;;;1840000;
0006400055;Sté ELIS SANTE ROUSSET;2015;;;125000;
0006401338;GROUPE BIGARD;2015;;;79000;
0006700657;ETC Ennoblissement Technique Cernay;2015;110000;;478;
0007201348;RHODIA  OPERATIONS (Groupe SOLVAY);2015;1480000;;41700;
0005701132;FONTE ARDENNAISE FA5;2015;42600;;9370;
0006501169;TOTAL Raffinage France;2015;1790000;;337000;
0006400405;GERFLOR PROVENCE SNC;2015;364000;;3700;
0007408607;ELIS PANTIN;2015;173000;;6500;
0006300949;AIRBUS OPERATIONS SAS;2015;;;108000;
00       24370002;FROMAGERIE DES CHAUMES;2015;;;228000;
0006102805;FONDERIE GIROUD INDUSTRIE;2015;51400;;547;
0010000002;MBDA France;2015;33500;;18800;
0006206788;CHR Metz-Thionville site de Thionville Hôpital Bel Air;2015;;;170000;
0007202099;REVICO;2015;;116000;;
0005202000;RAYONIER A.M. TARTAS;2015;4710000;5820000;53600;
0006506043;CGECP;2015;178000;;23000;
0005201691;GASCOGNE PAPIER;2015;;11200000;151000;
0006401567;LAFARGEHOLCIM CIMENTS;2015;;217000;;
00       61138004;TRAITEUR DE LA TOUQUES;2015;;;66900;
0006401556;ORANGINA SUNTORY FRANCE PRODUCTION;2015;510000;;791;
0006300905;SABOURIN SAS;2015;109000;;179000;
0006201561;UEM;2015;52100;15000000;77000;
0005204338;LAFARGE GRANULATS FRANCE  SAS;2015;187000;;;
0006105223;ADISSEO FRANCE SAS;2015;3140000;;;
0007201189;COOPERL ARC ATLANTIQUE;2015;;;245000;
0006700642;ESSITY (ex TISSUE FRANCE);2015;986000;;9500;
0010000043;LES VOLAILLES DE BLANCAFORT;2015;111000;;;
0005700724;MAC CAIN ALIMENTAIRE SAS;2015;957000;;;
0005501795;UFM - UNION FERMIERE MORBIHANNAISE SAS;2015;93600;;296000;
0010001762;Usine des eaux de Blois;2015;1700000;2600000;75100;
0005500759;TIPIAK PCS Cornouaille;2015;2460;;66300;
0006301099;CET;2015;;273000;;
0006100944;CEMEX Granulats Rhône Méditerranée;2015;58800;;;
0005202274;RAYNAL ET ROQUELAURE;2015;;130000;38;
0006103223;GRENOBLE-ALPES METROPOLE;2015;139000;;3800;
0006401133;ABC INDUSTRIE;2015;146000;;15300;
0010300132;BONTOUX S.A.S;2015;;;86700;
0005105788;WEYLCHEM LAMOTTE (ex CLARIANT SFC);2015;;3480000;;
0007000627;LIONOR S.A.;2015;;;59900;
0007000582;BRASSERIE DE SAINT-OMER;2015;540000;;3;
0006202229;PAPETERIES DE CLAIREFONTAINE;2015;;2520000;23600;
0006600672;SIRAP GEMA;2015;43500;;13300;
0005200592;SAFT SAS;2015;38400;;87600;
0006103972;PLYMOUTH FRANCAISE;2015;124000;;;
0007402245;CLIMESPACE - Centrale LES HALLES  (i738);2015;;;188000;
0009000040;BA 133 Nancy;2015;;69300;;
0005201764;CHEMVIRON;2015;437000;;5630;
0005901100;FIDAY GESTION;2015;2910;260000;43200;
0005300074;SOCIETE DES CARRIERES DE VIGNATS;2015;58600;;6370;
0006207572;INEOS Polymers SARRALBE SAS;2015;;2440000;35700;
0006400069;STMICROELECTRONICS SAS;2015;;;1630000;
0005300052;CIMENTS CALCIA;2015;5370;123000;3780;
0007000991;HERTA;2015;;;457000;
0005100143;WEPA GREENFIELD SAS;2015;1050000;;;
0022200064;SNYL (Sté Nouvelle des Yaourts Littée);2015;;;55300;
0007000483;ARKEMA FRANCE;2015;;2670000;10700;
0006400913;IMERYS PCC France  (ex Solvay SF ex-CCP);2015;;1000000;135000;
0007201195;SODEM;2015;;;75300;
0006700688;HEINEKEN ENTREPRISE SAS;2015;581000;;16;
0006802302;STE TUELACAU;2015;152000;;;
0005304386;NESTLE HEALTH SCIENCE FRANCE;2015;202000;;;
0005101523;BELL usine de Russy-Bémont;2015;232000;;;
0005802143;EDF;2015;;;1200000;340000000
0007100966;SICABAT;2015;7260;;91500;
0006501584;THIMEAU MAGIC RAMBO-ELIS;2015;155000;;5350;
0005105241;COFELY GDF SUEZ;2015;;;94000;
0005500062;dominique Riou;2015;;;81900;
0005701719;TEREOS FRANCE;2015;97300;;220000;
00       25041001;Coopérative des MONTS DE JOUX;2015;;102000;110000;
0005201604;SERETRAM;2015;199000;;19300;
0010002287;SABLIERE DE L'ILE AU PAGE-carrière;2015;1090;60600;;
0006400001;ALTEO GARDANNE;2015;140000;2810000;60000;
0006700403;ROSSMANN Sainte-Croix-aux-Mines;2015;;287000;17700;
0005200898;HOPITAL ROBERT BOULIN;2015;80200;;105000;
0007402350;CPCU ST-OUEN III;2015;;1950000;;
0005502077;CELVIA SERENT;2015;;;82200;
0006504715;Eau du Sud Parisien ESP;2015;1820000;42000000;;
0005600136;QUALIPAC AURILLAC;2015;;;75900;
0005701467;CHARBONNEAUX BRABANT SA;2015;;;95200;
0005102374;BONDUELLE EUROPE LONG LIFE;2015;3150000;;;
0007000516;DOUAISIENNE D'ABATTAGE;2015;;;56000;
0006700082;QUARTZ D'ALSACE;2015;1830000;;81;
0077649801;STEP - LE PETIT-QUEVILLY;2015;169000;;;
0005501608;RONSARD SAS;2015;231000;;96900;
0005300004;ATEMAX France - Usine de St Langis;2015;;;68400;
0005702108;LACOSTE OPERATIONS;2015;282000;;;
0007201562;LOEUL PIRIOT;2015;;;66500;
0005801573;MALTERIES SOUFFLET;2015;402000;;882;
0005600197;TANNERIES DU PUY SAS;2015;;274000;15300;
0022200044;SARA raffinerie;2015;;;252000;
0006506240;Chaufferie de GRENELLE;2015;;1320000;21600;
0010001118;ORANGINA SUNTORY FRANCE PROD;2015;699000;;2060;
0005800540;DA ALIZAY;2015;3710000;;9790;
0006102492;thierry gensel;2015;193000;;110;
0005901380;HENDRICKSON FRANCE (ex Frauenthal);2015;;481000;1710;
0006400772;ARDAGH METAL BEVERAGE FRANCE SAS;2015;;;141000;
0007001139;C&D FOODS France;2015;;;318000;
0010300110;REFRESCO Site de Margès;2015;626000;;3640;
0006302265;TOQUE ANGEVINE (LA);2015;;;84700;
0006300970;VIOL S.A.;2015;101000;;;
0006303873;CHARIER CM - CARRIERES ET MATERIAUX;2015;70600;;;
0006602347;MAISON JOHANES BOUBEE;2015;;;50200;
0006202256;OI Manufacturing France;2015;;467000;32500;
0006104367;PLACOPLATRE;2015;174000;;3530;
0005600465;EUROPAFI;2015;;645000;;
0005500488;Site d'Yffiniac;2015;;;206000;
0006102715;GERFLOR PROVENCE SNC;2015;132000;;17300;
0005901243;EUROSERUM;2015;;1430000;;
0007000745;AHLSTROM Specialities;2015;1450000;604000;6330;
0006503268;RENAULT FLINS;2015;40;959000;46900;
0006300888;ALVA;2015;;;97700;
0006401007;COMPAGNIE PETROCHIMIQUE DE BERRE SAS;2015;;6240000;90200;
0005600069;AMIS SAS;2015;;121000;7890;
0007002480;ROLL-GOM SAS (ex GUITEL);2015;50100;;1640;
0006201556;SOCIETE MECANIQUE AUTOMOBILE DE L EST (SMAE);2015;61900;;10500;
0010002647;SMB - Prasville;2015;104000;;;
0005800096;CEMEX GRANULATS;2015;;654000;;
0007001078;SPAC;2015;;;72800;
0052401932;ARCADIE SUD OUEST THIVIERS;2015;196;;73000;
0005101555;NORCHIM;2015;;174000;2320;
0010000765;SYNTHRON;2015;127000;;;
0010000793;ALLAIRE;2015;163000;;1750;
0010001418;DELPHARM (ex FAMAR);2015;;;106000;
0057908818;SAS SOFIVO;2015;233000;;4930;
0007001047;CEREC;2015;;144000;3940;
0005202289;LHOIST FRANCE OUEST;2015;;48600;3870;
0005202193;SAS LES JUS DU SOLEIL;2015;;235000;167000;
0005901072;GALVANOPLAST;2015;60200;;871;
0053600436;LAITERIE DE VARENNES (SA);2015;342000;;86100;
0005204306;SIBELCO France SAS;2015;;66200;;
0006202170;NESTLE WATERS SUPPLY EST Contrexéville;2015;174000;;;
0007206418;DANISCO_IFF;2015;738000;;24200;
0052904385;CONSERVERIE CHANCERELLE (usine Thon);2015;18800;;52300;
0007000854;BALL PACKAGING EUROPE BIERNE SAS;2015;;;144000;
0005301510;SOCIETE FROMAGERE DE SAINTE CECILE;2015;;;340000;
0055601718;CAPITAINE HOUAT;2015;;;110000;
0005206997;L.N.U.F. MONTAYRAL;2015;;;130000;
0006103837;Robert BOSCH France SAS - Usine de Vénissieux;2015;135000;;2070;
0006103213;SERGE FERRARI SAS;2015;504000;;;
0005302358;SOPARCO;2015;456000;;;
0005702106;FRANCE TEINTURE (ex. T.D.C.);2015;;258000;;
0057400291;FROMAGERIE DES HAUTS DE SAVOIE;2015;;;117000;
0006803850;ARCADIE SUD OUEST PRODUITS ELABORES;2015;;;60200;
0005800290;CABOT CARBONE SAS;2015;;544000;8380;
