code_WWTP,name_WWTP,capacity,cumulative_capacity,rank_STEU,percent_cumulative_capacity,percent_rank,basin
028837200815,RAON-L'ETAPE-BERTRICHAMPS,16187.000000000002,5.094448999999999,69,75.1,8.3,Rhin-Meuse
025715900146,CREHANGE,16166.000000000002,5.110614999999999,70,75.3,8.4,Rhin-Meuse
026712801347,ERNOLSHEIM-SUR-BRUCHE,15750,5.126364999999999,71,75.5,8.6,Rhin-Meuse
026830901663,SIERENTZ,15750,5.142114999999999,72,75.8,8.7,Rhin-Meuse
025427301454,JARNY,15633,5.157747999999999,73,76,8.8,Rhin-Meuse
028832101645,NEUFCHATEAU,15376,5.173123999999999,74,76.2,8.9,Rhin-Meuse
028846501739,THAON-LES-VOSGES,15200,5.188323999999999,75,76.4,9,Rhin-Meuse
028846802594,LE THILLOT,14833.333333333334,5.2031573333333325,76,76.7,9.2,Rhin-Meuse
025774602119,WILLERWALD,14666.666666666668,5.217823999999999,77,76.9,9.3,Rhin-Meuse
026737200761,PFAFFENHOFFEN,14583,5.232406999999999,78,77.1,9.4,Rhin-Meuse
025409901483,BRIEY,14377,5.246783999999999,79,77.3,9.5,Rhin-Meuse
026717301445,GRIESHEIM-SUR-SOUFFEL,14350,5.261133999999999,80,77.5,9.6,Rhin-Meuse
026700101841,ACHENHEIM,14080,5.275213999999999,81,77.7,9.8,Rhin-Meuse
028836700498,RAMBERVILLERS,14000,5.289213999999999,82,77.9,9.9,Rhin-Meuse
020836301220,REVIN,13635,5.302848999999999,83,78.1,10,Rhin-Meuse
020822201356,FUMAY,13500,5.316348999999999,84,78.3,10.1,Rhin-Meuse
026729202258,MIETESHEIM,13233.333333333334,5.329582333333332,85,78.5,10.2,Rhin-Meuse
026728901967,MENCHHOFFEN,13166.666666666668,5.342748999999999,86,78.7,10.4,Rhin-Meuse
026741100816,ROSHEIM,13125,5.355873999999999,87,78.9,10.5,Rhin-Meuse
026744800762,SCHIRMECK,13066.000000000002,5.368939999999999,88,79.1,10.6,Rhin-Meuse
028807501233,LA BRESSE,12600,5.381539999999999,89,79.3,10.7,Rhin-Meuse
025722401662,FOLSCHVILLER,12150,5.393689999999999,90,79.5,10.8,Rhin-Meuse
026732400361,NIEDERBRONN,12000,5.405689999999999,91,79.7,11,Rhin-Meuse
026719200328,HERBSHEIM,11666.000000000002,5.417355999999999,92,79.8,11.1,Rhin-Meuse
025454901405,VARANGEVILLE,11500,5.428855999999999,93,80,11.2,Rhin-Meuse
026709501456,DIEMERINGEN,11475,5.440330999999999,94,80.2,11.3,Rhin-Meuse
026728100845,MARCKOLSHEIM,11375,5.451705999999999,95,80.3,11.4,Rhin-Meuse
026826900454,RIBEAUVILLE,11300,5.463005999999999,96,80.5,11.6,Rhin-Meuse
025512200097,COMMERCY,11200,5.474205999999999,97,80.7,11.7,Rhin-Meuse
025415901524,DOMBASLE-SUR-MEURTHE,11160,5.485365999999999,98,80.8,11.8,Rhin-Meuse
020849102210,VRIGNE-AUX-BOIS,11000,5.496365999999999,99,81,11.9,Rhin-Meuse
025728801776,HAM-SOUS-VARSBERG,10980,5.507345999999999,100,81.1,12,Rhin-Meuse
026716302270,GOUGENHEIM,10916.666666666668,5.518262666666666,101,81.3,12.2,Rhin-Meuse
020842903460,SORMONNE,10833.333333333334,5.529095999999999,102,81.5,12.3,Rhin-Meuse
026715402035,GERSTHEIM,10833.333333333334,5.539929333333332,103,81.6,12.4,Rhin-Meuse
025733600198,L'HOPITAL,10790,5.5507193333333325,104,81.8,12.5,Rhin-Meuse
028815801225,ELOYES,10687,5.561406333333332,105,81.9,12.7,Rhin-Meuse
026708901242,DETTWILLER,10620.000000000002,5.572026333333332,106,82.1,12.8,Rhin-Meuse
025738001952,LANEUVEVILLE-LES-LORQUIN,10533.333333333334,5.582559666666665,107,82.3,12.9,Rhin-Meuse
028809002410,CHARMES,10083.333333333334,5.592642999999998,108,82.4,13,Rhin-Meuse
026743402593,SARRESUD,10000,5.602642999999998,109,82.6,13.1,Rhin-Meuse
025511100096,CHAUVONCOURT/SAINT-MIHIEL,9855,5.612497999999998,110,82.7,13.3,Rhin-Meuse
