identifiant;nom_etablissement;annee;prelevements_eaux_souterraines;prelevements_eaux_surface;prelevements_reseau_distribution;prelevements_mer
0010001832;SNV site de Volabraye;2008;175000;0;347;0
0005702103;PETIT BATEAU;2008;215000;0;2850;0
0007000704;MINAKEM BEUVRY PRODUCTION;2008;55500;0;19000;0
0006301217;EDF SA;2008;0;1070000000;940000;0
0005500759;TIPIAK PCS Cornouaille;2008;6480;0;56600;0
0007000958;ARCELORMITTAL ATLANTIQUE et LORRAINE;2008;96500;0;2700;0
0005600267;PEM;2008;0;1110;49900;0
0005801044;DS SMITH;2008;1230000;1760000;0;0
0006505752;PAUL PREDAULT;2008;25100;0;26700;0
0006301564;FROMAGERIES LESCURE;2008;3670;59600;39400;0
0007402241;UNITE PLACOPLATRE;2008;354000;0;105000;0
0006202551;BONGRAIN GERARD;2008;90100;209000;158000;0
0006102733;KALISTRUT AEROSPACE;2008;329000;0;5200;0
0006600459;KONINGS SPIRIT & DRINKS FRANCE;2008;49000;0;3480;0
0006400486;NATUREX;2008;25900;0;33200;0
0006102564;BOIRON FAUGIER G.I.E;2008;518000;0;11000;0
0005101253;AUTONEUM;2008;123000;0;15900;0
0016500081;CF&R;2008;0;0;297000;0
0006102858;CONDAT SA;2008;113000;0;0;0
0006402363;Air Liquide France Industrie;2008;0;0;199000;0
0006302023;CHAUCER FOODS SA;2008;68000;0;0;0
0007203128;AVI-CHARENTE;2008;0;0;211000;0
0007202957;PAPETERIES DE VEUZE;2008;0;1440000;0;0
0006600262;LAFARGE HOLCIM;2008;0;0;139000;0
0005901400;VON ROLL ISOLA FRANCE;2008;180000;0;4260000;0
0006103727;ELKEM SILICONES FRANCE SAS;2008;4160000;0;117000;0
0010001800;Amandine BALTHAZARD;2008;0;490000;21200;0
0006802339;YEO FRAIS;2008;0;0;471000;0
0006202070;SITPA SAS;2008;30700;31300;163000;0
0006201311;SETFORGE SOCIETE NOUVELLE;2008;0;0;147000;0
0006700467;PSA Peugeot Citroën SNC Mulhouse;2008;2210000;0;0;0
0006200922;SODETAL AWT;2008;0;19900;193000;0
0007000987;VENATOR Pigments France;2008;0;158000;6690;0
0005502078;SNC SALAISONS CELTIQUES;2008;133000;0;19300;0
0005503363;Marine Harvest Kritsen;2008;65200;0;58000;0
0006302028;TANNERIE DE VIVOIN SASU;2008;240000;0;829;0
0005300806;ARKEMA;2008;0;0;375000;0
0006103856;IFP ENERGIES NOUVELLES ETS DE LYON;2008;494000;0;22300;0
0024700075;R.G.V MACON;2008;139000;0;0;0
0006301139;BSN medical SAS;2008;0;111000;9840;0
0005508872;BERNARD SAS (salaisons);2008;0;0;115000;0
0007201170;MILLEMIUM COMPAGNY;2008;0;0;53500;0
00       75664050;LABEYRIE;2008;0;0;102000;0
0006700677;Charcuterie Alsacienne de Molsheim ILLER S.A;2008;0;0;92800;0
0079545001;STEP - NEUVILLE sur Oise.;2008;0;0;11800000;0
0005500107;COOPERL ARC ATLANTIQUE;2008;0;0;520000;0
0007000445;DSM Food Specialties;2008;1100000;0;21600;0
0006400488;Papeteries de Gromelle;2008;0;448000;2620;0
0006301613;FLEURY MICHON LS;2008;0;0;112000;0
0006103174;SCHAEFFLER CHAIN DRIVE SYSTEMS;2008;0;104000;1200;0
0005801058;PRYSMIAN CABLES ET SYSTEMES FRANCE;2008;788000;0;10200;0
00       49003604;CHARAL;2008;29500;0;199000;0
0005800666;SANOFI  PASTEUR SA;2008;0;0;315000;0
0005201375;O-I France SAS;2008;129000;0;0;0
0006301496;VOLAILLES Rémi Ramon;2008;0;0;84500;0
0005600369;VALEO SYSTEMES D'ESSUYAGE;2008;0;0;119000;0
0005503619;ELIS LOCALINGE;2008;106000;0;10700;0
0010000702;MICHELIN;2008;193000;0;0;0
0005401289;PRYSMIAN;2008;215000;0;14900;0
0006302129;UIOM de La Roseraie;2008;0;0;56100;0
0006508918;Centre CEA Paris-Saclay - Site de Saclay;2008;0;656000;1130000;0
0005702999;SAIPOL;2008;411000;0;9700;0
0005202851;EMAC;2008;0;90000;19000;0
0010001118;ORANGINA SUNTORY FRANCE PROD;2008;707000;0;1230;0
0005100466;INTERSNACK FRANCE ex-VICO SA;2008;530000;0;0;0
0005401335;SUMIRIKO Rubber Compounding France;2008;746000;0;17700;0
0006301001;SNV;2008;104000;0;29800;0
0005701322;BONGRAIN GERARD (usine);2008;437000;0;0;0
0005300074;SOCIETE DES CARRIERES DE VIGNATS;2008;74900;0;12600;0
0007100593;EDF-SEI;2008;339000;0;4750;0
0006503325;SEQENS (ex PCAS );2008;0;0;61300;0
0006102245;TORAY FILMS EUROPE SAS;2008;4090000;0;0;0
0006102152;CARRIER SCS;2008;246000;0;11500;0
0006400155;GRAP'SUD La Crau;2008;0;0;67000;0
00       87075001;LAITERIE LES FAYES;2008;8500;0;120000;0
0005401298;EURIAL ULTRA FRAIS;2008;478000;0;176000;0
0005800437;ORFEVRERIE CHRISTOFLE;2008;49300;0;804;0
0010700305;LANXESS Epierre;2008;890000;0;444;0
0005302025;MLC;2008;202000;0;0;0
0006700663;CRISTAL UNION;2008;2030000;0;0;0
0007000633;VTFR Tuberie d'Aulnoye;2008;0;0;65200;0
0005200064;BERNARD DUMAS SAS;2008;0;360000;197;0
0006300949;AIRBUS OPERATIONS SAS;2008;0;0;166000;0
0007000508;COMILOG ex Dunkerque Electrométallurgie;2008;13100;0;54800;0
0006700428;CENPA SAS;2008;0;1060000;35200;0
0005601306;ARRIVE AUVERGNE;2008;0;0;85700;0
0006802901;COCA-COLA European Partners;2008;0;0;140000;0
0006401040;IMERYS Aluminates SA;2008;0;0;149000;0
0010001240;JOHN DEERE;2008;0;0;63100;0
0005500887;Marine Harvest Kritsen;2008;10100;0;61000;0
0006103851;TOKAI CARBON SAVOIE;2008;69900;0;5350;0
0005901933;ALSTOM TRANSPORT;2008;54700;0;5940;0
0006803824;EUROSERUM;2008;0;0;118000;0
0006802238;VOA VERRERIE OUVRIERE D' ALBI SA;2008;15800;0;70500;0
0007001735;FILARTOIS;2008;0;0;64300;0
0006600430;Société EXPANSIA;2008;1180000;0;3340;0
0007402779;MAJ BLANCHISSERIE DE PANTIN;2008;0;0;87300;0
0006802197;LES DELICES D'AUZAN;2008;0;0;190000;0
00       87085001;REGIE MUNICIPALE DE L'ABATTOIR DE LIMOGES;2008;0;0;98300;0
0005101668;ARKEMA;2008;0;0;55000;0
0007001047;CEREC;2008;0;229000;0;0
0005503332;VAPRAN SAS;2008;0;0;68400;0
0005301497;ELECTROPOLI FRANCE;2008;32500;0;51400;0
0006700589;COPVIAL SAS;2008;0;0;85800;0
0005500769;JRS  MARINE PRODUCTS LANDERNEAU;2008;0;1170000;2750;0
0006400411;RAYNAL et ROQUELAURE Provence;2008;563000;0;0;0
0006301093;TESSIER;2008;259000;168000;0;0
0006802805;AJINOMOTO FROZEN FOODS FRANCE (Labeyrie);2008;0;0;63000;0
0005302774;BOLAIDOR Sté Laitière du Bocage Ornais;2008;8820;42100;6890;0
0005701719;TEREOS FRANCE;2008;86500;0;256000;0
00       24053001;SOBEVAL;2008;104000;0;0;0
0005901430;LISI AUTOMOTIVE FORMER Prépa Matière;2008;54800;0;979;0
0005101240;HERMES BOISSONS (ex TROPICANA);2008;101000;0;2640;0
0007000985;CRODA CHOCQUES SAS;2008;232000;0;0;0
0005301825;COOPERATIVE  ISIGNY STE MERE;2008;84000;0;2300;0
0006300416;ARDOISIERES D'ANGERS;2008;282000;252000;3590;0
0005401426;TERREAL SAS;2008;0;75600;41000;0
0005501461;ENTREMONT;2008;0;0;567000;0
0005600309;TRADIVAL;2008;0;0;170000;0
0006102813;TRIVIUM ALUMINIUM PACKAGING France;2008;289000;0;1910;0
00       40282001;FERMIERS LANDAIS SAS;2008;0;0;131000;0
