identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite;unite
0005701054;MAGOTTEAUX S.A.;Production de déchets non dangereux;2008;R13;R13 Stockage de déchets préalablement à l'une des opérations numérotées R 1 à R 12 (à l'exclusion du stockage temporaire, avant collecte, sur le site de production);;;9;Déchets banals des entreprises;326.4;t/an
0005201939;BIOLANDES TECHNOLOGIES SAS;Production de déchets non dangereux;2008;R10;R10 Epandage sur le sol au profit de l'agriculture ou de l'écologie;;;2;Boues d'effluents industriels;2800;t/an
0005501512;ARMOR PROTEINES;Production de déchets non dangereux;2008;D2 ;D2 Traitement en milieu terrestre (par exemple, biodégradation de déchets liquides ou de boues dans les sols, etc.);;;2;Boues d'effluents industriels;36640;t/an
0077649801;STEP - LE PETIT-QUEVILLY;Production de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;14;Déchets minéraux (à l'exclusion des résidus d'opérations thermiques, des terre et boues de dragage polluées);3596;t/an
0006301048;ARJO WIGGINS Papiers Couchés S.A.S.;Production de déchets non dangereux;2008;R4 ;R4 Recyclage ou récupération des métaux et des composés métalliques;;;10;Matériaux mélangés et matériaux indifférenciés;1628;t/an
0005206362;Communauté de Communes Lacq-Orthez;Production de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;8;Ordures ménagères;22216;t/an
0005800350;ERAMET;Production de déchets non dangereux;2008;R4 ;R4 Recyclage ou récupération des métaux et des composés métalliques;;;2;Boues d'effluents industriels;366.4;t/an
0007002568;LIOT;Production de déchets non dangereux;2008;D13;D13 Regroupement préalablement à l'une des opérations numérotées D 1 à D 12;;;9;Déchets banals des entreprises;47.2;t/an
0005105767;GL ORGANOSOL;Production de déchets non dangereux;2008;D1 ;D1 Dépôt sur ou dans le sol (par exemple, mise en décharge, etc.);;;12;Boues ordinaires (sauf boues de dragage);34000;t/an
0007000720;Ferroglobe Manganèse France SAS;Production de déchets non dangereux;2008;R5 ;R5 Recyclage ou récupération d'autres matières inorganiques;;;14;Déchets minéraux (à l'exclusion des résidus d'opérations thermiques, des terre et boues de dragage polluées);143656;t/an
0007000646;BONDUELLE EUROPE LONG LIFE (BELL) ex BCI;Production de déchets non dangereux;2008;R3 ;R3 Recyclage ou récupération des substances organiques qui ne sont pas utilisées comme solvants (y compris les opérations de compostage et autres transformations biologiques);;;5;Déchets animaux et végétaux (à l'exclusion des déchets animaux de la préparation des aliments et produits alimentaires ainsi que des fèces, urines et fumier animaux);36600;t/an
