identifiant;nom_etablissement;numero_siret;adresse;code_postal;commune;departement;region;coordonnees_x;coordonnees_y;code_epsg;code_ape;libelle_ape;code_eprtr;libelle_eprtr
0007001849;NIDAPLAST;97120447400060;Rue Paul Vaillant Couturier;59224;THIANT;NORD;HAUTS-DE-FRANCE;731762.000000;7023937.000000;2154;2223Z;Fabrication d'éléments en matières plastiques pour la construction;;
0010001408;TRISALID;85250529600016;651 rue de la Motte Pétrée;45770;SARAN;LOIRET;CENTRE;615126.000000;6762223.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;5.(b);Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
0006700585;PLASTIC OMNIUM AUTO INERGY FRANCE;51951245300076;2 rue des Imprimés;68120;PFASTATT;HAUT-RHIN;GRAND-EST;1021797.000000;6748466.000000;2154;2229A;Fabrication de pièces techniques à base de matières plastiques;;
0006103356;SETFORGE;51135339300016;41 avenue Berthelot;42152;L'HORME;LOIRE;AUVERGNE-RHONE-ALPES;821439.000000;6489229.000000;2154;2550A;Forge, estampage, matriçage ,  métallurgie des poudres;;
0006700817;LES JUS DE FRUITS D'ALSACE;50133013800014;ZI RIMSDORF;67260;RIMSDORF;BAS-RHIN;GRAND-EST;999877.000000;6877668.000000;2154;1107B;Production de boissons rafraîchissantes;8.(b).(ii);matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
0006000356;MICHAEL GRELLETY;31053045600014;54 rue Leonard Samie, Z.I. ROMANET;87000;LIMOGES;HAUTE-VIENNE;NOUVELLE-AQUITAINE;565899.000000;6524031.000000;2154;2561Z;Traitement et revêtement des métaux;2.(f);Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
0006102022;R+R;33409836500011;Parc Industriel de la Plaine de l'Ain, 200 allée du Bois des Terres;01150;BLYES;AIN;AUVERGNE-RHONE-ALPES;875783.000000;6529100.000000;2154;2222Z;Fabrication d'emballages en matières plastiques;5.(a);Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
0006700795;SITEK INSULATION S.A.S.;88585024800091;ROUTE DE LAUTERBOURG, CS 90148;67160;WISSEMBOURG;BAS-RHIN;GRAND-EST;1063795.000000;6891999.000000;2154;2399Z;Fabrication d'autres produits minéraux non métalliques n.c.a.;;
0007002401;COVALYS ex-VALNOR (CVE ANTARES);82753838000029;Rocade de la Vallée de la Lys, RD 191;59250;HALLUIN;NORD;HAUTS-DE-FRANCE;709155.000000;7074349.000000;2154;3821Z;Traitement et élimination des déchets non dangereux;5.(b);Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
0007002577;EARTHMINDED France;30853135900039;ZI ARTOIS FLANDRES, 270 Avenue de Berlin - BP 50526;62138;BILLY-BERCLAU;PAS-DE-CALAIS;HAUTS-DE-FRANCE;689665.000000;7047746.000000;2154;3832Z;Récupération de déchets triés;;
0005500111;ARMORICAINE INDUSTRIE SAS;80338472600029;ZA DU MILHARTZ;22800;LANFAINS;COTES-D'ARMOR;BRETAGNE;263029.000000;6825825.000000;2154;1051A;Fabrication de lait liquide et de produits frais;8.(c);Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
0005600341;Caldic France;35378250100129;8, rue de l'industrie, BP 74;63800;COURNON-D'AUVERGNE;PUY-DE-DOME;AUVERGNE-RHONE-ALPES;712418.000000;6516456.000000;2154;4675Z;Commerce de gros (commerce interentreprises) de produits chimiques;;
0006301094;TEM;31938036600017;30 rue de la Croix Blanche;49125;CHEFFES;MAINE-ET-LOIRE;PAYS-DE-LA-LOIRE;435968.000000;6730236.000000;2154;2561Z;Traitement et revêtement des métaux;2.(f);Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
0006301998;MECACHROME;79336912500018;ZI et ZA des Vignes, Avenue Jean Monnet;72300;SOLESMES;SARTHE;PAYS-DE-LA-LOIRE;-0.298056;47.832177;4326;2562B;Mécanique industrielle;;
0006701421;LEDVANCE SASU (ex-OSRAM);67578016700010;ZI 5, RUE D'ALTORF, CS 49105;67120;MOLSHEIM;BAS-RHIN;GRAND-EST;1032252.000000;6835771.000000;2154;2740Z;Fabrication d'appareils d'éclairage électrique;;
0005101934;PLASTIC OMNIUM AUTO EXTERIEUR;45139972900032;Rue de la Croix de Pierre - ZI Nord, KS n° 117 et 141;80000;AMIENS;SOMME;HAUTS-DE-FRANCE;647725.000000;6982803.000000;2154;2932Z;Fabrication d'autres équipements automobiles;1.(e);Broyeurs à charbon d'une capacité d'une tonne heure
