identifiant;nom_etablissement;dechet;annee;code_operation_eliminatio_valorisation;libelle_operation_eliminatio_valorisation;code_departement;pays;code_dechet;libelle_dechet;quantite;unite
0005401157;SETFORGE LA CLAYETTE SOCIETE NOUVELLE;Production de déchets dangereux;2004;I  ;I Incinération;;;05 01 08*;Autres goudrons et bitumes;0.06;t/an
0005401856;JADS;Production de déchets dangereux;2004;I  ;I Incinération;;;20 01 29*;Détergents contenant des substances dangereuses;0.087;t/an
0005401131;Neltec Europe SAS;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;20 01 21*;Tubes fluorescents et autres déchets contenant du mercure;0.14;t/an
0006400398;DELTA DECHETS - ISDND du Coudoulet;Production de déchets dangereux;2004;I  ;I Incinération;;;15 02 02*;Absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses;1.1;t/an
0005800449;FRAMATOME;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;10 10 13*;Déchets de liants contenant des substances dangereuses;5.6;t/an
0005600068;ALL CHEM;Production de déchets dangereux;2004;I  ;I Incinération;;;07 07 07*;Résidus de réaction et résidus de distillation halogénés;5.47;t/an
0005801349;AUTOLIV ELECTRONIC SAS;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;20 01 21*;Tubes fluorescents et autres déchets contenant du mercure;0.319;t/an
0005600333;MANUF FRANC PNEUMATIQ MICHELIN;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;13 02 04*;Huiles moteur, de boîte de vitesses et de lubrification chlorées à base minérale;1.35;t/an
0010100030;GUILLOT INDUSTRIE;Production de déchets dangereux;2004;I  ;I Incinération;;;13 01 11*;Huiles hydrauliques synthétiques;1.8;t/an
0006700668;BLUE PAPER;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;13 01 10*;Huiles hydrauliques non chlorées à base minérale;18.9;t/an
0007000832;MAUBEUGE CONSTRUCTION AUTOMOBILE (MCA);Production de déchets dangereux;2004;I  ;I Incinération;;;19 08 13*;Boues contenant des substances dangereuses provenant d'autres traitements des eaux usées industrielles;176;t/an
0006506349;Peugeot Citroën Automobiles S.A. Aulnay;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;13 02 05*;Huiles moteur, de boîte de vitesses et de lubrification non chlorées à base minérale;27.3;t/an
0006400328;FIRMENICH GRASSE S.A.;Production de déchets dangereux;2004;P  ;P Traitement physico-chimique;;;06 01 06*;Autres acides;12.3;t/an
0005100249;NTN Transmissions Europe;Production de déchets dangereux;2004;T  ;T Autre traitement;;;11 01 05*;Acides de décapage;11.2;t/an
0010000035;PAULSTRA HUTCHINSON SNC;Production de déchets dangereux;2004;I  ;I Incinération;;;15 02 02*;Absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses;70.6;t/an
0006505421;DASSAULT AVIATION;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;13 08 99*;Déchets non spécifiés ailleurs.;5.8;t/an
0007002731;TOYOTA M.M.F.;Production de déchets dangereux;2004;R  ;R Recyclage/récupération;;;08 01 15*;Boues aqueuses contenant de la peinture ou du vernis contenant des solvants organiques ou autres substances dangereuses;158.6;t/an
0006201330;SMART FRANCE SAS;Production de déchets dangereux;2004;I  ;I Incinération;;;08 01 15*;Boues aqueuses contenant de la peinture ou du vernis contenant des solvants organiques ou autres substances dangereuses;96;t/an
