Year,capacity,nb_WWTP,Pt_in,Pt_in_adj,NGL_in,NGL_in_adj,DBO5_in,DBO5_in_adj,DCO_in,DCO_in_adj,MES_in,MES_in_adj,Pt_out,Pt_out_adj,NGL_out,NGL_out_adj,DBO5_out,DBO5_out_adj,DCO_out,DCO_out_adj,MES_out,MES_out_adj,NGL_yield,Pt_yield,DBO5_yield,DCO_yield,MES_yield,N_P_ratio_in,N_P_ratio_out,DBO5_N_ratio_in,DBO5_N_ratio_out,DBO5_P_ratio_in,DBO5_P_ratio_out,DCO_N_ratio_in,DCO_N_ratio_out,DCO_P_ratio_in,DCO_P_ratio_out,DCO_DBO5_ratio_in,DCO_DBO5_ratio_out,Pt_PE_ratio_in,Pt_PE_ratio_out,NGL_PE_ratio_in,NGL_PE_ratio_out,DBO5_PE_ratio_in,DBO5_PE_ratio_out,DCO_PE_ratio_in,DCO_PE_ratio_out,MES_PE_ratio_in,MES_PE_ratio_out
2015,26.637,2789,9.2,9.2,78.9,78.9,306.3,306.3,760,760,399.3,399.3,1.6,1.6,21,21.9,13.8,13.8,62.8,62.8,20.6,20.6,72,82,95,92,95,8.56,15.8,3.88,0.575,33.2,8.5,9.63,2.68,82.4,38.6,2.48,4.54,0.948,0.16699999999999998,8.11,2.31,31.5,1.42,78.2,6.46,41.099999999999994,2.12
2016,26.707,2823,9.2,9.2,78.2,78.2,306.4,306.4,759.4,759.4,398.5,398.5,1.7,1.7,NA,NA,13.7,13.7,66,66,22.4,22.4,NA,82,96,91,94,8.5,NA,3.92,NA,33.3,8.27,9.71,NA,82.5,39.8,2.48,4.81,0.944,0.171,8.030000000000001,NA,31.4,1.41,77.89999999999999,6.8,40.9,2.31
2018,26.665,943,8.5,8.5,77.1,77.1,297.1,297.1,748.3,748.3,393.4,393.4,1.3,1.3,19.5,19.5,11.4,11.4,53.3,53.3,16.7,16.7,75,84,96,93,96,9.07,14.5,3.85,0.586,34.9,8.51,9.7,2.74,88,39.8,2.52,4.68,0.874,0.13799999999999998,7.92,2,30.5,1.17,76.89999999999999,5.4799999999999995,40.4,1.72
2020,26.658,940,9.5,9.5,79.9,79.9,308,308,783.4,783.4,406.1,406.1,1.4,1.4,19.8,19.8,12.7,12.7,58.4,58.4,18.7,18.7,75,85,96,93,95,8.41,13.7,3.85,0.642,32.4,8.81,9.85,2.95,82.8,40.4,2.55,4.59,0.977,0.149,8.21,2.04,31.7,1.31,80.8,6.01,41.9,1.9300000000000002
