Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Quantité_pollution_entrante;Quantité_MES_entrante;Quantité_MO_entrante;Quantité_P_entrante;Quantité_NR_entrante;Quantité_MI_entrante;Quantité_AOX_entrante;Quantité_METOX_entrante;Quantité_pollution_sortante;Quantité_MES_sortante;Quantité_MO_sortante;Quantité_P_sortante;Quantité_NR_sortante;Quantité_MI_sortante;Quantité_AOX_sortante;Quantité_METOX_sortante;Code_Commune;Nom_commune;Code_département;Nom_région;Code_zone_hydrographique
2007;060901036001;BELMONT LUTHEZIEU - MASSIGNIEU;566;Biol. / Nitrif.;94,815;8,537;5,406;,379;1,423;,019;,005;,022;10,42965;,42685;,5406;,2274;,1423;,0076;,002;,0066;01036;BELMONT LUTHEZIEU;01;RHONE-ALPES;V143
2007;060901036002;BELMONT LUTHEZIEU - GLARGIN;100;Biol. / Nitrif.;27,092;2,439;1,545;,108;,407;,005;,001;,006;5,28294;,2439;,309;,0756;,0814;,0025;,0005;,0024;01036;BELMONT LUTHEZIEU;01;RHONE-ALPES;V141
2007;060901036003;BELMONT LUTHEZIEU - BIOLEAZ;50;Bassin de décantation;8,261;,744;,471;,033;,124;,002;0;,002;6,980545;,372;,471;,0297;,124;,002;0;,002;01036;BELMONT LUTHEZIEU;01;RHONE-ALPES;V141
2007;060901038001;BENY;300;Lagune;45,367;4,084;2,586;,182;,681;,009;,002;,01;10,570511;,4084;,5172;,1274;,4767;,0045;,001;,004;01038;BENY;01;RHONE-ALPES;U344
2007;060901041001;BETTANT;900;Biol. / Nitrif.;502,161;45,208;28,632;2,009;7,535;,1;,025;,116;167,219613;13,5624;8,5896;1,6072;3,014;,07;,0175;,058;01041;BETTANT;01;RHONE-ALPES;V293
2007;060901043001;BEYNOST -ST MAURICE DE BEYNOST;10600;Biol. / Nitrif.;7319,015;524;481;13;113;0;0;0;600,15923;26,2;24,05;7,15;22,6;0;0;0;01043;BEYNOST;01;RHONE-ALPES;V300
2007;060901044001;BILLIAT;720;Biologique Simple;172,749;15,552;9,85;,691;2,592;,035;,009;,04;40,250517;1,5552;1,97;,4837;1,8144;,0175;,0045;,016;01044;BILLIAT;01;RHONE-ALPES;V102
2007;060901045001;BIRIEUX;200;Lagune;24,5;2,205;1,397;,098;,368;,005;,001;,006;5,7085;,2205;,2794;,0686;,2576;,0025;,0005;,0024;01045;BIRIEUX;01;RHONE-ALPES;U440
2007;060901046001;BIZIAT - CHEF LIEU;315;Lagune;92,058;8,289;5,249;,368;1,381;,018;,005;,021;33,417054;2,4867;1,5747;,2944;1,1048;,0126;,0035;,0105;01046;BIZIAT;01;RHONE-ALPES;U424
2007;060901046002;BIZIAT - RETISSINGE;400;Lagune;82,975;7,47;4,731;,332;1,245;,017;,004;,019;19,333175;,747;,9462;,2324;,8715;,0085;,002;,0076;01046;BIZIAT;01;RHONE-ALPES;U424
2007;060901047002;BLYES;855;Biol. / Nitrif.;638,451;57,478;36,402;2,555;9,58;,128;,032;,147;212,604183;17,2434;10,9206;2,044;3,832;,0896;,0224;,0735;01047;BLYES;01;RHONE-ALPES;V294
2007;060901054001;BOURG SAINT CHRISTOPHE;1990;Biol. / Nitrif.;616,013;55,458;35,123;2,465;9,243;,123;,031;,142;67,76143;2,7729;3,5123;1,479;,9243;,0492;,0124;,0426;01054;BOURG ST CHRISTOPHE;01;RHONE-ALPES;V300
2007;060901057001;BOZ;500;Lagune;131,683;11,855;7,508;,527;1,976;,026;,007;,03;30,682139;1,1855;1,5016;,3689;1,3832;,013;,0035;,012;01057;BOZ;01;RHONE-ALPES;U411
2007;060901058002;BREGNIER CORDON-PETIT GLANDIEU;630;Lagune;310,088;27,916;17,68;1,241;4,653;,062;,016;,071;112,561944;8,3748;5,304;,9928;3,7224;,0434;,0112;,0355;01058;BREGNIER CORDON;01;RHONE-ALPES;V161
2007;060901058003;BREGNIER CORDON - CORDON;130;Filtres plantés;15,913;1,432;,907;,064;,239;,003;,001;,004;3,071209;,1432;,1814;,04224;,0478;,003;,001;,004;01058;BREGNIER CORDON;01;RHONE-ALPES;V147
2007;060901059001;BRENAZ - CHEF LIEU;100;Bassin de décantation;13,503;1,215;,77;,054;,203;,003;,001;,003;11,410035;,6075;,77;,0486;,203;,003;,001;,003;01059;BRENAZ;01;RHONE-ALPES;V142
2007;060901059002;BRENAZ - LARNIN;50;Bassin de décantation;4,314;,389;,246;,017;,065;,001;0;,001;3,636702;,1945;,246;,0153;,065;,001;0;,001;01059;BRENAZ;01;RHONE-ALPES;V142
2007;060901061001;BRENS - GOTRAS PETIT BRENS;450;Lagune;175,146;15,768;9,986;,701;2,628;,035;,009;,04;40,809018;1,5768;1,9972;,4907;1,8396;,0175;,0045;,016;01061;BRENS;01;RHONE-ALPES;V146
2007;060901061002;BRENS - CHAMPTEL;500;Lagune;262,722;23,652;14,98;1,051;3,942;,053;,013;,06;61,214226;2,3652;2,996;,7357;2,7594;,0265;,0065;,024;01061;BRENS;01;RHONE-ALPES;V146
2007;060901062001;BRESSOLLES - CHEF LIEU;733;Biol. / Nitrif.;361,09;32,508;20,588;1,445;5,418;,072;,018;,083;120,24297;9,7524;6,1764;1,156;2,1672;,0504;,0126;,0415;01062;BRESSOLLES;01;RHONE-ALPES;V300
2007;060901062002;BRESSOLLES - LE BONNET;100;Biol. / Nitrif.;73,125;6,583;4,169;,293;1,097;,015;,004;,017;49,725;3,9498;2,9183;,2637;,7679;,015;,004;,017;01062;BRESSOLLES;01;RHONE-ALPES;V300
2007;060901063001;BRION;500;Biol. / Nitrif.;367,088;33,048;20,93;1,469;5,508;,073;,018;,084;249,61984;19,8288;14,651;1,3221;3,8556;,073;,018;,084;01063;BRION;01;RHONE-ALPES;V251
2007;060901065002;BUELLAS - CORGENON;600;Lagune;368,378;33,164;21,004;1,474;5,527;,074;,018;,085;85,832074;3,3164;4,2008;1,0318;3,8689;,037;,009;,034;01065;BUELLAS;01;RHONE-ALPES;U421
2007;060901065003;BUELLAS - MONTCET;1800;Biol. / Nitrif.;569,075;51,232;32,447;2,277;8,539;,114;,028;,131;62,59825;2,5616;3,2447;1,3662;,8539;,0456;,0112;,0393;01065;BUELLAS;01;RHONE-ALPES;U421
2007;060901067001;CEIGNES;730;Lagune;85,306;6,692;5,453;,258;,968;,013;,003;,015;29,601182;2,0076;1,6359;,2064;,7744;,0091;,0021;,0075;01067;CEIGNES;01;RHONE-ALPES;V252
2007;060901069002;CERTINES;4500;Biol. / Nitrif.;5771,698;648;319;8;59;0;0;0;207,781128;12,96;9,57;,88;5,9;0;0;0;01069;CERTINES;01;RHONE-ALPES;U400
2007;060901073001;CEYZERIEU -AVRISSIEU SAMISSIEU;300;Biol. / Nitrif.;68,435;6,16;3,902;,274;1,027;,014;,003;,016;13,344825;,616;,7804;,1918;,2054;,007;,0015;,0064;01073;CEYZERIEU;01;RHONE-ALPES;V143
