ANNEE;CODE NATIONAL STATION;NOM STATION;CAPACITE STATION EN EH;FLUX EN ENTREE DE STATION - DBO5;FLUX EN ENTREE DE STATION - DCO;FLUX EN ENTREE DE STATION - MES;FLUX EN ENTREE DE STATION - NGL;FLUX EN ENTREE DE STATION - PT;FLUX EN ENTREE DE STATION - METOX;FLUX EN ENTREE DE STATION - AOX;FLUX EN SORTIE DE STATION - DBO5;FLUX EN SORTIE DE STATION - DCO;FLUX EN SORTIE DE STATION - MES;FLUX EN SORTIE DE STATION - NGL;FLUX EN SORTIE DE STATION - PT;FLUX EN SORTIE DE STATION - METOX;FLUX EN SORTIE DE STATION - AOX;NOM COMMUNE IMPLANTATION STATION;NOM DEPARTEMENT IMPLANTATION STATION;NOM REGION IMPLANTATION STATION
2013;060901005001;STATION D'EPURATION DE AMBERIEUX EN DOMBES;1900;,891;17,523;,891;15,456;1,366;;;,891;17,523;,891;15,456;1,366;;;AMBERIEUX EN DOMBES;AIN;AUVERGNE-RHONE-ALPES;
2013;060901007001;STATION D'EPURATION DE AMBRONAY - CHEF LIEU;1700;83,545;228,259;139,754;29,73;3,037;;;2,186;20,164;4,202;10,007;1,238;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2013;060901010002;STATION D'EPURATION DE ANGLEFORT - CHEF LIEU;1800;16,295;57,838;25,143;7,606;1,121;;;1,092;10,92;1,602;2,433;,513;;;ANGLEFORT;AIN;AUVERGNE-RHONE-ALPES;
2013;060901021002;STATION D'EPURATION DE ARS SUR FORMANS;2250;42,775;99,516;50,026;12,389;1,177;;;;4,002;,694;1,204;,527;;;ARS SUR FORMANS;AIN;AUVERGNE-RHONE-ALPES;
2013;060901022002;STATION D'EPURATION DE ARTEMARE;1500;159,6955;311,613;84,8005;;;;;1,3765;11,731;1,926;;;;;ARTEMARE;AIN;AUVERGNE-RHONE-ALPES;
2013;060901024002;STATION D'EPURATION DE ATTIGNAT - VACAGNOLE;900;10,472;28,545;12,961;4,159;,384;;;,314;3,331;,236;,801;,145;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2013;060901024003;STATION D'EPURATION DE ATTIGNAT - CHEF LIEU;1200;44,364;144,004;48,486;22,422;2,194;;;1,763;17,631;1,635;5,919;1,257;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2013;060901024004;STATION D'EPURATION DE ATTIGNAT - SECTEUR OUEST;1650;15,724;59,72;27,81;7,852;,726;;;;5,467;5,586;5,869;,56;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2013;060901025001;STATION D'EPURATION DE BAGE-DOMMARTIN - BAGE LA VILLE;550;27,761;83,042;60,954;5,686;,628;;;3,681;27,103;49,354;2,091;,569;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2013;060901025002;STATION D'EPURATION DE BAGE-DOMMARTIN - SPATTIERES;1100;34,291;83,445;63,627;6,89;,779;;;2,16;3,509;4,941;2,56;,72;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2013;060901025003;STATION D'EPURATION DE BAGE-DOMMARTIN - ONJARD;500;3,401;19,754;23,155;4,06;,42;;;;2,098;,145;,133;,152;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2013;060901025004;STATION D'EPURATION DE BAGE-DOMMARTIN - TEPPES BICHES;290;2,574;4,961;5,975;1,205;,139;;;;,507;,056;,054;,047;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2013;060901026001;STATION D'EPURATION DE BAGE LE CHATEL;1100;9,13;43,493;21,722;6,49;,698;;;;6,543;,811;6,796;,363;;;BAGE LE CHATEL;AIN;AUVERGNE-RHONE-ALPES;
2013;060901028001;STATION D'EPURATION DE BANEINS - CHEF LIEU;225;5,607;44,006;17,432;4,071;,439;;;2,106;13,877;3,469;9,294;,657;;;BANEINS;AIN;AUVERGNE-RHONE-ALPES;
2013;060901033001;STATION D'EPURATION DE VALSERHONE BELLEGARDE VALSERIN;18000;603,692;1497,837;838,142;;15,009;;;20,777;134,047;35,131;;4,597;;;VALSERHONE;AIN;AUVERGNE-RHONE-ALPES;
2013;060901034001;STATION D'EPURATION DE BELLEY - CHEF LIEU;18333;852,387;1866,888;825,728;;20,049;;;19,161;161,675;22,326;;3,773;;;BELLEY;AIN;AUVERGNE-RHONE-ALPES;
2013;060901035001;STATION D'EPURATION DE BELLEYDOUX;300;6,912;16,646;3,576;1,16;,182;;;1,716;6,191;2,558;,631;,19;;;BELLEYDOUX;AIN;AUVERGNE-RHONE-ALPES;
2013;060901037001;STATION D'EPURATION DE BENONCES;300;21,04;78,605;12,389;4,177;,518;;;;2,685;,859;,216;,391;;;BENONCES;AIN;AUVERGNE-RHONE-ALPES;
2013;060901038001;STATION D'EPURATION DE BENY;300;7,973;14,773;5,236;1,615;,17;;;3,15;16,56;6,3;3,051;,315;;;BENY;AIN;AUVERGNE-RHONE-ALPES;
2013;060901039003;STATION D'EPURATION DE BEON;670;2,059;3,01;3,458;1,927;,364;;;;,564;,237;1,288;,097;;;BEON;AIN;AUVERGNE-RHONE-ALPES;
