Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Quantité_pollution_entrante;Quantité_MES_entrante;Quantité_MO_entrante;Quantité_P_entrante;Quantité_NR_entrante;Quantité_MI_entrante;Quantité_AOX_entrante;Quantité_METOX_entrante;Quantité_pollution_sortante;Quantité_MES_sortante;Quantité_MO_sortante;Quantité_P_sortante;Quantité_NR_sortante;Quantité_MI_sortante;Quantité_AOX_sortante;Quantité_METOX_sortante;Code_Commune;Nom_commune;Code_département;Nom_région;Code_zone_hydrographique
2005;060901005001;AMBERIEUX EN DOMBES;1900;Lagune;1002,451;90,248;57,157;4,011;15,041;,201;,05;,231;363,889713;27,0744;17,1471;3,2088;12,0328;,1407;,035;,1155;01005;AMBERIEUX EN DOMBES;01;RHONE-ALPES;U470
2005;060901006001;AMBLEON;120;Biol. / Nitrif.;23,68;2,132;1,35;,095;,355;,005;,001;,005;7,88544;,6396;,405;,076;,142;,0035;,0007;,0025;01006;AMBLEON;01;RHONE-ALPES;V161
2005;060901007001;AMBRONAY - CHEF LIEU;1700;Biol. / Nitrif.;990,783;89,198;56,492;3,964;14,866;,198;,05;,228;329,930739;26,7594;16,9476;3,1712;5,9464;,1386;,035;,114;01007;AMBRONAY;01;RHONE-ALPES;V290
2005;060901009001;ANDERT ET CONDON - CONDON;270;Lagune;51,492;4,635;2,936;,206;,773;,01;,003;,012;18,691596;1,3905;,8808;,1648;,6184;,007;,0021;,006;01009;ANDERT ET CONDON;01;RHONE-ALPES;V146
2005;060901010002;ANGLEFORT - CHEF LIEU;1080;Biol. / Nitrif.;419,873;37,8;23,94;1,68;6,3;,084;,021;,097;46,18603;1,89;2,394;1,008;,63;,0336;,0084;,0291;01010;ANGLEFORT;01;RHONE-ALPES;V126
2005;060901011001;APREMONT;400;Biol. / Nitrif.;123,829;11,148;7,061;,495;1,858;,025;,006;,028;13,62119;,5574;,7061;,297;,1858;,01;,0024;,0084;01011;APREMONT;01;RHONE-ALPES;V251
2005;060901021002;ARS SUR FORMANS;2250;Biologique Simple;735,894;59;43,387;2,25;14,75;0;0;0;108,912312;2,95;4,3387;1,35;8,85;0;0;0;01021;ARS SUR FORMANS;01;RHONE-ALPES;U470
2005;060901022002;ARTEMARE;1500;Biol. / Nitrif.;824,409;74,219;47,005;3,299;12,37;,165;,041;,19;274,528197;22,2657;14,1015;2,6392;4,948;,1155;,0287;,095;01022;ARTEMARE;01;RHONE-ALPES;V143
2005;060901024002;ATTIGNAT - VACAGNOLE;900;Biol. / Nitrif.;271,869;24,476;15,501;1,088;4,079;,054;,014;,063;29,90559;1,2238;1,5501;,6528;,4079;,0216;,0056;,0189;01024;ATTIGNAT;01;RHONE-ALPES;U401
2005;060901024003;ATTIGNAT - CHEF LIEU;1200;Biologique Simple;663,354;59,72;37,823;2,654;9,953;,133;,033;,153;98,176392;2,986;3,7823;1,5924;5,9718;,0532;,0132;,0459;01024;ATTIGNAT;01;RHONE-ALPES;U403
