ANNEE;CODE NATIONAL STATION;NOM STATION;CAPACITE STATION EN EH;FLUX EN ENTREE DE STATION - DBO5;FLUX EN ENTREE DE STATION - DCO;FLUX EN ENTREE DE STATION - MES;FLUX EN ENTREE DE STATION - NGL;FLUX EN ENTREE DE STATION - PT;FLUX EN ENTREE DE STATION - METOX;FLUX EN ENTREE DE STATION - AOX;FLUX EN SORTIE DE STATION - DBO5;FLUX EN SORTIE DE STATION - DCO;FLUX EN SORTIE DE STATION - MES;FLUX EN SORTIE DE STATION - NGL;FLUX EN SORTIE DE STATION - PT;FLUX EN SORTIE DE STATION - METOX;FLUX EN SORTIE DE STATION - AOX;NOM COMMUNE IMPLANTATION STATION;NOM DEPARTEMENT IMPLANTATION STATION;NOM REGION IMPLANTATION STATION
2009;060901010002;STATION D'EPURATION DE ANGLEFORT - CHEF LIEU;1800;23,715;61,035;40,85;6,695;1,17;;;,61;4,684;1,001;,701;,677;;;ANGLEFORT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901021002;STATION D'EPURATION DE ARS SUR FORMANS;2250;41,882;120,301;85,353;13,728;1,827;;;,953;9,534;1,833;1,71;,712;;;ARS SUR FORMANS;AIN;AUVERGNE-RHONE-ALPES;
2009;060901024002;STATION D'EPURATION DE ATTIGNAT - VACAGNOLE;900;37,007;101,357;86,79;9,514;1,531;;;,447;4,679;,532;1,13;,575;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901024003;STATION D'EPURATION DE ATTIGNAT - CHEF LIEU;1200;200,057;391,788;306,572;25,478;4,509;;;1,711;12,766;2,856;3,256;,671;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901025002;STATION D'EPURATION DE BAGE-DOMMARTIN - SPATTIERES;1100;27,857;75,607;51,227;8,069;1,073;;;,294;3,147;,9;5,163;,602;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2009;060901026001;STATION D'EPURATION DE BAGE LE CHATEL;1100;28,302;64,45;37,946;;,971;;;,408;4,278;,691;1,57;,538;;;BAGE LE CHATEL;AIN;AUVERGNE-RHONE-ALPES;
2009;060901033001;STATION D'EPURATION DE VALSERHONE BELLEGARDE VALSERIN;18000;467,875;1192,448;667,714;140,179;12,913;;;17,304;103,446;25,603;63,83;4,65;;;VALSERHONE;AIN;AUVERGNE-RHONE-ALPES;
2009;060901034001;STATION D'EPURATION DE BELLEY - CHEF LIEU;18333;622,957;1476,055;698,166;;17,268;;;15,43;150,109;22,964;;6,536;;;BELLEY;AIN;AUVERGNE-RHONE-ALPES;
2009;060901043001;STATION D'EPURATION DE BEYNOST -ST MAURICE DE BEYNOST;10600;479,016;976,003;578,95;108,211;14,157;;;7,052;66,568;21,87;18,851;6,839;;;BEYNOST;AIN;AUVERGNE-RHONE-ALPES;
2009;060901054001;STATION D'EPURATION DE BOURG SAINT CHRISTOPHE;1990;59,48;244,101;89,212;16,157;2,657;;;,597;6,996;1,461;,731;,923;;;BOURG ST CHRISTOPHE;AIN;AUVERGNE-RHONE-ALPES;
2009;060901064001;STATION D'EPURATION DE BRIORD (ANCIENNE);1600;77,44;179,08;101,64;;3,485;;;7,744;34,122;17,666;12,1;1,089;;;BRIORD;AIN;AUVERGNE-RHONE-ALPES;
2009;060901069002;STATION D'EPURATION DE CERTINES;4500;89,691;276,497;112,958;45,155;5,607;;;4,038;33,563;5,674;15,566;1,992;;;CERTINES;AIN;AUVERGNE-RHONE-ALPES;
2009;060901074002;STATION D'EPURATION DE CHALAMONT;2500;65,491;177,271;83,696;17,455;2,181;;;2,134;19,195;2,796;6,616;,734;;;CHALAMONT;AIN;AUVERGNE-RHONE-ALPES;
2009;060901078001;STATION D'EPURATION DE CHALLEX (ANCIENNE);1500;10,368;30,706;12,119;;,456;;;1,168;10,019;1,588;2,386;,276;;;CHALLEX;AIN;AUVERGNE-RHONE-ALPES;
2009;060901079001;STATION D'EPURATION DE CHAMPAGNE EN VALROMEY - C LIEU;700;22,44;65,28;46,92;4,182;,796;;;1,632;9,996;1,53;2,111;,418;;;CHAMPAGNE EN VALROMEY;AIN;AUVERGNE-RHONE-ALPES;
2009;060901082001;STATION D'EPURATION DE CHANAY - CHEF LIEU;1800;49,285;108,02;74,515;6,231;1,61;;;,669;3,451;1,562;,422;,187;;;CHANAY;AIN;AUVERGNE-RHONE-ALPES;
2009;060901083001;STATION D'EPURATION DE CHANEINS (ANCIENNE);317;11,13;25,042;9,072;3,492;,443;;;4,187;11,421;2,234;2,821;,35;;;CHANEINS;AIN;AUVERGNE-RHONE-ALPES;
2009;060901089002;STATION D'EPURATION DE AMBERIEU - CHATEAU GAILLARD;33300;705,379;2036,919;1166,435;264,66;43,754;;;8,725;87,574;13,468;37,994;7,272;;;CHATEAU GAILLARD;AIN;AUVERGNE-RHONE-ALPES;
2009;060901091002;STATION D'EPURATION DE VALSERHONE CHATILLON MICHAILLE;2250;119,411;298,797;237,702;23,69;2,289;;;1,838;20,193;16,053;4,741;,947;;;VALSERHONE;AIN;AUVERGNE-RHONE-ALPES;
2009;060901092001;STATION D'EPURATION DE CHATILLON LA PALUD (ANCIENNE);1200;39,095;92,173;43,9;10,134;1,748;;;1,196;8,535;2,39;2,334;,327;;;CHATILLON LA PALUD;AIN;AUVERGNE-RHONE-ALPES;
2009;060901093001;STATION D'EPURATION DE CHATILLON SUR CHALARONNE;5400;183,995;524,202;309,613;;7,308;;;9,197;88,026;9,116;19,32;3,752;;;CHATILLON SUR CHALARONNE;AIN;AUVERGNE-RHONE-ALPES;
2009;060901095002;STATION D'EPURATION DE NIVIGNE ET SURAN - CHAVANNES;500;14,96;29,648;9,52;6,412;,639;;;,612;3,06;,204;1,546;,212;;;NIVIGNE-ET-SURAN;AIN;AUVERGNE-RHONE-ALPES;
2009;060901099001;STATION D'EPURATION DE CHAZEY SUR AIN - CHEF LIEU;945;16,165;51,228;19,42;4,921;,625;;;4,069;23,009;9,707;2,754;,477;;;CHAZEY SUR AIN;AIN;AUVERGNE-RHONE-ALPES;
2009;060901099002;STATION D'EPURATION DE CHAZEY SUR AIN - RIGNIEUX;600;9,486;27,234;7,956;7,61;,734;;;,918;4,896;2,142;1,515;,277;;;CHAZEY SUR AIN;AIN;AUVERGNE-RHONE-ALPES;
2009;060901099003;STATION D'EPURATION DE CHAZEY/AIN - L'HOPITAL (ANC.);150;15,5;47,12;11,78;3,395;,41;;;4,092;15,5;3,1;9,436;,375;;;CHAZEY SUR AIN;AIN;AUVERGNE-RHONE-ALPES;
2009;060901099004;STATION D'EPURATION DE CHAZEY SUR AIN - L'HOPITAL;350;,66;2,016;,66;,339;,038;;;;;;;;;;CHAZEY SUR AIN;AIN;AUVERGNE-RHONE-ALPES;
2009;060901104001;STATION D'EPURATION DE CHEZERY FORENS;1350;30,57;51,966;15,532;;,445;;;,195;1,461;,327;,144;,094;;;CHEZERY FORENS;AIN;AUVERGNE-RHONE-ALPES;
2009;060901109001;STATION D'EPURATION DE COLLONGES;3300;81,663;169,149;96;;2,007;;;15,833;72,47;34,518;14,361;2,248;;;COLLONGES;AIN;AUVERGNE-RHONE-ALPES;
