Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Quantité_pollution_entrante;Quantité_MES_entrante;Quantité_MO_entrante;Quantité_P_entrante;Quantité_NR_entrante;Quantité_MI_entrante;Quantité_AOX_entrante;Quantité_METOX_entrante;Quantité_pollution_sortante;Quantité_MES_sortante;Quantité_MO_sortante;Quantité_P_sortante;Quantité_NR_sortante;Quantité_MI_sortante;Quantité_AOX_sortante;Quantité_METOX_sortante;Code_Commune;Nom_commune;Code_département;Nom_région;Code_zone_hydrographique
2004;060901005001;AMBERIEUX EN DOMBES;1900;Lagune;1096,131;105;74,1;0;0;0;0;0;397,895553;31,5;22,23;0;0;0;0;0;01005;AMBERIEUX EN DOMBES;01;RHONE-ALPES;U470
2004;060901006001;AMBLEON;120;Biol. / Nitrif.;23,68;2,132;1,35;,095;,355;,005;,001;,005;7,88544;,6396;,405;,076;,142;,0035;,0007;,0025;01006;AMBLEON;01;RHONE-ALPES;V161
2004;060901007001;AMBRONAY - CHEF LIEU;1700;Biol. / Nitrif.;982,033;96,277;54,425;3,086;14,739;0;0;0;108,02363;4,81385;5,4425;1,8516;1,4739;0;0;0;01007;AMBRONAY;01;RHONE-ALPES;V290
2004;060901009001;ANDERT ET CONDON - CONDON;270;Lagune;51,492;4,635;2,936;,206;,773;,01;,003;,012;18,691596;1,3905;,8808;,1648;,6184;,007;,0021;,006;01009;ANDERT ET CONDON;01;RHONE-ALPES;V146
2004;060901010002;ANGLEFORT - CHEF LIEU;1080;Biol. / Nitrif.;447,618;40,298;25,522;1,791;6,716;,09;,022;,103;49,23798;2,0149;2,5522;1,0746;,6716;,036;,0088;,0309;01010;ANGLEFORT;01;RHONE-ALPES;V126
2004;060901011001;APREMONT;400;Biol. / Nitrif.;102,164;9,197;5,825;,409;1,533;,02;,005;,024;11,23804;,45985;,5825;,2454;,1533;,008;,002;,0072;01011;APREMONT;01;RHONE-ALPES;V251
2004;060901021002;ARS SUR FORMANS;2250;Biologique Simple;1168,54;81;66,733;2,967;37,71;0;0;0;424,18002;24,3;20,0199;2,3736;30,168;0;0;0;01021;ARS SUR FORMANS;01;RHONE-ALPES;U470
2004;060901022002;ARTEMARE;1500;Biol. / Nitrif.;824,409;74,219;47,005;3,299;12,37;,165;,041;,19;274,528197;22,2657;14,1015;2,6392;4,948;,1155;,0287;,095;01022;ARTEMARE;01;RHONE-ALPES;V143
2004;060901024002;ATTIGNAT - VACAGNOLE;900;Biol. / Nitrif.;271,869;24,476;15,501;1,088;4,079;,054;,014;,063;29,90559;1,2238;1,5501;,6528;,4079;,0216;,0056;,0189;01024;ATTIGNAT;01;RHONE-ALPES;U401
2004;060901024003;ATTIGNAT - CHEF LIEU;1200;Biologique Simple;665,839;48;38,567;2,2;17,9;0;0;0;98,544172;2,4;3,8567;1,32;10,74;0;0;0;01024;ATTIGNAT;01;RHONE-ALPES;U403
2004;060901025001;BAGE LA VILLE - CHEF LIEU;550;Lagune;607,427;54,686;34,634;2,43;9,114;,122;,03;,14;141,530491;5,4686;6,9268;1,701;6,3798;,061;,015;,056;01025;BAGE LA VILLE;01;RHONE-ALPES;U411
2004;060901025002;BAGE LA VILLE - LES SPATTIERES;1100;Filtres plantés;602,637;54,254;34,361;2,411;9,042;,121;,03;,139;116,308941;5,4254;6,8722;1,59126;1,8084;,121;,03;,139;01025;BAGE LA VILLE;01;RHONE-ALPES;U411
2004;060901026001;BAGE LE CHATEL;1100;Lagune;723,323;65,119;41,242;2,894;10,853;,145;,036;,166;262,566249;19,5357;12,3726;2,3152;8,6824;,1015;,0252;,083;01026;BAGE LE CHATEL;01;RHONE-ALPES;U411
2004;060901028001;BANEINS - CHEF LIEU;225;Lagune;160,03;14,407;9,125;,64;2,401;,032;,008;,037;37,28699;1,4407;1,825;,448;1,6807;,016;,004;,0148;01028;BANEINS;01;RHONE-ALPES;U440
2004;060901029001;BEAUPONT;285;Biologique Simple;110,72;9,968;6,313;,443;1,661;,022;,006;,025;25,79776;,9968;1,2626;,3101;1,1627;,011;,003;,01;01029;BEAUPONT;01;RHONE-ALPES;U344
2004;060901033001;BELLEGARDE SUR VALSERINE;18000;Biologique Simple;14152,261;1550;759;34;181;0;0;0;2547,40698;232,5;113,85;13,6;72,4;0;0;0;01033;BELLEGARDE SUR VALSERINE;01;RHONE-ALPES;V102
