Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Quantité_pollution_entrante;Quantité_MES_entrante;Quantité_MO_entrante;Quantité_P_entrante;Quantité_NR_entrante;Quantité_MI_entrante;Quantité_AOX_entrante;Quantité_METOX_entrante;Quantité_pollution_sortante;Quantité_MES_sortante;Quantité_MO_sortante;Quantité_P_sortante;Quantité_NR_sortante;Quantité_MI_sortante;Quantité_AOX_sortante;Quantité_METOX_sortante;Code_Commune;Nom_commune;Code_département;Nom_région;Code_zone_hydrographique
2002;060901005001;AMBERIEUX EN DOMBES;1900;Lagune;394,693;34;27,95;0;0;0;0;0;141,300094;6,8;8,385;0;0;0;0;0;01005;AMBERIEUX EN DOMBES;01;RHONE-ALPES;U470
2002;060901006001;AMBLEON;120;Biol. / Nitrif.;23,68;2,132;1,35;,095;,355;,005;,001;,005;7,88544;,6396;,405;,076;,142;,0035;,0007;,0025;01006;AMBLEON;01;RHONE-ALPES;V161
2002;060901007001;AMBRONAY - CHEF LIEU;1700;Biol. / Nitrif.;351,815;31,673;20,059;1,408;5,279;,07;,018;,081;38,69965;1,58365;2,0059;,8448;,5279;,028;,0072;,0243;01007;AMBRONAY;01;RHONE-ALPES;V290
2002;060901009001;ANDERT ET CONDON - CONDON;270;Lagune;51,492;4,635;2,936;,206;,773;,01;,003;,012;18,691596;1,3905;,8808;,1648;,6184;,007;,0021;,006;01009;ANDERT ET CONDON;01;RHONE-ALPES;V146
2002;060901010002;ANGLEFORT - CHEF LIEU;1080;Biol. / Nitrif.;447,618;40,298;25,522;1,791;6,716;,09;,022;,103;87,28551;4,0298;5,1044;1,2537;1,3432;,045;,011;,0412;01010;ANGLEFORT;01;RHONE-ALPES;V126
2002;060901011001;APREMONT;400;Biol. / Nitrif.;102,164;9,197;5,825;,409;1,533;,02;,005;,024;11,23804;,45985;,5825;,2454;,1533;,008;,002;,0072;01011;APREMONT;01;RHONE-ALPES;V251
2002;060901021002;ARS SUR FORMANS;2250;Biologique Simple;609,643;53,5;37,809;0;10,07;0;0;0;90,227164;2,675;3,7809;0;6,042;0;0;0;01021;ARS SUR FORMANS;01;RHONE-ALPES;U470
2002;060901022002;ARTEMARE;1500;Biol. / Nitrif.;824,409;74,219;47,005;3,299;12,37;,165;,041;,19;160,759755;7,4219;9,401;2,3093;2,474;,0825;,0205;,076;01022;ARTEMARE;01;RHONE-ALPES;V143
2002;060901024002;ATTIGNAT - VACAGNOLE;900;Biol. / Nitrif.;237,387;21,371;13,535;,95;3,562;,047;,012;,055;26,11257;1,06855;1,3535;,57;,3562;,0188;,0048;,0165;01024;ATTIGNAT;01;RHONE-ALPES;U401
2002;060901024003;ATTIGNAT - CHEF LIEU;1200;Biologique Simple;604,834;54,452;34,486;2,42;9,075;,121;,03;,139;117,94263;5,4452;6,8972;1,694;1,815;,0605;,015;,0556;01024;ATTIGNAT;01;RHONE-ALPES;U403
2002;060901025001;BAGE LA VILLE - CHEF LIEU;550;Lagune;607,427;54,686;34,634;2,43;9,114;,122;,03;,14;220,496001;16,4058;10,3902;1,944;7,2912;,0854;,021;,07;01025;BAGE LA VILLE;01;RHONE-ALPES;U411
