Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Quantité_pollution_entrante;Quantité_MES_entrante;Quantité_MO_entrante;Quantité_P_entrante;Quantité_NR_entrante;Quantité_MI_entrante;Quantité_AOX_entrante;Quantité_METOX_entrante;Quantité_pollution_sortante;Quantité_MES_sortante;Quantité_MO_sortante;Quantité_P_sortante;Quantité_NR_sortante;Quantité_MI_sortante;Quantité_AOX_sortante;Quantité_METOX_sortante;Code_Commune;Nom_commune;Code_département;Nom_région;Code_zone_hydrographique
2000;060901005001;AMBERIEUX EN DOMBES;1900;Biol. / Nitrif.;727,643;65,513;41,491;2,912;10,919;,146;,036;,167;264,134409;19,6539;12,4473;2,3296;8,7352;,1022;,0252;,0835;01005;AMBERIEUX EN DOMBES;01;RHONE-ALPES;U470
2000;060901006001;AMBLEON;120;Biol. / Nitrif.;21,627;1,947;1,233;,087;,324;,004;,001;,005;7,201791;,5841;,3699;,0696;,1296;,0028;,0007;,0025;01006;AMBLEON;01;RHONE-ALPES;V161
2000;060901007001;AMBRONAY - CHEF LIEU;1700;Biol. / Nitrif.;510,048;43,2;30,117;1,4;9;0;0;0;75,487104;2,16;3,0117;,84;5,4;0;0;0;01007;AMBRONAY;01;RHONE-ALPES;V290
2000;060901009001;ANDERT ET CONDON - CONDON;270;Lagune;60,977;5,49;3,477;,244;,915;,012;,003;,014;42,379015;3,294;2,4339;,2196;,8235;,012;,003;,014;01009;ANDERT ET CONDON;01;RHONE-ALPES;V146
2000;060901010002;ANGLEFORT - CHEF LIEU;1080;Biol. / Nitrif.;386,103;34,763;22,016;1,545;5,794;,077;,019;,089;42,47133;1,73815;2,2016;,927;,5794;,0308;,0076;,0267;01010;ANGLEFORT;01;RHONE-ALPES;V126
2000;060901011001;APREMONT;400;Biol. / Nitrif.;123,706;11,138;7,054;,495;1,856;,025;,006;,028;13,60766;,5569;,7054;,297;,1856;,01;,0024;,0084;01011;APREMONT;01;RHONE-ALPES;V251
2000;060901021002;ARS SUR FORMANS;2250;Biologique Simple;724,528;65,233;41,314;2,899;10,872;,145;,036;,167;79,69808;3,26165;4,1314;1,7394;1,0872;,058;,0144;,0501;01021;ARS SUR FORMANS;01;RHONE-ALPES;U470
2000;060901022002;ARTEMARE;1500;Biol. / Nitrif.;1224,492;114,8;71,565;3,2;16,1;0;0;0;238,77594;11,48;14,313;2,24;3,22;0;0;0;01022;ARTEMARE;01;RHONE-ALPES;V143
2000;060901024002;ATTIGNAT - VACAGNOLE;900;Biol. / Nitrif.;253,561;22,829;14,458;1,015;3,805;,051;,013;,058;49,444395;2,2829;2,8916;,7105;,761;,0255;,0065;,0232;01024;ATTIGNAT;01;RHONE-ALPES;U401
2000;060901024003;ATTIGNAT - CHEF LIEU;1200;Biologique Simple;605,079;46;34,667;2,3;14,7;0;0;0;117,990405;4,6;6,9334;1,61;2,94;0;0;0;01024;ATTIGNAT;01;RHONE-ALPES;U403
2000;060901025001;BAGE LA VILLE - CHEF LIEU;550;Lagune;548,908;49,421;31,3;2,196;8,237;,11;,027;,126;199,253604;14,8263;9,39;1,7568;6,5896;,077;,0189;,063;01025;BAGE LA VILLE;01;RHONE-ALPES;U411
2000;060901026001;BAGE LE CHATEL;1100;Lagune;712,728;64,17;40,641;2,852;10,695;,143;,036;,164;495,34596;38,502;28,4487;2,5668;9,6255;,143;,036;,164;01026;BAGE LE CHATEL;01;RHONE-ALPES;U411
2000;060901028001;BANEINS - CHEF LIEU;225;Lagune;133,542;12,024;7,615;,534;2,004;,027;,007;,031;48,475746;3,6072;2,2845;,4272;1,6032;,0189;,0049;,0155;01028;BANEINS;01;RHONE-ALPES;U440
2000;060901029001;BEAUPONT;285;Biologique Simple;102,732;9,249;5,858;,411;1,542;,021;,005;,024;37,291716;2,7747;1,7574;,3288;1,2336;,0147;,0035;,012;01029;BEAUPONT;01;RHONE-ALPES;U344
2000;060901033001;BELLEGARDE SUR VALSERINE;18000;Biologique Simple;34778,293;3029;2086,002;109,4;458,5;0;0;0;2817,041733;60,58;146,02014;26,256;142,135;0;0;0;01033;BELLEGARDE SUR VALSERINE;01;RHONE-ALPES;V102
2000;060901034001;BELLEY - CHEF LIEU;18333;Biol. / Nitrif.;21201,568;1126,2;1235,325;259,3;351,2;0;0;0;2035,350528;67,572;111,17925;88,162;56,192;0;0;0;01034;BELLEY;01;RHONE-ALPES;V146
2000;060901034002;BELLEY - BILIGNIN;200;Biologique Simple;94,631;8,519;5,396;,379;1,42;,019;,005;,022;34,351053;2,5557;1,6188;,3032;1,136;,0133;,0035;,011;01034;BELLEY;01;RHONE-ALPES;V146
2000;060901035001;BELLEYDOUX;300;Biol. / Nitrif.;122,309;11,012;6,975;,489;1,835;,024;,006;,028;122,309;11,012;6,975;,489;1,835;,024;,006;,028;01035;BELLEYDOUX;01;RHONE-ALPES;V101
2000;060901036001;BELMONT LUTHEZIEU - MASSIGNIEU;566;Biol. / Nitrif.;50,824;4,577;2,898;,203;,763;,01;,003;,012;5,59064;,22885;,2898;,1218;,0763;,004;,0012;,0036;01036;BELMONT LUTHEZIEU;01;RHONE-ALPES;V143
2000;060901036002;BELMONT LUTHEZIEU - GLARGIN;100;Irrigation/Infiltration;6,552;,59;,374;,026;,098;,001;0;,002;1,074528;0;,0748;,0104;,0392;,001;0;,002;01036;BELMONT LUTHEZIEU;01;RHONE-ALPES;V141
2000;060901041001;BETTANT;900;Biol. / Nitrif.;423,968;38,171;24,175;1,697;6,362;,085;,021;,098;288,29824;22,9026;16,9225;1,5273;4,4534;,085;,021;,098;01041;BETTANT;01;RHONE-ALPES;V293
2000;060901043001;BEYNOST -ST MAURICE DE BEYNOST;10600;Biol. / Nitrif.;4627,168;353,75;303,496;0;78,217;0;0;0;615,413344;17,6875;30,3496;0;15,6434;0;0;0;01043;BEYNOST;01;RHONE-ALPES;V300
2000;060901044001;BILLIAT;720;Biologique Simple;178,439;16,065;10,175;,714;2,678;,036;,009;,041;124,015105;9,639;7,1225;,6426;2,4102;,036;,009;,041;01044;BILLIAT;01;RHONE-ALPES;V102
2000;060901046001;BIZIAT - CHEF LIEU;315;Lagune;89,705;8,077;5,115;,359;1,346;,018;,004;,021;32,562915;2,4231;1,5345;,2872;1,0768;,0126;,0028;,0105;01046;BIZIAT;01;RHONE-ALPES;U424
2000;060901047002;BLYES;855;Biol. / Nitrif.;530,797;47,79;30,267;2,124;7,965;,106;,027;,122;176,755401;14,337;9,0801;1,6992;3,186;,0742;,0189;,061;01047;BLYES;01;RHONE-ALPES;V294
2000;060901057001;BOZ;500;Lagune;75,007;6,753;4,277;,3;1,126;,015;,004;,017;27,227541;2,0259;1,2831;,24;,9008;,0105;,0028;,0085;01057;BOZ;01;RHONE-ALPES;U411
2000;060901058002;BREGNIER CORDON-PETIT GLANDIEU;630;Lagune;284,12;25,581;16,201;1,137;4,263;,057;,014;,065;103,13556;7,6743;4,8603;,9096;3,4104;,0399;,0098;,0325;01058;BREGNIER CORDON;01;RHONE-ALPES;V161
2000;060901061001;BRENS - GOTRAS PETIT BRENS;450;Lagune;125,658;11,313;7,165;,503;1,886;,025;,006;,029;45,613854;3,3939;2,1495;,4024;1,5088;,0175;,0042;,0145;01061;BRENS;01;RHONE-ALPES;V146
2000;060901061002;BRENS - CHAMPTEL;500;Lagune;125,658;11,313;7,165;,503;1,886;,025;,006;,029;45,613854;3,3939;2,1495;,4024;1,5088;,0175;,0042;,0145;01061;BRENS;01;RHONE-ALPES;V146
2000;060901062001;BRESSOLLES - CHEF LIEU;733;Biol. / Nitrif.;374,596;33,727;21,36;1,499;5,621;,075;,019;,086;254,72528;20,2362;14,952;1,3491;3,9347;,075;,019;,086;01062;BRESSOLLES;01;RHONE-ALPES;V300
2000;060901063001;BRION;500;Biol. / Nitrif.;702,89;46,966;49,22;1,804;5,653;,073;,018;,084;480,77676;28,1796;34,454;1,6236;3,9571;,073;,018;,084;01063;BRION;01;RHONE-ALPES;V251
2000;060901065001;BUELLAS ANCIENNE;750;Biologique Simple;490,077;44,124;27,945;1,961;7,354;,098;,025;,113;177,897951;13,2372;8,3835;1,5688;5,8832;,0686;,0175;,0565;01065;BUELLAS;01;RHONE-ALPES;U421
2000;060901065002;BUELLAS - CORGENON;600;Lagune;356,319;32,08;20,318;1,426;5,347;,071;,018;,082;129,343797;9,624;6,0954;1,1408;4,2776;,0497;,0126;,041;01065;BUELLAS;01;RHONE-ALPES;U421
2000;060901067001;CEIGNES;730;Lagune;65,316;4,784;4,378;,169;,634;,008;,002;,01;22,20744;1,4352;1,3134;,1352;,5072;,0056;,0014;,005;01067;CEIGNES;01;RHONE-ALPES;V252
2000;060901069001;CERTINES ANCIENNE;2800;Lagune;2103,403;155,54;128,203;7,1;40,86;0;0;0;763,535289;46,662;38,4609;5,68;32,688;0;0;0;01069;CERTINES;01;RHONE-ALPES;U400
2000;060901073001;CEYZERIEU -AVRISSIEU SAMISSIEU;300;Biol. / Nitrif.;48,682;4,383;2,776;,195;,73;,01;,002;,011;9,49299;,4383;,5552;,1365;,146;,005;,001;,0044;01073;CEYZERIEU;01;RHONE-ALPES;V143
2000;060901073002;CEYZERIEU - CHEF LIEU;600;Lagune;222,901;20,069;12,71;,892;3,345;,045;,011;,051;154,916195;12,0414;8,897;,8028;3,0105;,045;,011;,051;01073;CEYZERIEU;01;RHONE-ALPES;V143
2000;060901075001;CHALEINS;1400;Biol. / Nitrif.;305,835;27,536;17,439;1,224;4,589;,061;,015;,07;101,843055;8,2608;5,2317;,9792;1,8356;,0427;,0105;,035;01075;CHALEINS;01;RHONE-ALPES;U451
2000;060901078001;CHALLEX (ANCIENNE);1500;Biologique Simple;631,266;56,835;35,996;2,526;9,473;,126;,032;,145;438,72987;34,101;25,1972;2,2734;8,5257;,126;,032;,145;01078;CHALLEX;01;RHONE-ALPES;V042
2000;060901079001;CHAMPAGNE EN VALROMEY - C LIEU;700;Biol. / Nitrif.;365,86;32,94;20,862;1,464;5,49;,073;,018;,084;248,7848;19,764;14,6034;1,3176;3,843;,073;,018;,084;01079;CHAMPAGNE EN VALROMEY;01;RHONE-ALPES;V142
2000;060901080001;CHAMPDOR;700;Biol. / Nitrif.;239,661;21,578;13,666;,959;3,596;,048;,012;,055;239,661;21,578;13,666;,959;3,596;,048;,012;,055;01080;CHAMPDOR;01;RHONE-ALPES;V291
2000;060901081001;CHAMPFROMIER;400;Biol. / Nitrif.;181,507;16,342;10,35;,726;2,724;,036;,009;,042;126,147365;9,8052;7,245;,6534;2,4516;,036;,009;,042;01081;CHAMPFROMIER;01;RHONE-ALPES;V101
2000;060901082001;CHANAY - CHEF LIEU;1800;Biol. / Nitrif.;337,351;27,938;20,719;1,194;4,108;,032;,05;,104;65,783445;2,7938;4,1438;,8358;,8216;,016;,025;,0416;01082;CHANAY;01;RHONE-ALPES;V102
2000;060901083001;CHANEINS (ANCIENNE);317;Lagune;80,168;7,218;4,571;,321;1,203;,016;,004;,018;29,100984;2,1654;1,3713;,2568;,9624;,0112;,0028;,009;01083;CHANEINS;01;RHONE-ALPES;U440
