Année;code_STEP;Nom_STEP;Capacité_traitement;Dispositif_traitement;Quantité_pollution_entrante;Quantité_MES_entrante;Quantité_MO_entrante;Quantité_P_entrante;Quantité_NR_entrante;Quantité_MI_entrante;Quantité_AOX_entrante;Quantité_METOX_entrante;Quantité_pollution_sortante;Quantité_MES_sortante;Quantité_MO_sortante;Quantité_P_sortante;Quantité_NR_sortante;Quantité_MI_sortante;Quantité_AOX_sortante;Quantité_METOX_sortante;Code_Commune;Nom_commune;Code_département;Nom_région;Code_zone_hydrographique
2003;060901005001;AMBERIEUX EN DOMBES;1900;Lagune;541,326;48,734;30,865;2,166;8,122;,108;,027;,125;80,116248;2,4367;3,0865;1,2996;4,8732;,0432;,0108;,0375;01005;AMBERIEUX EN DOMBES;01;RHONE-ALPES;U470
2003;060901006001;AMBLEON;120;Biol. / Nitrif.;23,68;2,132;1,35;,095;,355;,005;,001;,005;7,88544;,6396;,405;,076;,142;,0035;,0007;,0025;01006;AMBLEON;01;RHONE-ALPES;V161
2003;060901007001;AMBRONAY - CHEF LIEU;1700;Biol. / Nitrif.;351,815;31,673;20,059;1,408;5,279;,07;,018;,081;38,69965;1,58365;2,0059;,8448;,5279;,028;,0072;,0243;01007;AMBRONAY;01;RHONE-ALPES;V290
2003;060901009001;ANDERT ET CONDON - CONDON;270;Lagune;51,492;4,635;2,936;,206;,773;,01;,003;,012;18,691596;1,3905;,8808;,1648;,6184;,007;,0021;,006;01009;ANDERT ET CONDON;01;RHONE-ALPES;V146
2003;060901010002;ANGLEFORT - CHEF LIEU;1080;Biol. / Nitrif.;447,618;40,298;25,522;1,791;6,716;,09;,022;,103;49,23798;2,0149;2,5522;1,0746;,6716;,036;,0088;,0309;01010;ANGLEFORT;01;RHONE-ALPES;V126
2003;060901011001;APREMONT;400;Biol. / Nitrif.;102,164;9,197;5,825;,409;1,533;,02;,005;,024;11,23804;,45985;,5825;,2454;,1533;,008;,002;,0072;01011;APREMONT;01;RHONE-ALPES;V251
2003;060901021002;ARS SUR FORMANS;2250;Biologique Simple;609,312;36,5;40,517;0;15,91;0;0;0;90,178176;1,825;4,0517;0;9,546;0;0;0;01021;ARS SUR FORMANS;01;RHONE-ALPES;U470
2003;060901022002;ARTEMARE;1500;Biol. / Nitrif.;824,409;74,219;47,005;3,299;12,37;,165;,041;,19;160,759755;7,4219;9,401;2,3093;2,474;,0825;,0205;,076;01022;ARTEMARE;01;RHONE-ALPES;V143
2003;060901024002;ATTIGNAT - VACAGNOLE;900;Biol. / Nitrif.;237,387;21,371;13,535;,95;3,562;,047;,012;,055;26,11257;1,06855;1,3535;,57;,3562;,0188;,0048;,0165;01024;ATTIGNAT;01;RHONE-ALPES;U401
2003;060901024003;ATTIGNAT - CHEF LIEU;1200;Biologique Simple;918,814;85;59,367;3;0;0;0;0;333,529482;25,5;17,8101;2,4;0;0;0;0;01024;ATTIGNAT;01;RHONE-ALPES;U403
2003;060901025001;BAGE LA VILLE - CHEF LIEU;550;Lagune;607,427;54,686;34,634;2,43;9,114;,122;,03;,14;220,496001;16,4058;10,3902;1,944;7,2912;,0854;,021;,07;01025;BAGE LA VILLE;01;RHONE-ALPES;U411
2003;060901026001;BAGE LE CHATEL;1100;Lagune;723,323;65,119;41,242;2,894;10,853;,145;,036;,166;262,566249;19,5357;12,3726;2,3152;8,6824;,1015;,0252;,083;01026;BAGE LE CHATEL;01;RHONE-ALPES;U411
2003;060901028001;BANEINS - CHEF LIEU;225;Lagune;160,03;14,407;9,125;,64;2,401;,032;,008;,037;37,28699;1,4407;1,825;,448;1,6807;,016;,004;,0148;01028;BANEINS;01;RHONE-ALPES;U440
2003;060901029001;BEAUPONT;285;Biologique Simple;110,72;9,968;6,313;,443;1,661;,022;,006;,025;25,79776;,9968;1,2626;,3101;1,1627;,011;,003;,01;01029;BEAUPONT;01;RHONE-ALPES;U344
2003;060901033001;BELLEGARDE SUR VALSERINE;18000;Biologique Simple;22167,879;2388;1216;46;274;0;0;0;2394,130932;119,4;121,6;9,2;95,9;0;0;0;01033;BELLEGARDE SUR VALSERINE;01;RHONE-ALPES;V102
2003;060901034001;BELLEY - CHEF LIEU;18333;Biol. / Nitrif.;14885,992;1015,4;1024,703;50,3;110,9;0;0;0;1056,905432;50,77;51,23515;27,665;11,09;0;0;0;01034;BELLEY;01;RHONE-ALPES;V146
2003;060901035001;BELLEYDOUX;300;Biol. / Nitrif.;129,026;11,616;7,357;,516;1,936;,026;,006;,03;87,73768;6,9696;5,1499;,4644;1,3552;,026;,006;,03;01035;BELLEYDOUX;01;RHONE-ALPES;V101
2003;060901036001;BELMONT LUTHEZIEU - MASSIGNIEU;566;Biol. / Nitrif.;84,382;7,596;4,811;,338;1,266;,017;,004;,019;9,28202;,3798;,4811;,2028;,1266;,0068;,0016;,0057;01036;BELMONT LUTHEZIEU;01;RHONE-ALPES;V143
2003;060901036002;BELMONT LUTHEZIEU - GLARGIN;100;Irrigation/Infiltration;21,094;1,899;1,203;,084;,317;,004;,001;,005;9,91418;0;,7218;,084;,317;,004;,001;,005;01036;BELMONT LUTHEZIEU;01;RHONE-ALPES;V141
2003;060901038001;BENY;300;Lagune;45,367;4,084;2,586;,182;,681;,009;,002;,01;16,468221;1,2252;,7758;,1456;,5448;,0063;,0014;,005;01038;BENY;01;RHONE-ALPES;U344
2003;060901039001;BEON - EST;100;Biol. / Nitrif.;146,206;13,163;8,336;,585;2,194;,029;,007;,034;99,42008;7,8978;5,8352;,5265;1,5358;,029;,007;,034;01039;BEON;01;RHONE-ALPES;V143
2003;060901039002;BEON - OUEST;100;Biol. / Nitrif.;155,953;14,04;8,892;,624;2,34;,031;,008;,036;106,04804;8,424;6,2244;,5616;1,638;,031;,008;,036;01039;BEON;01;RHONE-ALPES;V143
2003;060901041001;BETTANT;900;Biol. / Nitrif.;428,151;38,546;24,412;1,713;6,424;,086;,021;,099;291,14268;23,1276;17,0884;1,5417;4,4968;,086;,021;,099;01041;BETTANT;01;RHONE-ALPES;V293
2003;060901043001;BEYNOST -ST MAURICE DE BEYNOST;10600;Biol. / Nitrif.;6669,093;575,6;471,9;0;0;0;0;0;526,858347;28,78;23,595;0;0;0;0;0;01043;BEYNOST;01;RHONE-ALPES;V300
2003;060901044001;BILLIAT;720;Biologique Simple;178,501;16,07;10,178;,714;2,678;,036;,009;,041;64,795863;4,821;3,0534;,5712;2,1424;,0252;,0063;,0205;01044;BILLIAT;01;RHONE-ALPES;V102
2003;060901046001;BIZIAT - CHEF LIEU;315;Lagune;92,058;8,289;5,249;,368;1,381;,018;,005;,021;33,417054;2,4867;1,5747;,2944;1,1048;,0126;,0035;,0105;01046;BIZIAT;01;RHONE-ALPES;U424
2003;060901046002;BIZIAT - RETISSINGE;400;Lagune;82,975;7,47;4,731;,332;1,245;,017;,004;,019;30,119925;2,241;1,4193;,2656;,996;,0119;,0028;,0095;01046;BIZIAT;01;RHONE-ALPES;U424
2003;060901047002;BLYES;855;Biol. / Nitrif.;543,589;48,938;30,994;2,175;8,156;,109;,027;,125;181,015137;14,6814;9,2982;1,74;3,2624;,0763;,0189;,0625;01047;BLYES;01;RHONE-ALPES;V294
2003;060901054001;BOURG SAINT CHRISTOPHE;1990;Biol. / Nitrif.;217,13;19,547;12,38;,869;3,258;,043;,011;,05;72,30429;5,8641;3,714;,6952;1,3032;,0301;,0077;,025;01054;BOURG ST CHRISTOPHE;01;RHONE-ALPES;V300
2003;060901057001;BOZ;500;Lagune;131,683;11,855;7,508;,527;1,976;,026;,007;,03;47,800929;3,5565;2,2524;,4216;1,5808;,0182;,0049;,015;01057;BOZ;01;RHONE-ALPES;U411
2003;060901058002;BREGNIER CORDON-PETIT GLANDIEU;630;Lagune;285,425;25,696;16,274;1,142;4,283;,057;,014;,066;103,609275;7,7088;4,8822;,9136;3,4264;,0399;,0098;,033;01058;BREGNIER CORDON;01;RHONE-ALPES;V161
2003;060901059001;BRENAZ - CHEF LIEU;100;Bassin de décantation;13,503;1,215;,77;,054;,203;,003;,001;,003;11,410035;,6075;,77;,0486;,203;,003;,001;,003;01059;BRENAZ;01;RHONE-ALPES;V142
2003;060901059002;BRENAZ - LARNIN;50;Bassin de décantation;4,314;,389;,246;,017;,065;,001;0;,001;4,314;,389;,246;,017;,065;,001;0;,001;01059;BRENAZ;01;RHONE-ALPES;V142
2003;060901061001;BRENS - GOTRAS PETIT BRENS;450;Lagune;175,146;15,768;9,986;,701;2,628;,035;,009;,04;63,577998;4,7304;2,9958;,5608;2,1024;,0245;,0063;,02;01061;BRENS;01;RHONE-ALPES;V146
2003;060901061002;BRENS - CHAMPTEL;500;Lagune;262,722;23,652;14,98;1,051;3,942;,053;,013;,06;95,368086;7,0956;4,494;,8408;3,1536;,0371;,0091;,03;01061;BRENS;01;RHONE-ALPES;V146
2003;060901062001;BRESSOLLES - CHEF LIEU;733;Biol. / Nitrif.;363,483;32,724;20,725;1,454;5,454;,073;,018;,084;247,16844;19,6344;14,5075;1,3086;3,8178;,073;,018;,084;01062;BRESSOLLES;01;RHONE-ALPES;V300
2003;060901062002;BRESSOLLES - LE BONNET;100;Biol. / Nitrif.;71,783;6,463;4,093;,287;1,077;,014;,004;,017;48,81244;3,8778;2,8651;,2583;,7539;,014;,004;,017;01062;BRESSOLLES;01;RHONE-ALPES;V300
2003;060901063001;BRION;500;Biol. / Nitrif.;715,741;47,611;50,653;1,509;5,645;,072;,018;,083;488,851103;28,5666;35,4571;1,3581;3,9515;,072;,018;,083;01063;BRION;01;RHONE-ALPES;V251
2003;060901065002;BUELLAS - CORGENON;600;Lagune;365,938;32,944;20,865;1,464;5,491;,073;,018;,084;85,263554;3,2944;4,173;1,0248;3,8437;,0365;,009;,0336;01065;BUELLAS;01;RHONE-ALPES;U421
2003;060901065003;BUELLAS - MONTCET;1800;Biol. / Nitrif.;565,7;50,929;32,255;2,263;8,488;,113;,028;,13;62,227;2,54645;3,2255;1,3578;,8488;,0452;,0112;,039;01065;BUELLAS;01;RHONE-ALPES;U421
2003;060901067001;CEIGNES;730;Lagune;64,508;5,808;3,678;,258;,968;,013;,003;,015;23,416404;1,7424;1,1034;,2064;,7744;,0091;,0021;,0075;01067;CEIGNES;01;RHONE-ALPES;V252
2003;060901069002;CERTINES;4500;Biol. / Nitrif.;2624,212;203,7;101,227;50,6;57,6;0;0;0;346,395984;20,37;15,18405;5,06;8,64;0;0;0;01069;CERTINES;01;RHONE-ALPES;U400
