ANNEE;CODE NATIONAL STATION;NOM STATION;CAPACITE STATION EN EH;FLUX EN ENTREE DE STATION - DBO5;FLUX EN ENTREE DE STATION - DCO;FLUX EN ENTREE DE STATION - MES;FLUX EN ENTREE DE STATION - NGL;FLUX EN ENTREE DE STATION - PT;FLUX EN ENTREE DE STATION - METOX;FLUX EN ENTREE DE STATION - AOX;FLUX EN SORTIE DE STATION - DBO5;FLUX EN SORTIE DE STATION - DCO;FLUX EN SORTIE DE STATION - MES;FLUX EN SORTIE DE STATION - NGL;FLUX EN SORTIE DE STATION - PT;FLUX EN SORTIE DE STATION - METOX;FLUX EN SORTIE DE STATION - AOX;NOM COMMUNE IMPLANTATION STATION;NOM DEPARTEMENT IMPLANTATION STATION;NOM REGION IMPLANTATION STATION
2014;060901005001;STATION D'EPURATION DE AMBERIEUX EN DOMBES;1900;11,952;50,394;18,167;8,988;1,238;;;1,146;;;8,477;1,432;;;AMBERIEUX EN DOMBES;AIN;AUVERGNE-RHONE-ALPES;
2014;060901007001;STATION D'EPURATION DE AMBRONAY - CHEF LIEU;1700;69,52;161,185;73,895;27,917;3,348;;;1,228;11,475;1,692;4,307;1,578;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2014;060901007002;STATION D'EPURATION DE AMBRONAY - GV2C;600;6,138;26,505;8,37;4,081;,419;;;0;,004;,005;0;0;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2014;060901010002;STATION D'EPURATION DE ANGLEFORT - CHEF LIEU;1800;45,028;117,661;59,436;13,088;1,874;;;,532;6,329;2,607;1,499;,648;;;ANGLEFORT;AIN;AUVERGNE-RHONE-ALPES;
2014;060901011001;STATION D'EPURATION DE APREMONT;400;12,12;24,24;7,757;2,688;,242;;;1,121;4,121;1,151;1,154;,212;;;APREMONT;AIN;AUVERGNE-RHONE-ALPES;
2014;060901015002;STATION D'EPURATION DE ARBOYS-EN-BUGEY - ARBIGNIEU;450;,792;2,52;1,512;,794;,101;;;1,147;7,252;3,774;,346;,044;;;ARBOYS EN BUGEY;AIN;AUVERGNE-RHONE-ALPES;
2014;060901017003;STATION D'EPURATION DE ARGIS - BOURG;400;8,928;10,1;8,203;2,282;,268;;;;1,783;;2,676;,161;;;ARGIS;AIN;AUVERGNE-RHONE-ALPES;
2014;060901021002;STATION D'EPURATION DE ARS SUR FORMANS;2250;30,426;69,725;62,464;9,366;,944;;;;4,112;,805;1,12;,398;;;ARS SUR FORMANS;AIN;AUVERGNE-RHONE-ALPES;
2014;060901022002;STATION D'EPURATION DE ARTEMARE;1500;53,615;163,555;194,096;;;;;,858;8,58;1,678;;;;;ARTEMARE;AIN;AUVERGNE-RHONE-ALPES;
2014;060901024002;STATION D'EPURATION DE ATTIGNAT - VACAGNOLE;900;29,497;108,936;49,781;8,484;1,276;;;,389;3,91;,349;,828;,354;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2014;060901024003;STATION D'EPURATION DE ATTIGNAT - CHEF LIEU;1200;58,026;144,25;83,313;19,407;1,952;;;1,534;15,451;1,518;4,325;,946;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2014;060901024004;STATION D'EPURATION DE ATTIGNAT - SECTEUR OUEST;1650;37,317;57,923;15,931;6,394;,81;;;,409;4,734;,318;3,647;,45;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
