ANNEE;CODE NATIONAL STATION;NOM STATION;CAPACITE STATION EN EH;FLUX EN ENTREE DE STATION - DBO5;FLUX EN ENTREE DE STATION - DCO;FLUX EN ENTREE DE STATION - MES;FLUX EN ENTREE DE STATION - NGL;FLUX EN ENTREE DE STATION - PT;FLUX EN ENTREE DE STATION - METOX;FLUX EN ENTREE DE STATION - AOX;FLUX EN SORTIE DE STATION - DBO5;FLUX EN SORTIE DE STATION - DCO;FLUX EN SORTIE DE STATION - MES;FLUX EN SORTIE DE STATION - NGL;FLUX EN SORTIE DE STATION - PT;FLUX EN SORTIE DE STATION - METOX;FLUX EN SORTIE DE STATION - AOX;NOM COMMUNE IMPLANTATION STATION;NOM DEPARTEMENT IMPLANTATION STATION;NOM REGION IMPLANTATION STATION
2016;060901005001;STATION D'EPURATION DE AMBERIEUX EN DOMBES;1900;7,041;29,225;6,63;;1,18;;;,345;3,45;,252;;,264;;;AMBERIEUX EN DOMBES;AIN;AUVERGNE-RHONE-ALPES;
2016;060901007001;STATION D'EPURATION DE AMBRONAY - CHEF LIEU;1700;59,211;150,944;78,625;27,093;3,18;;;4,299;21,23;8,784;10,153;1,321;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2016;060901007002;STATION D'EPURATION DE AMBRONAY - GV2C;600;13,86;31,938;10,847;6,629;,536;;;0;0;0;0;0;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2016;060901010002;STATION D'EPURATION DE ANGLEFORT - CHEF LIEU;1800;43,22;117,949;58,898;11,599;2,154;;;2,374;12,068;9,292;2,318;,866;;;ANGLEFORT;AIN;AUVERGNE-RHONE-ALPES;
2016;060901011001;STATION D'EPURATION DE APREMONT;400;12,815;34,319;12,2;3,296;,4;;;,795;3,588;,923;1,364;,259;;;APREMONT;AIN;AUVERGNE-RHONE-ALPES;
2016;060901015002;STATION D'EPURATION DE ARBOYS-EN-BUGEY - ARBIGNIEU;450;,499;2,995;,499;,93;,125;;;1,289;6,316;5,672;,406;,039;;;ARBOYS EN BUGEY;AIN;AUVERGNE-RHONE-ALPES;
2016;060901017003;STATION D'EPURATION DE ARGIS - BOURG;400;6,657;14,401;5,104;1,914;,266;;;,111;,621;,089;1,471;,109;;;ARGIS;AIN;AUVERGNE-RHONE-ALPES;
2016;060901021002;STATION D'EPURATION DE ARS SUR FORMANS;2250;45,076;131,338;62,427;12,273;1,075;;;,754;9,36;,776;5,715;,621;;;ARS SUR FORMANS;AIN;AUVERGNE-RHONE-ALPES;
2016;060901022002;STATION D'EPURATION DE ARTEMARE;1500;48,328;157,757;97,104;22,894;2,508;;;5,934;15,784;8,983;4,147;1,644;;;ARTEMARE;AIN;AUVERGNE-RHONE-ALPES;
2016;060901024002;STATION D'EPURATION DE ATTIGNAT - VACAGNOLE;900;37,079;76,457;22,312;10,274;1,359;;;1,072;5,525;,807;2,87;,379;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2016;060901024003;STATION D'EPURATION DE ATTIGNAT - CHEF LIEU;1200;30,037;83,629;26,543;14,769;1,355;;;1,649;9,316;2,974;4,462;,692;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2016;060901024004;STATION D'EPURATION DE ATTIGNAT - SECTEUR OUEST;1650;12,285;38,51;11,433;8,34;,744;;;;;;3,042;,26;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2016;060901025001;STATION D'EPURATION DE BAGE-DOMMARTIN - BAGE LA VILLE;550;18,757;61,799;18,974;5,38;,596;;;2,896;10,078;6,053;,789;,156;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2016;060901025002;STATION D'EPURATION DE BAGE-DOMMARTIN - SPATTIERES;1100;29,008;103,039;35,319;9,285;,629;;;1,175;6,546;,675;4,776;,306;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2016;060901026001;STATION D'EPURATION DE BAGE LE CHATEL;1100;11,547;32,102;13,556;4,498;,471;;;,031;,306;,031;1,136;,321;;;BAGE LE CHATEL;AIN;AUVERGNE-RHONE-ALPES;
2016;060901028001;STATION D'EPURATION DE BANEINS - CHEF LIEU;225;8,84;23,547;23,964;2,788;,306;;;,28;1,185;,497;,653;,071;;;BANEINS;AIN;AUVERGNE-RHONE-ALPES;
2016;060901029001;STATION D'EPURATION DE BEAUPONT;285;7,116;21,526;4,092;2,683;,243;;;,757;3,723;,631;1,83;,202;;;BEAUPONT;AIN;AUVERGNE-RHONE-ALPES;
2016;060901033001;STATION D'EPURATION DE VALSERHONE BELLEGARDE VALSERIN;18000;692,537;1744,725;1043,817;;24,967;;;23,049;135,325;28,039;;4,933;;;VALSERHONE;AIN;AUVERGNE-RHONE-ALPES;
