ANNEE;CODE NATIONAL STATION;NOM STATION;CAPACITE STATION EN EH;FLUX EN ENTREE DE STATION - DBO5;FLUX EN ENTREE DE STATION - DCO;FLUX EN ENTREE DE STATION - MES;FLUX EN ENTREE DE STATION - NGL;FLUX EN ENTREE DE STATION - PT;FLUX EN ENTREE DE STATION - METOX;FLUX EN ENTREE DE STATION - AOX;FLUX EN SORTIE DE STATION - DBO5;FLUX EN SORTIE DE STATION - DCO;FLUX EN SORTIE DE STATION - MES;FLUX EN SORTIE DE STATION - NGL;FLUX EN SORTIE DE STATION - PT;FLUX EN SORTIE DE STATION - METOX;FLUX EN SORTIE DE STATION - AOX;NOM COMMUNE IMPLANTATION STATION;NOM DEPARTEMENT IMPLANTATION STATION;NOM REGION IMPLANTATION STATION
2011;060901005001;STATION D'EPURATION DE AMBERIEUX EN DOMBES;1900;66,141;163,555;54,786;27,901;2,848;;;1,305;22,796;1,434;17,509;1,971;;;AMBERIEUX EN DOMBES;AIN;AUVERGNE-RHONE-ALPES;
2011;060901007001;STATION D'EPURATION DE AMBRONAY - CHEF LIEU;1700;73,797;168,581;119,255;32,401;2,608;;;17,16;10,957;10,081;;1,791;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2011;060901021002;STATION D'EPURATION DE ARS SUR FORMANS;2250;35,873;79,571;38,571;10,059;1,03;;;;3,192;1,136;,715;,564;;;ARS SUR FORMANS;AIN;AUVERGNE-RHONE-ALPES;
2011;060901024002;STATION D'EPURATION DE ATTIGNAT - VACAGNOLE;900;9,871;24,476;6,795;3,781;,347;;;,281;3,173;,445;1,541;,252;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2011;060901024003;STATION D'EPURATION DE ATTIGNAT - CHEF LIEU;1200;44,87;140,181;56,431;13,359;1,377;;;1,009;10,083;1,298;3,036;,805;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2011;060901024004;STATION D'EPURATION DE ATTIGNAT - SECTEUR OUEST;1650;16,325;33,028;10,728;4,044;,479;;;;2,921;,266;3,274;,319;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2011;060901025001;STATION D'EPURATION DE BAGE-DOMMARTIN - BAGE LA VILLE;550;13,5;30,525;18,3;4,073;,471;;;,608;6,691;1,521;1,473;,225;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2011;060901025002;STATION D'EPURATION DE BAGE-DOMMARTIN - SPATTIERES;1100;27;61,05;36,6;8,145;,942;;;;;,344;8,621;,705;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2011;060901025003;STATION D'EPURATION DE BAGE-DOMMARTIN - ONJARD;500;13,211;50,201;23,624;4,771;,563;;;;1,572;,115;1,202;,234;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2011;060901026001;STATION D'EPURATION DE BAGE LE CHATEL;1100;17,037;112,719;52,298;;,923;;;;;;1,949;,467;;;BAGE LE CHATEL;AIN;AUVERGNE-RHONE-ALPES;
