ANNEE;CODE NATIONAL STATION;NOM STATION;CAPACITE STATION EN EH;FLUX EN ENTREE DE STATION - DBO5;FLUX EN ENTREE DE STATION - DCO;FLUX EN ENTREE DE STATION - MES;FLUX EN ENTREE DE STATION - NGL;FLUX EN ENTREE DE STATION - PT;FLUX EN ENTREE DE STATION - METOX;FLUX EN ENTREE DE STATION - AOX;FLUX EN SORTIE DE STATION - DBO5;FLUX EN SORTIE DE STATION - DCO;FLUX EN SORTIE DE STATION - MES;FLUX EN SORTIE DE STATION - NGL;FLUX EN SORTIE DE STATION - PT;FLUX EN SORTIE DE STATION - METOX;FLUX EN SORTIE DE STATION - AOX;NOM COMMUNE IMPLANTATION STATION;NOM DEPARTEMENT IMPLANTATION STATION;NOM REGION IMPLANTATION STATION
2012;060901005001;STATION D'EPURATION DE AMBERIEUX EN DOMBES;1900;36,194;126,424;82,407;17,618;2,047;;;2,069;20,682;3,737;13,858;2,308;;;AMBERIEUX EN DOMBES;AIN;AUVERGNE-RHONE-ALPES;
2012;060901007001;STATION D'EPURATION DE AMBRONAY - CHEF LIEU;1700;35,33;69,805;35,185;6,653;,778;;;3,27;10,83;2,829;2,096;,381;;;AMBRONAY;AIN;AUVERGNE-RHONE-ALPES;
2012;060901010002;STATION D'EPURATION DE ANGLEFORT - CHEF LIEU;1800;34,17;121,48;50,9;14,43;1,987;;;1,713;11,42;2,754;4,992;,818;;;ANGLEFORT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901011001;STATION D'EPURATION DE APREMONT;400;9,525;22,86;11,049;2,54;,297;;;1,016;5,08;2,477;2,005;,242;;;APREMONT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901021002;STATION D'EPURATION DE ARS SUR FORMANS;2250;38,277;104,06;61,566;11,41;1,189;;;;4,344;,603;1,086;,555;;;ARS SUR FORMANS;AIN;AUVERGNE-RHONE-ALPES;
2012;060901024002;STATION D'EPURATION DE ATTIGNAT - VACAGNOLE;900;19,448;65,548;62,816;2,849;,61;;;,216;2,16;,552;,597;,093;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901024003;STATION D'EPURATION DE ATTIGNAT - CHEF LIEU;1200;38,88;108,228;60,736;18,047;1,797;;;1,302;13,02;3,192;4,402;,599;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901024004;STATION D'EPURATION DE ATTIGNAT - SECTEUR OUEST;1650;19,142;47,589;23,856;6,872;,849;;;;1,512;,349;4,533;,494;;;ATTIGNAT;AIN;AUVERGNE-RHONE-ALPES;
2012;060901025001;STATION D'EPURATION DE BAGE-DOMMARTIN - BAGE LA VILLE;550;9,671;18,969;14,134;2,242;,289;;;,573;8,878;,43;1,372;,159;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
2012;060901025002;STATION D'EPURATION DE BAGE-DOMMARTIN - SPATTIERES;1100;17,133;47,362;24,475;5,035;,61;;;;5,497;1,153;4,678;,889;;;BAGE-DOMMARTIN;AIN;AUVERGNE-RHONE-ALPES;
