type_rj;code_rj;libelle;insee_commune;nom_commune;x_rj;y_rj;milieu_recepteur;derniere_annee;code_step;nom_step;nature_reseau;capacite;traitement_principal;debit_nominal_tps_sec;debit_nominal_tps_pluie;charge_nominale_dbo5;charge_nominale_dco;charge_nominale_mes;insee_commune_step;nom_commune_step;code_mo;siret_mo;nom_mo;x_step;y_step
RJ;0511236V0011;MOLANDIER;11236;Molandier;595500.0;6239070.0;R;2019.0;0511236V001;MOLANDIER;Unitaire;200.0;Secondaire bio (Ntk);40.0;;;;;11236;Molandier;11049000A;20003570700013;COMMUNAUTE DE COMMUNES PIEGE-LAURAGAIS MALEPERE;595546.0;6239080.0
RJ;0511238V0011;MOLLEVILLE;11238;Molleville;605476.0;6246600.0;R;;0511238V001;MOLLEVILLE;;80.0;Primaire bio simple (Décanteur Digesteur;12.0;;;;;11238;Molleville;11076007A;20003585500127;CC CASTELNAUDARY LAURAGAIS AUDOIS ASSAINISSEMENT REGIE;605476.0;6246600.0
RJ;0509277V0011;ST YBARS;09277;Saint-Ybars;567845.0;6239710.0;R;;0509277V001;ST YBARS;Séparatif;350.0;Secondaire bio (Ntk);52.0;;;;;09277;Saint-Ybars;09272001A;25090187300019;SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE;567872.0;6239680.0
RJ;0509280V0011;SAURAT (COMMUNALE);09280;Saurat;581259.0;6198460.0;R;;0509280V001;SAURAT (COMMUNALE);Séparatif;1250.0;Secondaire bio (Ntk);185.0;;;;;09280;Saurat;09272001A;25090187300019;SYNDICAT MIXTE DEPARTEMENTAL EAU ASSAINISSEMENT DE L'ARIEGE;581264.0;6198570.0
RJ;0511239V0011;MONTAURIOL;11239;Montauriol;605401.0;6242850.0;R;;0511239V001;MONTAURIOL;Séparatif;60.0;Secondaire bio (Ntk);9.0;;;;;11239;Montauriol;11076007A;20003585500127;CC CASTELNAUDARY LAURAGAIS AUDOIS ASSAINISSEMENT REGIE;605430.0;6242810.0
RJ;0509112430011;MONTFERRAND (Village);11243;Montferrand;604311.0;6252130.0;R;;0511243V001;MONTFERRAND (Village);;100.0;Secondaire bio (Ntk);15.0;;;;;11243;Montferrand;11076007A;20003585500127;CC CASTELNAUDARY LAURAGAIS AUDOIS ASSAINISSEMENT REGIE;604310.0;6252130.0
RJ;0511243V0021;MONTFERRAND (Naurouze);11243;Montferrand;603737.0;6251680.0;R;;0511243V002;MONTFERRAND (Naurouze);;100.0;Secondaire bio (Ntk);15.0;;;;;11243;Montferrand;11076007A;20003585500127;CC CASTELNAUDARY LAURAGAIS AUDOIS ASSAINISSEMENT REGIE;603741.0;6251690.0
RJ;0511243V0031;MONTFERRAND (Les Metches);11243;Montferrand;603565.0;6253360.0;R;;0511243V003;MONTFERRAND (Les Metches);;20.0;Secondaire bio (Ntk);3.0;;;;;11243;Montferrand;11076007A;20003585500127;CC CASTELNAUDARY LAURAGAIS AUDOIS ASSAINISSEMENT REGIE;603601.0;6253350.0
RJ;0511249V0021;MONTJARDIN (COMMUNALE);11249;Montjardin;620538.0;6209750.0;R;;0511249V002;MONTJARDIN (COMMUNALE);;120.0;Secondaire bio (Ntk);18.0;;;;;11249;Montjardin;11249000A;21110249600018;COMMUNE DE MONTJARDIN ;620555.0;6209760.0
RJ;0511252V0011;MONTMAUR;11252;Montmaur;606122.0;6255530.0;R;;0511252V001;MONTMAUR;;225.0;Secondaire bio (Ntk);34.0;;;;;11252;Montmaur;11076007A;20003585500127;CC CASTELNAUDARY LAURAGAIS AUDOIS ASSAINISSEMENT REGIE;606126.0;6255520.0
RJ;0511263V0011;NEBIAS;11263;Nébias;627010.0;6200230.0;R;;0511263V001;NEBIAS;;700.0;Secondaire bio (Ntk);105.0;;;;;11263;Nébias;11263000A;21110263700017;COMMUNE DE NEBIAS ;627006.0;6200220.0
RJ;0511275V0011;PAYRA SUR L'HERS;11275;Payra-sur-l'Hers;606848.0;6241230.0;R;;0511275V001;PAYRA SUR L'HERS;Séparatif;200.0;Secondaire bio (Ntk);30.0;;;;;11275;Payra-sur-l'Hers;11076007A;20003585500127;CC CASTELNAUDARY LAURAGAIS AUDOIS ASSAINISSEMENT REGIE;606867.0;6241040.0
RJ;0511278V0011;PECH LUNA;11278;Pech-Luna;605487.0;6235260.0;R;;0511278V001;PECH LUNA;Séparatif;145.0;Secondaire bio (Ntk);23.0;;;;;11278;Pech-Luna;11049000A;20003570700013;COMMUNAUTE DE COMMUNES PIEGE-LAURAGAIS MALEPERE;605500.0;6235810.0
RJ;0511282V0021;PEYREFITTE DU RAZES;11282;Peyrefitte-du-Razès;620024.0;6218510.0;R;;0511282V002;PEYREFITTE DU RAZES;Séparatif;100.0;Secondaire bio (Ntk);15.0;;;;;11282;Peyrefitte-du-Razès;11282000A;21110282700014;COMMUNE DE PEYREFITTE DU RAZES ;619925.0;6218470.0
RJ;0511283V0011;PEYREFITTE SUR L'HERS;11283;Peyrefitte-sur-l'Hers;604170.0;6239640.0;R;;0511283V001;PEYREFITTE SUR L'HERS;;75.0;Secondaire bio (Ntk);11.0;;;;;11283;Peyrefitte-sur-l'Hers;11076007A;20003585500127;CC CASTELNAUDARY LAURAGAIS AUDOIS ASSAINISSEMENT REGIE;604170.0;6239640.0
